本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 1/20 盘：意大利式，白方 v4，黑方 v3 =====
4. v4：O-O | 深度 4 | 5.00 秒
4... v3：d6 | 深度 3 | 5.00 秒
5. v4：Nc3 | 深度 4 | 5.00 秒
5... v3：Nf6 | 深度 3 | 5.00 秒
6. v4：Rb1 | 深度 3 | 5.00 秒
6... v3：Nd4 | 深度 3 | 5.00 秒
7. v4：b4 | 深度 4 | 5.00 秒
7... v3：Bb6 | 深度 4 | 5.00 秒
8. v4：Ng5 | 深度 4 | 5.00 秒
8... v3：Ne6 | 深度 3 | 5.00 秒
9. v4：d3 | 深度 4 | 5.00 秒
9... v3：Qd7 | 深度 3 | 5.00 秒
10. v4：Nxe6 | 深度 3 | 5.00 秒
10... v3：fxe6 | 深度 4 | 5.00 秒
11. v4：Bg5 | 深度 3 | 5.00 秒
11... v3：Bd4 | 深度 4 | 5.00 秒
12. v4：Bxf6 | 深度 4 | 5.00 秒
12... v3：gxf6 | 深度 4 | 5.00 秒
13. v4：Nb5 | 深度 4 | 5.00 秒
13... v3：Bb6 | 深度 3 | 5.00 秒
14. v4：Qh5+ | 深度 4 | 5.00 秒
14... v3：Ke7 | 深度 3 | 5.00 秒
15. v4：Qg4 | 深度 3 | 5.00 秒
15... v3：Ke8 | 深度 3 | 5.00 秒
16. v4：Qh5+ | 深度 3 | 5.00 秒
16... v3：Qf7 | 深度 4 | 5.00 秒
17. v4：Qh3 | 深度 4 | 5.00 秒
17... v3：a6 | 深度 3 | 5.00 秒
18. v4：Nc3 | 深度 4 | 5.00 秒
18... v3：Bd4 | 深度 3 | 5.00 秒
19. v4：Ne2 | 深度 4 | 5.00 秒
19... v3：b5 | 深度 4 | 5.00 秒
20. v4：Bb3 | 深度 4 | 5.00 秒
20... v3：Bb6 | 深度 4 | 5.00 秒
21. v4：Rfd1 | 深度 4 | 5.00 秒
21... v3：a5 | 深度 3 | 5.00 秒
22. v4：bxa5 | 深度 4 | 5.00 秒
22... v3：Rxa5 | 深度 4 | 5.00 秒
23. v4：c4 | 深度 3 | 5.00 秒
23... v3：bxc4 | 深度 3 | 5.00 秒
24. v4：dxc4 | 深度 4 | 5.00 秒
24... v3：Qg7 | 深度 3 | 5.00 秒
25. v4：Qh5+ | 深度 3 | 5.00 秒
25... v3：Ke7 | 深度 3 | 5.00 秒
26. v4：h4 | 深度 3 | 5.00 秒
26... v3：Rg8 | 深度 3 | 5.00 秒
27. v4：Qf3 | 深度 4 | 5.00 秒
27... v3：Qg4 | 深度 3 | 5.00 秒
28. v4：Rd3 | 深度 4 | 5.00 秒
28... v3：Qxh4 | 深度 3 | 5.00 秒
29. v4：Nc3 | 深度 4 | 5.00 秒
29... v3：Qg5 | 深度 3 | 5.00 秒
30. v4：Rbd1 | 深度 3 | 5.00 秒
30... v3：Qg6 | 深度 3 | 5.00 秒
31. v4：a4 | 深度 3 | 5.00 秒
31... v3：Rg7 | 深度 3 | 5.00 秒
32. v4：Nb5 | 深度 3 | 5.00 秒
32... v3：Ba6 | 深度 3 | 5.00 秒
33. v4：R3d2 | 深度 3 | 5.00 秒
33... v3：Bxb5 | 深度 3 | 5.00 秒
34. v4：axb5 | 深度 4 | 5.00 秒
34... v3：Bd4 | 深度 3 | 5.00 秒
35. v4：Ra2 | 深度 3 | 5.00 秒
35... v3：Rxa2 | 深度 4 | 5.00 秒
36. v4：Bxa2 | 深度 4 | 5.00 秒
36... v3：Bc5 | 深度 3 | 5.00 秒
37. v4：Bb3 | 深度 4 | 5.00 秒
37... v3：Bb4 | 深度 3 | 5.00 秒
38. v4：Ra1 | 深度 4 | 5.00 秒
38... v3：Qg5 | 深度 3 | 5.00 秒
39. v4：Qh3 | 深度 4 | 5.00 秒
39... v3：Bc5 | 深度 3 | 5.00 秒
40. v4：Qh2 | 深度 4 | 5.00 秒
40... v3：Bd4 | 深度 3 | 5.00 秒
41. v4：Rd1 | 深度 4 | 5.00 秒
41... v3：Qg4 | 深度 4 | 5.00 秒
42. v4：Rxd4 | 深度 4 | 5.00 秒
42... v3：exd4 | 深度 4 | 5.00 秒
43. v4：c5 | 深度 5 | 3.43 秒
43... v3：Qxe4 | 深度 4 | 5.00 秒
44. v4：Bc4 | 深度 5 | 3.54 秒
44... v3：Qf3 | 深度 4 | 5.00 秒
45. v4：Bf1 | 深度 4 | 5.00 秒
45... v3：h5 | 深度 4 | 5.00 秒
46. v4：b6 | 深度 5 | 3.74 秒
46... v3：Qd5 | 深度 4 | 5.00 秒
47. v4：cxd6+ | 深度 5 | 3.41 秒
47... v3：cxd6 | 深度 4 | 5.00 秒
48. v4：Qf4 | 深度 4 | 5.00 秒
48... v3：Kf7 | 深度 4 | 5.00 秒
49. v4：Qh6 | 深度 4 | 5.00 秒
49... v3：Qe5 | 深度 4 | 5.00 秒
50. v4：b7 | 深度 5 | 3.35 秒
50... v3：d5 | 深度 5 | 4.44 秒
51. v4：Qh8 | 深度 4 | 5.00 秒
51... v3：Rg8 | 深度 5 | 2.47 秒
52. v4：Qh7+ | 深度 5 | 1.44 秒
52... v3：Rg7 | 深度 5 | 4.45 秒
53. v4：Qh8 | 深度 5 | 3.01 秒
53... v3：Rg8 | 深度 5 | 4.07 秒
54. v4：Qh7+ | 深度 5 | 2.15 秒
54... v3：Kf8 | 深度 4 | 5.00 秒
55. v4：Qd7 | 深度 4 | 5.00 秒
55... v3：Rh8 | 深度 4 | 5.00 秒
56. v4：Be2 | 深度 4 | 5.00 秒
56... v3：Kg8 | 深度 3 | 5.00 秒
57. v4：Qe7 | 深度 4 | 5.00 秒
57... v3：Qb8 | 深度 3 | 5.00 秒
58. v4：Qxe6+ | 深度 4 | 5.00 秒
58... v3：Kg7 | 深度 4 | 5.00 秒
59. v4：Ba6 | 深度 4 | 5.00 秒
59... v3：Qe5 | 深度 4 | 5.00 秒
60. v4：Qc8 | 深度 4 | 5.00 秒
60... v3：Qe1+ | 深度 3 | 5.00 秒
61. v4：Kh2 | 深度 5 | 3.59 秒
61... v3：Qe5+ | 深度 4 | 5.00 秒
62. v4：Kg1 | 深度 4 | 5.00 秒
62... v3：Qb8 | 深度 3 | 5.00 秒
63. v4：Qd7+ | 深度 4 | 5.00 秒
63... v3：Kh6 | 深度 4 | 5.00 秒
64. v4：Qf5 | 深度 4 | 5.00 秒
64... v3：Qe5 | 深度 4 | 5.00 秒
65. v4：Qxe5 | 深度 4 | 5.00 秒
65... v3：fxe5 | 深度 5 | 2.96 秒
66. v4：f3 | 深度 5 | 3.79 秒
66... v3：e4 | 深度 4 | 5.00 秒
67. v4：Bb5 | 深度 5 | 4.43 秒
67... v3：exf3 | 深度 5 | 4.31 秒
68. v4：gxf3 | 深度 5 | 1.47 秒
68... v3：Rb8 | 深度 5 | 4.74 秒
69. v4：Ba6 | 深度 5 | 1.41 秒
69... v3：Rg8+ | 深度 4 | 5.00 秒
70. v4：Kf2 | 深度 5 | 2.32 秒
70... v3：Kg5 | 深度 4 | 5.00 秒
71. v4：Ke2 | 深度 5 | 1.95 秒
71... v3：Rf8 | 深度 4 | 5.00 秒
72. v4：Kd3 | 深度 5 | 1.76 秒
72... v3：Kf4 | 深度 5 | 2.41 秒
73. v4：Kxd4 | 深度 5 | 1.06 秒
73... v3：Kxf3 | 深度 5 | 2.91 秒
74. v4：Bb5 | 深度 5 | 2.91 秒
74... v3：Rb8 | 深度 5 | 4.83 秒
75. v4：Bc6 | 深度 5 | 1.21 秒
75... v3：Rd8 | 深度 4 | 5.00 秒
