本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 5/20 盘：对称英国式，白方 v4，黑方 v3 =====
4. v4：Rg1 | 深度 4 | 5.00 秒
4... v3：Qb6 | 深度 3 | 5.00 秒
5. v4：Nd5 | 深度 4 | 5.00 秒
5... v3：Nxd5 | 深度 4 | 5.00 秒
6. v4：cxd5 | 深度 4 | 5.00 秒
6... v3：Nb4 | 深度 4 | 5.00 秒
7. v4：e4 | 深度 4 | 5.00 秒
7... v3：f6 | 深度 3 | 5.00 秒
8. v4：a4 | 深度 4 | 5.00 秒
8... v3：Qd6 | 深度 3 | 5.00 秒
9. v4：Qb3 | 深度 4 | 5.00 秒
9... v3：Kf7 | 深度 3 | 5.00 秒
10. v4：Be2 | 深度 4 | 5.00 秒
10... v3：g6 | 深度 3 | 5.00 秒
11. v4：Kd1 | 深度 4 | 5.00 秒
11... v3：b6 | 深度 3 | 5.00 秒
12. v4：Qe3 | 深度 3 | 5.00 秒
12... v3：Ba6 | 深度 3 | 5.00 秒
13. v4：Qb3 | 深度 4 | 5.00 秒
13... v3：Bxe2+ | 深度 4 | 5.00 秒
14. v4：Kxe2 | 深度 4 | 5.00 秒
14... v3：Bg7 | 深度 3 | 5.00 秒
15. v4：Qc3 | 深度 3 | 5.00 秒
15... v3：a5 | 深度 3 | 5.00 秒
16. v4：Rd1 | 深度 3 | 5.00 秒
16... v3：e6 | 深度 3 | 5.00 秒
17. v4：Qb3 | 深度 4 | 5.00 秒
17... v3：exd5 | 深度 3 | 5.00 秒
18. v4：exd5 | 深度 3 | 5.00 秒
18... v3：Qxd5 | 深度 3 | 5.00 秒
19. v4：Qxd5+ | 深度 5 | 2.98 秒
19... v3：Nxd5 | 深度 5 | 4.19 秒
20. v4：Rg1 | 深度 4 | 5.00 秒
20... v3：Rhe8+ | 深度 4 | 5.00 秒
21. v4：Kd1 | 深度 5 | 4.60 秒
21... v3：Re6 | 深度 3 | 5.00 秒
22. v4：Nh4 | 深度 4 | 5.00 秒
22... v3：Rh8 | 深度 3 | 5.00 秒
23. v4：Ra3 | 深度 4 | 5.00 秒
23... v3：g5 | 深度 3 | 5.00 秒
24. v4：Nf5 | 深度 4 | 5.00 秒
24... v3：Nf4 | 深度 4 | 5.00 秒
25. v4：Re3 | 深度 4 | 5.00 秒
25... v3：Bf8 | 深度 4 | 5.00 秒
26. v4：h3 | 深度 4 | 5.00 秒
26... v3：Kg6 | 深度 4 | 5.00 秒
27. v4：g4 | 深度 4 | 5.00 秒
27... v3：Rxe3 | 深度 4 | 5.00 秒
28. v4：fxe3 | 深度 5 | 2.48 秒
28... v3：Nxh3 | 深度 5 | 4.02 秒
29. v4：Rg2 | 深度 5 | 1.83 秒
29... v3：h5 | 深度 5 | 4.28 秒
