本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 7/20 盘：西班牙式，白方 v4，黑方 v3 =====
4. v4：Bxc6 | 深度 4 | 5.00 秒
4... v3：dxc6 | 深度 4 | 5.00 秒
5. v4：d4 | 深度 4 | 5.00 秒
5... v3：exd4 | 深度 4 | 5.00 秒
6. v4：Qxd4 | 深度 3 | 5.00 秒
6... v3：Qxd4 | 深度 4 | 5.00 秒
7. v4：Nxd4 | 深度 5 | 4.28 秒
7... v3：Nf6 | 深度 4 | 5.00 秒
8. v4：e5 | 深度 4 | 5.00 秒
8... v3：Ng4 | 深度 4 | 5.00 秒
9. v4：f4 | 深度 4 | 5.00 秒
9... v3：Bc5 | 深度 3 | 5.00 秒
10. v4：c3 | 深度 4 | 5.00 秒
10... v3：Kd8 | 深度 3 | 5.00 秒
11. v4：h3 | 深度 4 | 5.00 秒
11... v3：Nh6 | 深度 4 | 5.00 秒
12. v4：Be3 | 深度 4 | 5.00 秒
12... v3：Bxd4 | 深度 3 | 5.00 秒
13. v4：Bxd4 | 深度 4 | 5.00 秒
13... v3：Be6 | 深度 3 | 5.00 秒
14. v4：Nd2 | 深度 4 | 5.00 秒
14... v3：b6 | 深度 3 | 5.00 秒
15. v4：Kd1 | 深度 4 | 5.00 秒
15... v3：c5 | 深度 4 | 5.00 秒
16. v4：Bg1 | 深度 4 | 5.00 秒
16... v3：Bd5 | 深度 4 | 5.00 秒
17. v4：Nf3 | 深度 4 | 5.00 秒
17... v3：Re8 | 深度 3 | 5.00 秒
18. v4：Nh4 | 深度 4 | 5.00 秒
18... v3：a5 | 深度 3 | 5.00 秒
19. v4：Ke1 | 深度 4 | 5.00 秒
19... v3：Kc8 | 深度 3 | 5.00 秒
20. v4：a4 | 深度 4 | 5.00 秒
20... v3：Bb3 | 深度 3 | 5.00 秒
21. v4：Be3 | 深度 4 | 5.00 秒
21... v3：g6 | 深度 3 | 5.00 秒
22. v4：Rf1 | 深度 4 | 5.00 秒
22... v3：Rd8 | 深度 3 | 5.00 秒
23. v4：g4 | 深度 4 | 5.00 秒
23... v3：Rd5 | 深度 3 | 5.00 秒
24. v4：Rf3 | 深度 4 | 5.00 秒
24... v3：Ng8 | 深度 3 | 5.00 秒
25. v4：Ra3 | 深度 4 | 5.00 秒
25... v3：Rd1+ | 深度 4 | 5.00 秒
26. v4：Kf2 | 深度 5 | 2.88 秒
26... v3：c4 | 深度 4 | 5.00 秒
27. v4：Kg2 | 深度 4 | 5.00 秒
27... v3：Bc2 | 深度 4 | 5.00 秒
28. v4：Kg3 | 深度 4 | 5.00 秒
28... v3：Rd5 | 深度 3 | 5.00 秒
29. v4：Bd4 | 深度 4 | 5.00 秒
29... v3：c5 | 深度 3 | 5.00 秒
30. v4：Be3 | 深度 4 | 5.00 秒
30... v3：Be4 | 深度 3 | 5.00 秒
31. v4：Rf2 | 深度 4 | 5.00 秒
31... v3：Rd3 | 深度 3 | 5.00 秒
32. v4：Re2 | 深度 5 | 3.78 秒
32... v3：Ne7 | 深度 3 | 5.00 秒
33. v4：Kf2 | 深度 4 | 5.00 秒
33... v3：Bd5 | 深度 3 | 5.00 秒
34. v4：f5 | 深度 4 | 5.00 秒
34... v3：Kb7 | 深度 4 | 5.00 秒
35. v4：b3 | 深度 4 | 5.00 秒
35... v3：cxb3 | 深度 4 | 5.00 秒
36. v4：e6 | 深度 4 | 5.00 秒
36... v3：fxe6 | 深度 4 | 5.00 秒
37. v4：f6 | 深度 4 | 5.00 秒
37... v3：Rf8 | 深度 4 | 5.00 秒
38. v4：g5 | 深度 4 | 5.00 秒
38... v3：Nc6 | 深度 3 | 5.00 秒
39. v4：Rd2 | 深度 4 | 5.00 秒
39... v3：Rxd2+ | 深度 4 | 5.00 秒
40. v4：Bxd2 | 深度 5 | 1.96 秒
40... v3：b2 | 深度 4 | 5.00 秒
41. v4：c4 | 深度 5 | 3.09 秒
41... v3：Bxc4 | 深度 4 | 5.00 秒
42. v4：Rc3 | 深度 4 | 5.00 秒
42... v3：b1=Q | 深度 4 | 5.00 秒
43. v4：Nf3 | 深度 4 | 5.00 秒
43... v3：Bd5 | 深度 3 | 5.00 秒
44. v4：Kg3 | 深度 3 | 5.00 秒
44... v3：Nd4 | 深度 3 | 5.00 秒
45. v4：Ne1 | 深度 4 | 5.00 秒
45... v3：Qd1 | 深度 3 | 5.00 秒
46. v4：Rd3 | 深度 4 | 5.00 秒
46... v3：Bc4 | 深度 3 | 5.00 秒
47. v4：Rxd4 | 深度 5 | 3.04 秒
47... v3：cxd4 | 深度 4 | 5.00 秒
48. v4：Bxa5 | 深度 5 | 3.37 秒
48... v3：bxa5 | 深度 4 | 5.00 秒
49. v4：Nf3 | 深度 5 | 4.35 秒
49... v3：d3 | 深度 3 | 5.00 秒
50. v4：Kf4 | 深度 4 | 5.00 秒
50... v3：d2 | 深度 4 | 5.00 秒
51. v4：Nxd2 | 深度 5 | 4.28 秒
51... v3：Qxd2+ | 深度 4 | 5.00 秒
52. v4：Ke5 | 深度 5 | 4.18 秒
52... v3：Qxg5+ | 深度 4 | 5.00 秒
53. v4：Kd4 | 深度 5 | 1.98 秒
53... v3：Bf1 | 深度 4 | 5.00 秒
54. v4：Kc3 | 深度 5 | 3.79 秒
54... v3：Qxf6+ | 深度 4 | 5.00 秒
55. v4：Kc2 | 深度 5 | 2.83 秒
55... v3：Qh4 | 深度 4 | 5.00 秒
56. v4：Kb1 | 深度 4 | 5.00 秒
56... v3：Rf2 | 深度 4 | 5.00 秒
57. v4：Kc1 | 深度 5 | 1.90 秒
57... v3：Re2 | 深度 4 | 5.00 秒
58. v4：Kb1 | 深度 5 | 1.53 秒
58... v3：Qe1# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE

===== 第 8/20 盘：西班牙式，白方 v3，黑方 v4 =====
4. v3：Bxc6 | 深度 4 | 5.00 秒
4... v4：dxc6 | 深度 4 | 5.00 秒
5. v3：Nc3 | 深度 3 | 5.00 秒
5... v4：Bg4 | 深度 4 | 5.00 秒
6. v3：d4 | 深度 3 | 5.00 秒
6... v4：Bxf3 | 深度 4 | 5.00 秒
7. v3：Qxf3 | 深度 4 | 5.00 秒
7... v4：exd4 | 深度 4 | 5.00 秒
8. v3：Nd1 | 深度 3 | 5.00 秒
8... v4：Qh4 | 深度 4 | 5.00 秒
9. v3：a4 | 深度 3 | 5.00 秒
9... v4：Qf6 | 深度 3 | 5.00 秒
10. v3：c3 | 深度 4 | 5.00 秒
10... v4：Qxf3 | 深度 4 | 5.00 秒
11. v3：gxf3 | 深度 5 | 1.69 秒
11... v4：dxc3 | 深度 4 | 5.00 秒
12. v3：bxc3 | 深度 4 | 5.00 秒
12... v4：Rd8 | 深度 4 | 5.00 秒
13. v3：Rf1 | 深度 4 | 5.00 秒
13... v4：Bd6 | 深度 4 | 5.00 秒
14. v3：h4 | 深度 4 | 5.00 秒
14... v4：Nf6 | 深度 4 | 5.00 秒
15. v3：a5 | 深度 4 | 5.00 秒
15... v4：Kd7 | 深度 4 | 5.00 秒
16. v3：Rg1 | 深度 4 | 5.00 秒
16... v4：Nh5 | 深度 4 | 5.00 秒
17. v3：Rg5 | 深度 4 | 5.00 秒
17... v4：Nf4 | 深度 4 | 5.00 秒
18. v3：Bxf4 | 深度 4 | 5.00 秒
18... v4：Bxf4 | 深度 5 | 3.38 秒
19. v3：Rxg7 | 深度 4 | 5.00 秒
19... v4：Ke6 | 深度 5 | 4.45 秒
20. v3：Rg4 | 深度 4 | 5.00 秒
20... v4：Bd2+ | 深度 4 | 5.00 秒
21. v3：Ke2 | 深度 4 | 5.00 秒
21... v4：h5 | 深度 4 | 5.00 秒
22. v3：Rg2 | 深度 4 | 5.00 秒
22... v4：Rd6 | 深度 4 | 5.00 秒
23. v3：Rb1 | 深度 4 | 5.00 秒
23... v4：Bf4 | 深度 4 | 5.00 秒
24. v3：Ne3 | 深度 4 | 5.00 秒
24... v4：b5 | 深度 4 | 5.00 秒
25. v3：axb6 | 深度 4 | 5.00 秒
25... v4：Rhd8 | 深度 4 | 5.00 秒
26. v3：bxc7 | 深度 4 | 5.00 秒
26... v4：Rd2+ | 深度 5 | 2.28 秒
27. v3：Ke1 | 深度 5 | 2.77 秒
27... v4：Bxc7 | 深度 5 | 4.51 秒
28. v3：Nd5 | 深度 3 | 5.00 秒
28... v4：cxd5 | 深度 5 | 3.67 秒
29. v3：Kxd2 | 深度 5 | 3.30 秒
29... v4：dxe4+ | 深度 5 | 1.95 秒
30. v3：Ke3 | 深度 5 | 1.20 秒
30... v4：exf3 | 深度 5 | 4.00 秒
31. v3：Rg5 | 深度 4 | 5.00 秒
31... v4：Rd5 | 深度 5 | 3.01 秒
32. v3：Rb7 | 深度 5 | 3.90 秒
32... v4：Ba5 | 深度 5 | 2.27 秒
33. v3：c4 | 深度 5 | 2.65 秒
33... v4：Bd2+ | 深度 5 | 0.56 秒
34. v3：Kxf3 | 深度 5 | 0.79 秒
34... v4：Rd3+ | 深度 5 | 0.85 秒
35. v3：Ke4 | 深度 5 | 0.85 秒
35... v4：Bxg5 | 深度 5 | 1.28 秒
36. v3：Kxd3 | 深度 5 | 1.79 秒
36... v4：Bxh4 | 深度 5 | 0.95 秒
37. v3：Ke3 | 深度 4 | 5.00 秒
37... v4：Be7 | 深度 5 | 2.65 秒
38. v3：Rb6+ | 深度 5 | 4.64 秒
38... v4：Ke5 | 深度 5 | 0.67 秒
39. v3：f4+ | 深度 5 | 3.53 秒
39... v4：Kf5 | 深度 5 | 0.41 秒
40. v3：Rxa6 | 深度 5 | 2.67 秒
40... v4：Kg4 | 深度 5 | 1.13 秒
41. v3：Rc6 | 深度 5 | 4.10 秒
41... v4：Bb4 | 深度 5 | 1.34 秒
42. v3：Rf6 | 深度 5 | 1.90 秒
42... v4：Ba3 | 深度 5 | 0.68 秒
43. v3：Rxf7 | 深度 5 | 2.15 秒
43... v4：Kg3 | 深度 5 | 1.89 秒
44. v3：f5 | 深度 4 | 5.00 秒
44... v4：h4 | 深度 5 | 2.14 秒
45. v3：Rg7+ | 深度 5 | 4.82 秒
45... v4：Kh3 | 深度 5 | 0.70 秒
46. v3：Rb7 | 深度 5 | 4.91 秒
46... v4：Kg4 | 深度 5 | 1.37 秒
47. v3：Ke4 | 深度 5 | 4.16 秒
47... v4：Kg5 | 深度 5 | 1.46 秒
48. v3：Ke5 | 深度 5 | 3.79 秒
48... v4：Bf8 | 深度 5 | 1.36 秒
49. v3：Rf7 | 深度 5 | 4.84 秒
49... v4：Bb4 | 深度 5 | 0.96 秒
50. v3：Rg7+ | 深度 5 | 3.34 秒
50... v4：Kh6 | 深度 5 | 0.50 秒
51. v3：f6 | 深度 5 | 3.01 秒
51... v4：h3 | 深度 5 | 1.56 秒
52. v3：Rg3 | 深度 5 | 4.56 秒
52... v4：h2 | 深度 5 | 0.47 秒
53. v3：Rh3+ | 深度 5 | 1.10 秒
53... v4：Kg5 | 深度 5 | 0.41 秒
54. v3：Rxh2 | 深度 5 | 2.23 秒
54... v4：Bc3+ | 深度 5 | 0.72 秒
55. v3：Ke6 | 深度 5 | 2.55 秒
55... v4：Bxf6 | 深度 5 | 1.07 秒
56. v3：Rg2+ | 深度 5 | 2.09 秒
56... v4：Kf4 | 深度 5 | 0.34 秒
57. v3：Kxf6 | 深度 5 | 1.62 秒
57... v4：Ke4 | 深度 5 | 0.50 秒
58. v3：Rg5 | 深度 5 | 3.85 秒
58... v4：Kd3 | 深度 5 | 0.32 秒
59. v3：c5 | 深度 5 | 1.79 秒
59... v4：Ke4 | 深度 5 | 0.74 秒
60. v3：c6 | 深度 5 | 1.39 秒
60... v4：Kf4 | 深度 5 | 0.31 秒
61. v3：c7 | 深度 5 | 1.17 秒
61... v4：Ke4 | 深度 5 | 0.97 秒
62. v3：Rg6 | 深度 4 | 5.00 秒
62... v4：Kf4 | 深度 5 | 1.03 秒
63. v3：c8=Q | 深度 5 | 3.19 秒
63... v4：Ke3 | 深度 5 | 1.19 秒
64. v3：Qe6+ | 深度 4 | 5.00 秒
64... v4：Kd2 | 深度 5 | 1.21 秒
65. v3：Rg7 | 深度 4 | 5.00 秒
65... v4：Kc2 | 深度 5 | 1.37 秒
66. v3：Rc7+ | 深度 4 | 5.00 秒
66... v4：Kd3 | 深度 5 | 1.73 秒
67. v3：Re7 | 深度 4 | 5.00 秒
67... v4：Kc2 | 深度 5 | 1.28 秒
68. v3：Rc7+ | 深度 4 | 5.00 秒
68... v4：Kd3 | 深度 5 | 2.60 秒
69. v3：Re7 | 深度 4 | 5.00 秒
69... v4：Kc2 | 深度 5 | 1.82 秒
70. v3：Rf7 | 深度 4 | 5.00 秒
70... v4：Kc3 | 深度 5 | 1.79 秒
71. v3：Rg7 | 深度 4 | 5.00 秒
71... v4：Kc2 | 深度 5 | 2.20 秒
72. v3：Re7 | 深度 4 | 5.00 秒
72... v4：Kc3 | 深度 5 | 1.88 秒
73. v3：Rf7 | 深度 4 | 5.00 秒
73... v4：Kc2 | 深度 5 | 1.94 秒
74. v3：Re7 | 深度 4 | 5.00 秒
74... v4：Kc3 | 深度 5 | 2.01 秒
75. v3：Rf7 | 深度 4 | 5.00 秒
75... v4：Kc2 | 深度 5 | 1.94 秒
76. v3：Rg7 | 深度 4 | 5.00 秒
76... v4：Kc3 | 深度 5 | 3.02 秒
77. v3：Rd7 | 深度 4 | 5.00 秒
77... v4：Kb2 | 深度 5 | 1.81 秒
78. v3：Rb7+ | 深度 4 | 5.00 秒
78... v4：Kc2 | 深度 5 | 2.59 秒
79. v3：Rf7 | 深度 4 | 5.00 秒
79... v4：Kc3 | 深度 5 | 1.68 秒
80. v3：Rd7 | 深度 4 | 5.00 秒
80... v4：Kb2 | 深度 5 | 1.83 秒
81. v3：Rb7+ | 深度 4 | 5.00 秒
81... v4：Kc2 | 深度 5 | 2.34 秒
82. v3：Ra7 | 深度 4 | 5.00 秒
82... v4：Kc3 | 深度 5 | 3.44 秒
83. v3：Rh7 | 深度 4 | 5.00 秒
83... v4：Kc2 | 深度 5 | 2.81 秒
84. v3：Kg6 | 深度 4 | 5.00 秒
84... v4：Kd3 | 深度 5 | 3.59 秒
85. v3：Qf5+ | 深度 4 | 5.00 秒
85... v4：Kc3 | 深度 5 | 3.00 秒
86. v3：Qf7 | 深度 4 | 5.00 秒
86... v4：Kc2 | 深度 5 | 2.26 秒
87. v3：Qf5+ | 深度 4 | 5.00 秒
87... v4：Kc3 | 深度 5 | 3.15 秒
