本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 9/20 盘：西西里式，白方 v4，黑方 v3 =====
4. v4：Qxd4 | 深度 4 | 5.00 秒
4... v3：Nc6 | 深度 3 | 5.00 秒
5. v4：Qd2 | 深度 4 | 5.00 秒
5... v3：Nf6 | 深度 3 | 5.00 秒
6. v4：Nc3 | 深度 4 | 5.00 秒
6... v3：e6 | 深度 3 | 5.00 秒
7. v4：Be2 | 深度 3 | 5.00 秒
7... v3：d5 | 深度 3 | 5.00 秒
8. v4：e5 | 深度 4 | 5.00 秒
8... v3：Nd7 | 深度 3 | 5.00 秒
9. v4：h4 | 深度 3 | 5.00 秒
9... v3：f6 | 深度 3 | 5.00 秒
10. v4：exf6 | 深度 4 | 5.00 秒
10... v3：Qxf6 | 深度 3 | 5.00 秒
11. v4：Qg5 | 深度 3 | 5.00 秒
11... v3：Bb4 | 深度 3 | 5.00 秒
12. v4：O-O | 深度 4 | 5.00 秒
12... v3：O-O | 深度 3 | 5.00 秒
13. v4：Rb1 | 深度 3 | 5.00 秒
13... v3：Bxc3 | 深度 4 | 5.00 秒
14. v4：bxc3 | 深度 4 | 5.00 秒
14... v3：h6 | 深度 3 | 5.00 秒
15. v4：Qxf6 | 深度 4 | 5.00 秒
15... v3：Nxf6 | 深度 4 | 5.00 秒
16. v4：Bb5 | 深度 4 | 5.00 秒
16... v3：Bd7 | 深度 4 | 5.00 秒
17. v4：Rd1 | 深度 4 | 5.00 秒
17... v3：Ng4 | 深度 3 | 5.00 秒
18. v4：Bd3 | 深度 3 | 5.00 秒
18... v3：b6 | 深度 3 | 5.00 秒
19. v4：Ba3 | 深度 3 | 5.00 秒
19... v3：Rf4 | 深度 3 | 5.00 秒
20. v4：Bd6 | 深度 3 | 5.00 秒
20... v3：Ra4 | 深度 3 | 5.00 秒
21. v4：Rb2 | 深度 4 | 5.00 秒
21... v3：Rc8 | 深度 3 | 5.00 秒
22. v4：Bb5 | 深度 4 | 5.00 秒
22... v3：Ra5 | 深度 4 | 5.00 秒
23. v4：Bg3 | 深度 3 | 5.00 秒
23... v3：Nb8 | 深度 3 | 5.00 秒
24. v4：c4 | 深度 4 | 5.00 秒
24... v3：a6 | 深度 4 | 5.00 秒
25. v4：Bxd7 | 深度 4 | 5.00 秒
25... v3：Nxd7 | 深度 4 | 5.00 秒
26. v4：Nd4 | 深度 4 | 5.00 秒
26... v3：Rxc4 | 深度 4 | 5.00 秒
27. v4：Nxe6 | 深度 4 | 5.00 秒
27... v3：Re4 | 深度 3 | 5.00 秒
28. v4：Nc7 | 深度 4 | 5.00 秒
28... v3：Ngf6 | 深度 4 | 5.00 秒
29. v4：f3 | 深度 4 | 5.00 秒
29... v3：Re2 | 深度 4 | 5.00 秒
30. v4：Kf1 | 深度 4 | 5.00 秒
30... v3：Re7 | 深度 4 | 5.00 秒
31. v4：Bd6 | 深度 4 | 5.00 秒
31... v3：Re3 | 深度 4 | 5.00 秒
32. v4：Bb4 | 深度 4 | 5.00 秒
32... v3：Ra4 | 深度 4 | 5.00 秒
33. v4：Kf2 | 深度 4 | 5.00 秒
33... v3：Re5 | 深度 4 | 5.00 秒
34. v4：Bc3 | 深度 4 | 5.00 秒
34... v3：Rh5 | 深度 4 | 5.00 秒
35. v4：g3 | 深度 4 | 5.00 秒
35... v3：Rc4 | 深度 4 | 5.00 秒
36. v4：Bxf6 | 深度 4 | 5.00 秒
36... v3：Nxf6 | 深度 4 | 5.00 秒
37. v4：Nxa6 | 深度 4 | 5.00 秒
37... v3：Rf5 | 深度 3 | 5.00 秒
38. v4：Rd3 | 深度 4 | 5.00 秒
38... v3：d4 | 深度 3 | 5.00 秒
39. v4：Kg2 | 深度 4 | 5.00 秒
39... v3：Nd5 | 深度 3 | 5.00 秒
40. v4：Kh3 | 深度 4 | 5.00 秒
40... v3：Rf8 | 深度 4 | 5.00 秒
41. v4：Rb5 | 深度 4 | 5.00 秒
41... v3：Rd8 | 深度 4 | 5.00 秒
42. v4：a3 | 深度 4 | 5.00 秒
42... v3：h5 | 深度 4 | 5.00 秒
43. v4：c3 | 深度 4 | 5.00 秒
43... v3：Nxc3 | 深度 4 | 5.00 秒
44. v4：Rxb6 | 深度 4 | 5.00 秒
44... v3：Ra4 | 深度 4 | 5.00 秒
45. v4：Nc7 | 深度 4 | 5.00 秒
45... v3：Rxa3 | 深度 4 | 5.00 秒
46. v4：Ne6 | 深度 4 | 5.00 秒
46... v3：Rda8 | 深度 4 | 5.00 秒
47. v4：Nxd4 | 深度 4 | 5.00 秒
47... v3：Rc8 | 深度 4 | 5.00 秒
48. v4：Nc6 | 深度 4 | 5.00 秒
48... v3：Kh7 | 深度 4 | 5.00 秒
49. v4：f4 | 深度 4 | 5.00 秒
49... v3：Re8 | 深度 4 | 5.00 秒
50. v4：Ne5 | 深度 4 | 5.00 秒
50... v3：Rc8 | 深度 4 | 5.00 秒
51. v4：g4 | 深度 4 | 5.00 秒
51... v3：hxg4+ | 深度 4 | 5.00 秒
52. v4：Kxg4 | 深度 5 | 2.95 秒
52... v3：Ra2 | 深度 4 | 5.00 秒
53. v4：f5 | 深度 3 | 5.00 秒
53... v3：Rc5 | 深度 3 | 5.00 秒
54. v4：Nd7 | 深度 4 | 5.00 秒
54... v3：Rc4+ | 深度 4 | 5.00 秒
55. v4：Kg5 | 深度 5 | 4.81 秒
55... v3：Rf2 | 深度 4 | 5.00 秒
56. v4：Nf8+ | 深度 5 | 3.60 秒
56... v3：Kg8 | 深度 5 | 4.47 秒
57. v4：Ne6 | 深度 5 | 3.95 秒
57... v3：Ne4+ | 深度 4 | 5.00 秒
58. v4：Kg6 | 深度 5 | 0.97 秒
58... v3：Rg2+ | 深度 4 | 5.00 秒
59. v4：Ng5 | 深度 5 | 0.89 秒
59... v3：Rc8 | 深度 4 | 5.00 秒
60. v4：Rd7 | 深度 4 | 5.00 秒
60... v3：Kh8 | 深度 5 | 2.43 秒
61. v4：Rxg7 | 深度 5 | 3.52 秒
61... v3：Nxg5 | 深度 5 | 2.85 秒
62. v4：hxg5 | 深度 5 | 1.16 秒
62... v3：Rxg5+ | 深度 5 | 2.05 秒
63. v4：Kxg5 | 深度 5 | 0.36 秒
63... v3：Kxg7 | 深度 5 | 1.41 秒
64. v4：Rg6+ | 深度 5 | 1.19 秒
64... v3：Kf7 | 深度 5 | 0.57 秒
