本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 11/20 盘：法兰西式，白方 v4，黑方 v3 =====
4. v4：e5 | 深度 4 | 5.00 秒
4... v3：Ne4 | 深度 4 | 5.00 秒
5. v4：Nf3 | 深度 4 | 5.00 秒
5... v3：Nxc3 | 深度 4 | 5.00 秒
6. v4：bxc3 | 深度 4 | 5.00 秒
6... v3：Be7 | 深度 3 | 5.00 秒
7. v4：h4 | 深度 4 | 5.00 秒
7... v3：Qd7 | 深度 3 | 5.00 秒
8. v4：Be3 | 深度 3 | 5.00 秒
8... v3：a5 | 深度 3 | 5.00 秒
9. v4：Be2 | 深度 4 | 5.00 秒
9... v3：Na6 | 深度 3 | 5.00 秒
10. v4：Rh3 | 深度 4 | 5.00 秒
10... v3：c5 | 深度 3 | 5.00 秒
11. v4：Bxa6 | 深度 4 | 5.00 秒
11... v3：cxd4 | 深度 4 | 5.00 秒
12. v4：Bb5 | 深度 4 | 5.00 秒
12... v3：Qxb5 | 深度 4 | 5.00 秒
13. v4：Nxd4 | 深度 4 | 5.00 秒
13... v3：Qa6 | 深度 3 | 5.00 秒
14. v4：Qg4 | 深度 4 | 5.00 秒
14... v3：Qc4 | 深度 3 | 5.00 秒
15. v4：Kd2 | 深度 3 | 5.00 秒
15... v3：Bf8 | 深度 3 | 5.00 秒
16. v4：Qf3 | 深度 3 | 5.00 秒
16... v3：b6 | 深度 3 | 5.00 秒
17. v4：a4 | 深度 3 | 5.00 秒
17... v3：Bd7 | 深度 3 | 5.00 秒
18. v4：Nb5 | 深度 3 | 5.00 秒
18... v3：Bxb5 | 深度 4 | 5.00 秒
19. v4：axb5 | 深度 4 | 5.00 秒
19... v3：Qxb5 | 深度 4 | 5.00 秒
20. v4：h5 | 深度 3 | 5.00 秒
20... v3：Bc5 | 深度 3 | 5.00 秒
21. v4：Bxc5 | 深度 4 | 5.00 秒
21... v3：Qb2 | 深度 4 | 5.00 秒
22. v4：Rhh1 | 深度 4 | 5.00 秒
22... v3：Qb5 | 深度 3 | 5.00 秒
23. v4：Bd6 | 深度 4 | 5.00 秒
23... v3：h6 | 深度 3 | 5.00 秒
24. v4：Qd3 | 深度 3 | 5.00 秒
24... v3：Qc6 | 深度 4 | 5.00 秒
25. v4：Rh4 | 深度 3 | 5.00 秒
25... v3：Qd7 | 深度 3 | 5.00 秒
26. v4：Kc1 | 深度 3 | 5.00 秒
26... v3：Qa7 | 深度 3 | 5.00 秒
27. v4：Qb5+ | 深度 4 | 5.00 秒
27... v3：Qd7 | 深度 4 | 5.00 秒
28. v4：Qxb6 | 深度 4 | 5.00 秒
28... v3：Rh7 | 深度 4 | 5.00 秒
29. v4：Rxa5 | 深度 3 | 5.00 秒
29... v3：Rxa5 | 深度 4 | 5.00 秒
30. v4：Qxa5 | 深度 4 | 5.00 秒
30... v3：Qb7 | 深度 4 | 5.00 秒
31. v4：Rb4 | 深度 4 | 5.00 秒
31... v3：Qc8 | 深度 4 | 5.00 秒
32. v4：Qa7 | 深度 4 | 5.00 秒
32... v3：Qd8 | 深度 4 | 5.00 秒
33. v4：Rb8 | 深度 4 | 5.00 秒
33... v3：Qxb8 | 深度 5 | 4.37 秒
34. v4：Qe7# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE

===== 第 12/20 盘：法兰西式，白方 v3，黑方 v4 =====
4. v3：e5 | 深度 4 | 5.00 秒
4... v4：Ne4 | 深度 4 | 5.00 秒
5. v3：Nf3 | 深度 4 | 5.00 秒
5... v4：Nxc3 | 深度 4 | 5.00 秒
6. v3：bxc3 | 深度 4 | 5.00 秒
6... v4：Bd7 | 深度 4 | 5.00 秒
7. v3：Rb1 | 深度 4 | 5.00 秒
7... v4：b6 | 深度 4 | 5.00 秒
8. v3：Ng5 | 深度 4 | 5.00 秒
8... v4：h6 | 深度 4 | 5.00 秒
9. v3：Qh5 | 深度 4 | 5.00 秒
9... v4：g6 | 深度 4 | 5.00 秒
10. v3：Qh4 | 深度 4 | 5.00 秒
10... v4：Be7 | 深度 4 | 5.00 秒
11. v3：Nxf7 | 深度 3 | 5.00 秒
11... v4：Bxh4 | 深度 5 | 4.38 秒
12. v3：Nxd8 | 深度 4 | 5.00 秒
12... v4：Kxd8 | 深度 4 | 5.00 秒
13. v3：Bd3 | 深度 4 | 5.00 秒
13... v4：a6 | 深度 4 | 5.00 秒
14. v3：Bxg6 | 深度 4 | 5.00 秒
14... v4：Rg8 | 深度 4 | 5.00 秒
15. v3：g3 | 深度 5 | 3.93 秒
15... v4：Rxg6 | 深度 5 | 3.11 秒
16. v3：gxh4 | 深度 4 | 5.00 秒
16... v4：h5 | 深度 5 | 4.06 秒
17. v3：Kd1 | 深度 4 | 5.00 秒
17... v4：Rg2 | 深度 5 | 4.89 秒
18. v3：Be3 | 深度 4 | 5.00 秒
18... v4：Ba4 | 深度 4 | 5.00 秒
19. v3：Rb2 | 深度 4 | 5.00 秒
19... v4：a5 | 深度 4 | 5.00 秒
20. v3：h3 | 深度 4 | 5.00 秒
20... v4：Kc8 | 深度 4 | 5.00 秒
21. v3：Ke2 | 深度 3 | 5.00 秒
21... v4：Kb7 | 深度 4 | 5.00 秒
22. v3：Bg5 | 深度 4 | 5.00 秒
22... v4：Nd7 | 深度 4 | 5.00 秒
23. v3：Kf1 | 深度 4 | 5.00 秒
23... v4：Rxg5 | 深度 5 | 4.01 秒
24. v3：hxg5 | 深度 4 | 5.00 秒
24... v4：Rf8 | 深度 4 | 5.00 秒
25. v3：Kg2 | 深度 4 | 5.00 秒
25... v4：Rf5 | 深度 4 | 5.00 秒
26. v3：h4 | 深度 4 | 5.00 秒
26... v4：Nf8 | 深度 4 | 5.00 秒
27. v3：Rh3 | 深度 4 | 5.00 秒
27... v4：Ng6 | 深度 5 | 4.87 秒
28. v3：Rh2 | 深度 4 | 5.00 秒
28... v4：Rf4 | 深度 4 | 5.00 秒
29. v3：Kh1 | 深度 4 | 5.00 秒
29... v4：Nxh4 | 深度 4 | 5.00 秒
30. v3：Rh3 | 深度 4 | 5.00 秒
30... v4：Bd7 | 深度 4 | 5.00 秒
31. v3：Rb1 | 深度 4 | 5.00 秒
31... v4：a4 | 深度 4 | 5.00 秒
32. v3：Rg1 | 深度 4 | 5.00 秒
32... v4：Bb5 | 深度 4 | 5.00 秒
33. v3：Rgg3 | 深度 3 | 5.00 秒
33... v4：Bf1 | 深度 4 | 5.00 秒
34. v3：Rh2 | 深度 5 | 3.28 秒
34... v4：Be2 | 深度 4 | 5.00 秒
35. v3：Rhh3 | 深度 4 | 5.00 秒
35... v4：Nf5 | 深度 4 | 5.00 秒
36. v3：Rg2 | 深度 4 | 5.00 秒
36... v4：Bf3 | 深度 4 | 5.00 秒
37. v3：Kh2 | 深度 5 | 3.04 秒
37... v4：Bxg2 | 深度 4 | 5.00 秒
38. v3：Kxg2 | 深度 5 | 2.32 秒
38... v4：Rg4+ | 深度 5 | 4.20 秒
39. v3：Kf3 | 深度 5 | 2.42 秒
39... v4：Rxg5 | 深度 5 | 3.19 秒
40. v3：Ke2 | 深度 4 | 5.00 秒
40... v4：h4 | 深度 4 | 5.00 秒
41. v3：Kf3 | 深度 4 | 5.00 秒
41... v4：Rg1 | 深度 5 | 4.18 秒
42. v3：Kf4 | 深度 4 | 5.00 秒
42... v4：Rc1 | 深度 4 | 5.00 秒
43. v3：Kg5 | 深度 5 | 2.85 秒
43... v4：Rxc2 | 深度 4 | 5.00 秒
44. v3：Kf6 | 深度 5 | 2.41 秒
44... v4：Rxa2 | 深度 5 | 2.63 秒
45. v3：f4 | 深度 5 | 3.44 秒
45... v4：Rf2 | 深度 5 | 2.99 秒
46. v3：Kxe6 | 深度 5 | 1.85 秒
46... v4：Rxf4 | 深度 5 | 2.20 秒
47. v3：Kxd5 | 深度 5 | 3.82 秒
47... v4：a3 | 深度 5 | 4.47 秒
48. v3：Ke6 | 深度 4 | 5.00 秒
48... v4：Ng7+ | 深度 5 | 3.77 秒
49. v3：Kd7 | 深度 5 | 3.03 秒
49... v4：Rf7+ | 深度 5 | 4.56 秒
50. v3：Kd8 | 深度 5 | 0.93 秒
50... v4：a2 | 深度 5 | 4.08 秒
51. v3：Rh1 | 深度 5 | 3.05 秒
51... v4：Ne6+ | 深度 4 | 5.00 秒
52. v3：Ke8 | 深度 5 | 3.29 秒
52... v4：Rg7 | 深度 5 | 4.31 秒
53. v3：d5 | 深度 4 | 5.00 秒
53... v4：Nc5 | 深度 5 | 4.01 秒
54. v3：Ra1 | 深度 4 | 5.00 秒
54... v4：Rg2 | 深度 5 | 2.48 秒
55. v3：d6 | 深度 4 | 5.00 秒
55... v4：Kc8 | 深度 5 | 3.74 秒
56. v3：c4 | 深度 5 | 4.08 秒
56... v4：Rf2 | 深度 5 | 3.75 秒
57. v3：Ke7 | 深度 5 | 2.18 秒
57... v4：cxd6 | 深度 5 | 3.14 秒
58. v3：exd6 | 深度 4 | 5.00 秒
58... v4：Re2+ | 深度 5 | 2.58 秒
59. v3：Kf7 | 深度 5 | 3.61 秒
59... v4：Nb3 | 深度 5 | 4.07 秒
60. v3：Rd1 | 深度 5 | 3.22 秒
60... v4：a1=Q | 深度 5 | 4.34 秒
61. v3：Rxa1 | 深度 5 | 0.76 秒
61... v4：Nxa1 | 深度 5 | 2.47 秒
62. v3：Kg6 | 深度 5 | 0.86 秒
62... v4：h3 | 深度 5 | 2.14 秒
63. v3：d7+ | 深度 5 | 3.02 秒
63... v4：Kd8 | 深度 5 | 0.47 秒
64. v3：c5 | 深度 5 | 4.74 秒
64... v4：bxc5 | 深度 5 | 1.49 秒
65. v3：Kg5 | 深度 5 | 2.37 秒
65... v4：h2 | 深度 5 | 1.66 秒
66. v3：Kf6 | 深度 5 | 1.33 秒
66... v4：h1=Q | 深度 5 | 3.12 秒
67. v3：Kf5 | 深度 5 | 2.25 秒
67... v4：Qe4+ | 深度 4 | 5.00 秒
68. v3：Kg5 | 深度 5 | 1.22 秒
68... v4：Rg2+ | 深度 4 | 5.00 秒
69. v3：Kf6 | 深度 5 | 1.14 秒
69... v4：Kxd7 | 深度 4 | 5.00 秒
70. v3：Kf7 | 深度 5 | 0.85 秒
70... v4：Qf3# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE
