本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 15/20 盘：斯拉夫式，白方 v4，黑方 v3 =====
4. v4：cxd5 | 深度 4 | 5.00 秒
4... v3：cxd5 | 深度 4 | 5.00 秒
5. v4：Nc3 | 深度 4 | 5.00 秒
5... v3：Nc6 | 深度 3 | 5.00 秒
6. v4：Be3 | 深度 3 | 5.00 秒
6... v3：h6 | 深度 3 | 5.00 秒
7. v4：Qd3 | 深度 3 | 5.00 秒
7... v3：Bd7 | 深度 3 | 5.00 秒
8. v4：h3 | 深度 3 | 5.00 秒
8... v3：g6 | 深度 3 | 5.00 秒
9. v4：a3 | 深度 3 | 5.00 秒
9... v3：Bg7 | 深度 3 | 5.00 秒
10. v4：Kd2 | 深度 3 | 5.00 秒
10... v3：Na5 | 深度 3 | 5.00 秒
11. v4：Na2 | 深度 4 | 5.00 秒
11... v3：Qb6 | 深度 3 | 5.00 秒
12. v4：b4 | 深度 3 | 5.00 秒
12... v3：Bf5 | 深度 3 | 5.00 秒
13. v4：Qc3 | 深度 4 | 5.00 秒
13... v3：Ne4+ | 深度 4 | 5.00 秒
14. v4：Ke1 | 深度 4 | 5.00 秒
14... v3：Nxc3 | 深度 4 | 5.00 秒
15. v4：Nxc3 | 深度 4 | 5.00 秒
15... v3：Qc6 | 深度 3 | 5.00 秒
16. v4：Rc1 | 深度 4 | 5.00 秒
16... v3：Nc4 | 深度 3 | 5.00 秒
17. v4：Nh4 | 深度 4 | 5.00 秒
17... v3：Nxa3 | 深度 3 | 5.00 秒
18. v4：Nxf5 | 深度 4 | 5.00 秒
18... v3：gxf5 | 深度 4 | 5.00 秒
19. v4：g4 | 深度 4 | 5.00 秒
19... v3：f4 | 深度 4 | 5.00 秒
20. v4：Bxf4 | 深度 4 | 5.00 秒
20... v3：Bxd4 | 深度 3 | 5.00 秒
21. v4：Na2 | 深度 4 | 5.00 秒
21... v3：Qf6 | 深度 3 | 5.00 秒
22. v4：e3 | 深度 4 | 5.00 秒
22... v3：Ba1 | 深度 3 | 5.00 秒
23. v4：Rc7 | 深度 4 | 5.00 秒
23... v3：O-O | 深度 3 | 5.00 秒
24. v4：Bd3 | 深度 4 | 5.00 秒
24... v3：e5 | 深度 4 | 5.00 秒
25. v4：Bg3 | 深度 4 | 5.00 秒
25... v3：e4 | 深度 3 | 5.00 秒
26. v4：Be2 | 深度 4 | 5.00 秒
26... v3：Qb2 | 深度 3 | 5.00 秒
27. v4：Nc1 | 深度 4 | 5.00 秒
27... v3：Nc4 | 深度 3 | 5.00 秒
28. v4：Kf1 | 深度 4 | 5.00 秒
28... v3：Rac8 | 深度 4 | 5.00 秒
29. v4：Kg2 | 深度 5 | 4.74 秒
29... v3：Rxc7 | 深度 4 | 5.00 秒
30. v4：Bxc7 | 深度 4 | 5.00 秒
30... v3：Rc8 | 深度 4 | 5.00 秒
31. v4：Bxc4 | 深度 4 | 5.00 秒
31... v3：dxc4 | 深度 4 | 5.00 秒
32. v4：Bd6 | 深度 4 | 5.00 秒
32... v3：Rd8 | 深度 3 | 5.00 秒
33. v4：Be7 | 深度 4 | 5.00 秒
33... v3：Rd2 | 深度 4 | 5.00 秒
34. v4：Rf1 | 深度 5 | 3.62 秒
34... v3：Rc2 | 深度 4 | 5.00 秒
35. v4：Bc5 | 深度 5 | 4.75 秒
35... v3：Rxc1 | 深度 4 | 5.00 秒
36. v4：Rxc1 | 深度 5 | 1.43 秒
36... v3：Qxc1 | 深度 5 | 3.08 秒
37. v4：Bxa7 | 深度 5 | 2.44 秒
37... v3：c3 | 深度 4 | 5.00 秒
38. v4：g5 | 深度 5 | 4.09 秒
38... v3：Qa3 | 深度 5 | 2.74 秒
