本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 17/20 盘：王印式，白方 v4，黑方 v3 =====
4. v4：e4 | 深度 4 | 5.00 秒
4... v3：d6 | 深度 3 | 5.00 秒
5. v4：Nf3 | 深度 4 | 5.00 秒
5... v3：c5 | 深度 3 | 5.00 秒
6. v4：Rg1 | 深度 4 | 5.00 秒
6... v3：cxd4 | 深度 4 | 5.00 秒
7. v4：Qxd4 | 深度 4 | 5.00 秒
7... v3：e5 | 深度 3 | 5.00 秒
8. v4：Qd2 | 深度 4 | 5.00 秒
8... v3：O-O | 深度 3 | 5.00 秒
9. v4：Qe3 | 深度 3 | 5.00 秒
9... v3：h6 | 深度 3 | 5.00 秒
10. v4：Rb1 | 深度 3 | 5.00 秒
10... v3：Be6 | 深度 3 | 5.00 秒
11. v4：h3 | 深度 3 | 5.00 秒
11... v3：Na6 | 深度 3 | 5.00 秒
12. v4：b4 | 深度 3 | 5.00 秒
12... v3：Qc7 | 深度 3 | 5.00 秒
13. v4：Nd5 | 深度 3 | 5.00 秒
13... v3：Bxd5 | 深度 4 | 5.00 秒
14. v4：exd5 | 深度 4 | 5.00 秒
14... v3：e4 | 深度 3 | 5.00 秒
15. v4：Nd4 | 深度 4 | 5.00 秒
15... v3：Qb6 | 深度 3 | 5.00 秒
16. v4：Nb5 | 深度 3 | 5.00 秒
16... v3：Rae8 | 深度 4 | 5.00 秒
17. v4：Qxb6 | 深度 4 | 5.00 秒
17... v3：axb6 | 深度 4 | 5.00 秒
18. v4：Nxd6 | 深度 4 | 5.00 秒
18... v3：Ra8 | 深度 4 | 5.00 秒
19. v4：Nxb7 | 深度 4 | 5.00 秒
19... v3：Nc7 | 深度 4 | 5.00 秒
20. v4：d6 | 深度 4 | 5.00 秒
20... v3：Rab8 | 深度 4 | 5.00 秒
21. v4：Nd8 | 深度 4 | 5.00 秒
21... v3：Rbxd8 | 深度 4 | 5.00 秒
22. v4：dxc7 | 深度 5 | 4.15 秒
22... v3：Rc8 | 深度 4 | 5.00 秒
23. v4：Be3 | 深度 5 | 4.80 秒
23... v3：Rxc7 | 深度 4 | 5.00 秒
24. v4：Bxb6 | 深度 4 | 5.00 秒
24... v3：Rd7 | 深度 4 | 5.00 秒
25. v4：a4 | 深度 4 | 5.00 秒
25... v3：Rb8 | 深度 4 | 5.00 秒
26. v4：a5 | 深度 4 | 5.00 秒
26... v3：Re7 | 深度 3 | 5.00 秒
27. v4：Rc1 | 深度 4 | 5.00 秒
27... v3：h5 | 深度 4 | 5.00 秒
28. v4：b5 | 深度 4 | 5.00 秒
28... v3：Rd7 | 深度 4 | 5.00 秒
29. v4：Be3 | 深度 4 | 5.00 秒
29... v3：Ra8 | 深度 4 | 5.00 秒
30. v4：a6 | 深度 4 | 5.00 秒
30... v3：h4 | 深度 3 | 5.00 秒
31. v4：Bg5 | 深度 4 | 5.00 秒
31... v3：Ne8 | 深度 4 | 5.00 秒
32. v4：c5 | 深度 4 | 5.00 秒
32... v3：Nc7 | 深度 4 | 5.00 秒
33. v4：c6 | 深度 4 | 5.00 秒
33... v3：Rd5 | 深度 4 | 5.00 秒
34. v4：Bxh4 | 深度 4 | 5.00 秒
34... v3：g5 | 深度 3 | 5.00 秒
35. v4：b6 | 深度 4 | 5.00 秒
35... v3：Bb2 | 深度 4 | 5.00 秒
36. v4：b7 | 深度 5 | 4.54 秒
36... v3：Bxc1 | 深度 4 | 5.00 秒
