本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 19/20 盘：苏格兰式，白方 v4，黑方 v3 =====
4. v4：Nxd4 | 深度 4 | 5.00 秒
4... v3：Qh4 | 深度 4 | 5.00 秒
5. v4：Nc3 | 深度 4 | 5.00 秒
5... v3：Bb4 | 深度 3 | 5.00 秒
6. v4：Qd3 | 深度 4 | 5.00 秒
6... v3：Nf6 | 深度 3 | 5.00 秒
7. v4：Nf5 | 深度 4 | 5.00 秒
7... v3：Qg4 | 深度 4 | 5.00 秒
8. v4：h3 | 深度 3 | 5.00 秒
8... v3：Bxc3+ | 深度 3 | 5.00 秒
9. v4：bxc3 | 深度 5 | 3.02 秒
9... v3：Qg6 | 深度 3 | 5.00 秒
10. v4：Qg3 | 深度 3 | 5.00 秒
10... v3：O-O | 深度 4 | 5.00 秒
11. v4：f3 | 深度 4 | 5.00 秒
11... v3：d5 | 深度 4 | 5.00 秒
12. v4：Qxg6 | 深度 4 | 5.00 秒
12... v3：hxg6 | 深度 4 | 5.00 秒
13. v4：Ng3 | 深度 4 | 5.00 秒
13... v3：dxe4 | 深度 4 | 5.00 秒
14. v4：fxe4 | 深度 4 | 5.00 秒
14... v3：Re8 | 深度 3 | 5.00 秒
15. v4：Bd3 | 深度 4 | 5.00 秒
15... v3：Nh5 | 深度 3 | 5.00 秒
16. v4：Nxh5 | 深度 4 | 5.00 秒
16... v3：gxh5 | 深度 4 | 5.00 秒
17. v4：Bf4 | 深度 4 | 5.00 秒
17... v3：Re7 | 深度 3 | 5.00 秒
18. v4：Rf1 | 深度 4 | 5.00 秒
18... v3：Be6 | 深度 3 | 5.00 秒
19. v4：Rb1 | 深度 3 | 5.00 秒
19... v3：Bxa2 | 深度 3 | 5.00 秒
20. v4：Rxb7 | 深度 4 | 5.00 秒
20... v3：Rc8 | 深度 3 | 5.00 秒
21. v4：Kf2 | 深度 3 | 5.00 秒
21... v3：Be6 | 深度 3 | 5.00 秒
22. v4：Kg1 | 深度 3 | 5.00 秒
22... v3：Ba2 | 深度 3 | 5.00 秒
23. v4：Bb5 | 深度 4 | 5.00 秒
23... v3：Re6 | 深度 4 | 5.00 秒
24. v4：Bxc7 | 深度 4 | 5.00 秒
24... v3：Re7 | 深度 3 | 5.00 秒
25. v4：Bxc6 | 深度 4 | 5.00 秒
