本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 1/40 盘：意大利式，白方 v4，黑方 material =====
4. v4：O-O | 深度 4 | 5.00 秒
4... material：Nf6 | 深度 3 | 5.00 秒
5. v4：Ng5 | 深度 4 | 5.00 秒
5... material：O-O | 深度 3 | 5.00 秒
6. v4：d4 | 深度 4 | 5.00 秒
6... material：exd4 | 深度 4 | 5.00 秒
7. v4：Bf4 | 深度 3 | 5.00 秒
7... material：h6 | 深度 4 | 5.00 秒
8. v4：Bxf7+ | 深度 4 | 5.00 秒
8... material：Kh8 | 深度 5 | 4.25 秒
9. v4：Qd3 | 深度 4 | 5.00 秒
9... material：hxg5 | 深度 4 | 5.00 秒
10. v4：Qh3+ | 深度 4 | 5.00 秒
10... material：Nh7 | 深度 5 | 3.56 秒
11. v4：Bg6 | 深度 4 | 5.00 秒
11... material：Qf6 | 深度 4 | 5.00 秒
12. v4：Qxh7# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE

===== 第 2/40 盘：意大利式，白方 material，黑方 v4 =====
4. material：c3 | 深度 4 | 5.00 秒
4... v4：Qf6 | 深度 4 | 5.00 秒
5. material：d3 | 深度 3 | 5.00 秒
5... v4：Qe7 | 深度 3 | 5.00 秒
6. material：O-O | 深度 3 | 5.00 秒
6... v4：Nf6 | 深度 4 | 5.00 秒
7. material：Re1 | 深度 3 | 5.00 秒
7... v4：a5 | 深度 4 | 5.00 秒
8. material：Nbd2 | 深度 3 | 5.00 秒
8... v4：b6 | 深度 3 | 5.00 秒
9. material：Nf1 | 深度 3 | 5.00 秒
9... v4：Ba6 | 深度 4 | 5.00 秒
10. material：Ng3 | 深度 3 | 5.00 秒
10... v4：Bxc4 | 深度 4 | 5.00 秒
11. material：dxc4 | 深度 3 | 5.00 秒
11... v4：Ng4 | 深度 3 | 5.00 秒
12. material：Rf1 | 深度 3 | 5.00 秒
12... v4：Bxf2+ | 深度 3 | 5.00 秒
13. material：Rxf2 | 深度 4 | 5.00 秒
13... v4：Nxf2 | 深度 4 | 5.00 秒
14. material：Kxf2 | 深度 4 | 5.00 秒
14... v4：Qc5+ | 深度 4 | 5.00 秒
15. material：Be3 | 深度 5 | 3.41 秒
15... v4：Qxc4 | 深度 4 | 5.00 秒
16. material：Qd2 | 深度 3 | 5.00 秒
16... v4：Qe6 | 深度 3 | 5.00 秒
17. material：Qc2 | 深度 3 | 5.00 秒
17... v4：O-O-O | 深度 3 | 5.00 秒
18. material：Qd2 | 深度 3 | 5.00 秒
18... v4：a4 | 深度 3 | 5.00 秒
19. material：Qc2 | 深度 3 | 5.00 秒
19... v4：b5 | 深度 4 | 5.00 秒
20. material：Bc5 | 深度 3 | 5.00 秒
20... v4：d6 | 深度 3 | 5.00 秒
21. material：Be3 | 深度 4 | 5.00 秒
21... v4：h6 | 深度 3 | 5.00 秒
22. material：Qd2 | 深度 3 | 5.00 秒
22... v4：Ne7 | 深度 4 | 5.00 秒
23. material：Qc2 | 深度 3 | 5.00 秒
23... v4：Rh7 | 深度 3 | 5.00 秒
24. material：Qd2 | 深度 3 | 5.00 秒
24... v4：Re8 | 深度 3 | 5.00 秒
25. material：Qe2 | 深度 3 | 5.00 秒
25... v4：Qd7 | 深度 4 | 5.00 秒
26. material：Rd1 | 深度 3 | 5.00 秒
26... v4：f6 | 深度 3 | 5.00 秒
27. material：Rd2 | 深度 3 | 5.00 秒
27... v4：g6 | 深度 3 | 5.00 秒
28. material：h3 | 深度 4 | 5.00 秒
28... v4：Kd8 | 深度 3 | 5.00 秒
29. material：Qd3 | 深度 3 | 5.00 秒
29... v4：h5 | 深度 3 | 5.00 秒
30. material：Ne2 | 深度 3 | 5.00 秒
30... v4：Qc6 | 深度 4 | 5.00 秒
31. material：g3 | 深度 3 | 5.00 秒
31... v4：Reh8 | 深度 4 | 5.00 秒
32. material：Rc2 | 深度 4 | 5.00 秒
32... v4：g5 | 深度 4 | 5.00 秒
33. material：Nc1 | 深度 3 | 5.00 秒
33... v4：Qc4 | 深度 4 | 5.00 秒
34. material：b3 | 深度 4 | 5.00 秒
34... v4：Qxd3 | 深度 4 | 5.00 秒
35. material：Nxd3 | 深度 5 | 2.02 秒
35... v4：g4 | 深度 4 | 5.00 秒
36. material：hxg4 | 深度 4 | 5.00 秒
36... v4：hxg4 | 深度 5 | 4.64 秒
37. material：Nd2 | 深度 4 | 5.00 秒
37... v4：Kd7 | 深度 4 | 5.00 秒
38. material：Nb4 | 深度 4 | 5.00 秒
38... v4：Rh2+ | 深度 4 | 5.00 秒
39. material：Kf1 | 深度 5 | 2.56 秒
39... v4：R8h3 | 深度 4 | 5.00 秒
40. material：Bf2 | 深度 4 | 5.00 秒
40... v4：axb3 | 深度 4 | 5.00 秒
41. material：axb3 | 深度 5 | 3.32 秒
41... v4：c5 | 深度 4 | 5.00 秒
42. material：Nd3 | 深度 5 | 3.78 秒
42... v4：Nc6 | 深度 4 | 5.00 秒
43. material：Bg1 | 深度 4 | 5.00 秒
43... v4：Rh1 | 深度 5 | 2.56 秒
44. material：Nf2 | 深度 5 | 1.28 秒
44... v4：Rxg1+ | 深度 5 | 2.40 秒
45. material：Kxg1 | 深度 5 | 0.37 秒
45... v4：Rxg3+ | 深度 5 | 1.94 秒
46. material：Kh2 | 深度 5 | 0.84 秒
46... v4：Re3 | 深度 5 | 1.88 秒
47. material：Nxg4 | 深度 5 | 4.05 秒
47... v4：Re2+ | 深度 5 | 1.50 秒
48. material：Kg1 | 深度 5 | 2.54 秒
48... v4：f5 | 深度 5 | 3.20 秒
49. material：Kf1 | 深度 5 | 2.19 秒
49... v4：Rxd2 | 深度 5 | 1.48 秒
50. material：Nf6+ | 深度 5 | 0.58 秒
50... v4：Ke6 | 深度 5 | 0.48 秒
51. material：Rxd2 | 深度 5 | 0.84 秒
51... v4：Na5 | 深度 5 | 1.31 秒
52. material：Ne8 | 深度 5 | 1.81 秒
52... v4：fxe4 | 深度 5 | 0.85 秒
53. material：Nxd6 | 深度 5 | 2.19 秒
53... v4：Nxb3 | 深度 5 | 0.92 秒
54. material：Rd1 | 深度 5 | 0.81 秒
54... v4：e3 | 深度 5 | 0.64 秒
55. material：Nxb5 | 深度 5 | 1.54 秒
55... v4：Kf5 | 深度 5 | 0.97 秒
56. material：Rd5 | 深度 5 | 3.91 秒
56... v4：c4 | 深度 5 | 1.67 秒
57. material：Ke2 | 深度 5 | 2.64 秒
57... v4：Ke4 | 深度 5 | 0.60 秒
58. material：Rd6 | 深度 5 | 1.21 秒
58... v4：Nc1+ | 深度 5 | 0.39 秒
59. material：Kd1 | 深度 5 | 0.49 秒
59... v4：e2+ | 深度 5 | 0.38 秒
60. material：Kd2 | 深度 5 | 0.71 秒
60... v4：Kf3 | 深度 5 | 0.97 秒
61. material：Rd7 | 深度 4 | 5.00 秒
61... v4：Nb3+ | 深度 5 | 0.38 秒
62. material：Ke1 | 深度 5 | 0.35 秒
62... v4：Nc5 | 深度 5 | 0.67 秒
63. material：Rd8 | 深度 5 | 2.54 秒
63... v4：Nd3+ | 深度 5 | 0.51 秒
64. material：Rxd3+ | 深度 5 | 0.04 秒
64... v4：cxd3 | 深度 5 | 0.27 秒
65. material：Nd6 | 深度 5 | 0.19 秒
65... v4：e4 | 深度 5 | 0.35 秒
66. material：Nc4 | 深度 5 | 0.35 秒
66... v4：Kg2 | 深度 5 | 0.45 秒
67. material：Nd2 | 深度 5 | 0.24 秒
67... v4：e3 | 深度 5 | 0.11 秒
68. material：Nc4 | 深度 5 | 0.12 秒
68... v4：Kf3 | 深度 5 | 0.11 秒
69. material：Ne5+ | 深度 5 | 0.13 秒
69... v4：Ke4 | 深度 5 | 0.14 秒
70. material：Nc4 | 深度 5 | 0.17 秒
70... v4：Kf4 | 深度 5 | 0.14 秒
71. material：Nb2 | 深度 5 | 0.22 秒
71... v4：Ke4 | 深度 5 | 0.12 秒
72. material：Nc4 | 深度 5 | 0.13 秒
72... v4：Kf4 | 深度 5 | 0.21 秒
73. material：Nb2 | 深度 5 | 0.19 秒
73... v4：Ke4 | 深度 5 | 0.16 秒
