本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 3/40 盘：后翼弃兵发展，白方 v4，黑方 material =====
4. v4：cxd5 | 深度 4 | 5.00 秒
4... material：exd5 | 深度 4 | 5.00 秒
5. v4：Nf3 | 深度 4 | 5.00 秒
5... material：c6 | 深度 3 | 5.00 秒
6. v4：Qb3 | 深度 3 | 5.00 秒
6... material：Bd6 | 深度 3 | 5.00 秒
7. v4：Bd2 | 深度 3 | 5.00 秒
7... material：O-O | 深度 3 | 5.00 秒
8. v4：O-O-O | 深度 3 | 5.00 秒
8... material：Re8 | 深度 3 | 5.00 秒
9. v4：Bg5 | 深度 3 | 5.00 秒
9... material：h6 | 深度 3 | 5.00 秒
10. v4：Bxf6 | 深度 3 | 5.00 秒
10... material：Qxf6 | 深度 4 | 5.00 秒
11. v4：Rd2 | 深度 3 | 5.00 秒
11... material：a5 | 深度 3 | 5.00 秒
12. v4：Rg1 | 深度 3 | 5.00 秒
12... material：Na6 | 深度 3 | 5.00 秒
13. v4：Nd1 | 深度 3 | 5.00 秒
13... material：Nb4 | 深度 3 | 5.00 秒
14. v4：Qa4 | 深度 3 | 5.00 秒
14... material：Be6 | 深度 3 | 5.00 秒
15. v4：g3 | 深度 3 | 5.00 秒
15... material：c5 | 深度 3 | 5.00 秒
16. v4：dxc5 | 深度 3 | 5.00 秒
16... material：Bxc5 | 深度 3 | 5.00 秒
17. v4：Bg2 | 深度 3 | 5.00 秒
17... material：Rac8 | 深度 3 | 5.00 秒
18. v4：Kb1 | 深度 3 | 5.00 秒
18... material：d4 | 深度 3 | 5.00 秒
19. v4：a3 | 深度 4 | 5.00 秒
19... material：Nc6 | 深度 3 | 5.00 秒
20. v4：Nh4 | 深度 3 | 5.00 秒
20... material：Qd8 | 深度 3 | 5.00 秒
21. v4：Qc2 | 深度 3 | 5.00 秒
21... material：Be7 | 深度 3 | 5.00 秒
22. v4：Nf5 | 深度 4 | 5.00 秒
22... material：Bf6 | 深度 3 | 5.00 秒
23. v4：Bh3 | 深度 3 | 5.00 秒
23... material：Be5 | 深度 3 | 5.00 秒
24. v4：f4 | 深度 3 | 5.00 秒
24... material：Bf6 | 深度 3 | 5.00 秒
25. v4：Bg4 | 深度 3 | 5.00 秒
25... material：Ne5 | 深度 3 | 5.00 秒
26. v4：fxe5 | 深度 4 | 5.00 秒
26... material：Rxc2 | 深度 4 | 5.00 秒
27. v4：Rxc2 | 深度 4 | 5.00 秒
27... material：Bxe5 | 深度 4 | 5.00 秒
28. v4：Rc5 | 深度 4 | 5.00 秒
