本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 5/40 盘：对称英国式，白方 v4，黑方 material =====
4. v4：Rg1 | 深度 4 | 5.00 秒
4... material：g6 | 深度 4 | 5.00 秒
5. v4：Qb3 | 深度 4 | 5.00 秒
5... material：Bg7 | 深度 4 | 5.00 秒
6. v4：e3 | 深度 3 | 5.00 秒
6... material：O-O | 深度 3 | 5.00 秒
7. v4：d4 | 深度 4 | 5.00 秒
7... material：d6 | 深度 4 | 5.00 秒
8. v4：dxc5 | 深度 4 | 5.00 秒
8... material：dxc5 | 深度 4 | 5.00 秒
9. v4：Bd2 | 深度 3 | 5.00 秒
9... material：a6 | 深度 3 | 5.00 秒
10. v4：O-O-O | 深度 3 | 5.00 秒
10... material：Qc7 | 深度 3 | 5.00 秒
11. v4：Be2 | 深度 3 | 5.00 秒
11... material：Rd8 | 深度 3 | 5.00 秒
12. v4：Be1 | 深度 3 | 5.00 秒
12... material：Rb8 | 深度 4 | 5.00 秒
13. v4：Rxd8+ | 深度 4 | 5.00 秒
13... material：Qxd8 | 深度 4 | 5.00 秒
14. v4：Qd1 | 深度 3 | 5.00 秒
14... material：Be6 | 深度 4 | 5.00 秒
15. v4：Qxd8+ | 深度 4 | 5.00 秒
15... material：Rxd8 | 深度 5 | 4.38 秒
16. v4：Ng5 | 深度 4 | 5.00 秒
16... material：Bf5 | 深度 4 | 5.00 秒
17. v4：g4 | 深度 4 | 5.00 秒
17... material：Bd7 | 深度 4 | 5.00 秒
18. v4：f3 | 深度 4 | 5.00 秒
18... material：h6 | 深度 4 | 5.00 秒
19. v4：Nge4 | 深度 4 | 5.00 秒
19... material：Nxe4 | 深度 5 | 4.96 秒
20. v4：fxe4 | 深度 4 | 5.00 秒
20... material：Rc8 | 深度 4 | 5.00 秒
21. v4：Nd5 | 深度 4 | 5.00 秒
21... material：Be5 | 深度 4 | 5.00 秒
22. v4：Bg3 | 深度 4 | 5.00 秒
22... material：Bxg3 | 深度 4 | 5.00 秒
23. v4：Rxg3 | 深度 4 | 5.00 秒
23... material：Be6 | 深度 4 | 5.00 秒
24. v4：Rh3 | 深度 4 | 5.00 秒
24... material：Kg7 | 深度 4 | 5.00 秒
25. v4：Nb6 | 深度 4 | 5.00 秒
25... material：Rd8 | 深度 4 | 5.00 秒
26. v4：Nd5 | 深度 4 | 5.00 秒
26... material：Ne5 | 深度 4 | 5.00 秒
27. v4：Nxe7 | 深度 4 | 5.00 秒
27... material：Bxg4 | 深度 4 | 5.00 秒
28. v4：Bxg4 | 深度 5 | 2.80 秒
28... material：Nxg4 | 深度 4 | 5.00 秒
29. v4：Nd5 | 深度 5 | 4.59 秒
29... material：Nf2 | 深度 4 | 5.00 秒
30. v4：Rf3 | 深度 5 | 2.46 秒
30... material：Nxe4 | 深度 5 | 3.07 秒
31. v4：Rf4 | 深度 4 | 5.00 秒
31... material：Ng5 | 深度 5 | 4.34 秒
32. v4：e4 | 深度 4 | 5.00 秒
32... material：Nh3 | 深度 4 | 5.00 秒
33. v4：Rf3 | 深度 5 | 3.47 秒
33... material：Ng5 | 深度 5 | 3.62 秒
34. v4：Rf4 | 深度 4 | 5.00 秒
