本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 7/40 盘：西班牙式，白方 v4，黑方 material =====
4. v4：Bxc6 | 深度 4 | 5.00 秒
4... material：dxc6 | 深度 4 | 5.00 秒
5. v4：d4 | 深度 4 | 5.00 秒
5... material：exd4 | 深度 4 | 5.00 秒
6. v4：Qxd4 | 深度 3 | 5.00 秒
6... material：Nf6 | 深度 4 | 5.00 秒
7. v4：Nc3 | 深度 4 | 5.00 秒
7... material：Bd6 | 深度 4 | 5.00 秒
8. v4：e5 | 深度 3 | 5.00 秒
8... material：c5 | 深度 4 | 5.00 秒
9. v4：Qh4 | 深度 4 | 5.00 秒
9... material：Qe7 | 深度 4 | 5.00 秒
10. v4：O-O | 深度 4 | 5.00 秒
10... material：Bxe5 | 深度 4 | 5.00 秒
11. v4：Re1 | 深度 4 | 5.00 秒
11... material：Bxh2+ | 深度 3 | 5.00 秒
12. v4：Qxh2 | 深度 5 | 3.92 秒
12... material：Be6 | 深度 4 | 5.00 秒
13. v4：Qf4 | 深度 3 | 5.00 秒
13... material：O-O | 深度 3 | 5.00 秒
14. v4：Bd2 | 深度 3 | 5.00 秒
14... material：Rfd8 | 深度 3 | 5.00 秒
15. v4：Re5 | 深度 3 | 5.00 秒
15... material：g6 | 深度 3 | 5.00 秒
16. v4：Qg5 | 深度 3 | 5.00 秒
16... material：c4 | 深度 3 | 5.00 秒
17. v4：Ne4 | 深度 3 | 5.00 秒
17... material：Kg7 | 深度 3 | 5.00 秒
18. v4：Bf4 | 深度 3 | 5.00 秒
18... material：Rd5 | 深度 3 | 5.00 秒
19. v4：Qh6+ | 深度 4 | 5.00 秒
19... material：Kh8 | 深度 4 | 5.00 秒
20. v4：Bg5 | 深度 3 | 5.00 秒
20... material：Ng4 | 深度 4 | 5.00 秒
21. v4：Bxe7 | 深度 4 | 5.00 秒
21... material：Nxh6 | 深度 4 | 5.00 秒
22. v4：Bf6+ | 深度 4 | 5.00 秒
22... material：Kg8 | 深度 5 | 1.60 秒
23. v4：a4 | 深度 4 | 5.00 秒
23... material：Nf5 | 深度 4 | 5.00 秒
24. v4：g4 | 深度 4 | 5.00 秒
24... material：Ng7 | 深度 4 | 5.00 秒
25. v4：Be7 | 深度 4 | 5.00 秒
25... material：Ne8 | 深度 4 | 5.00 秒
26. v4：Bf6 | 深度 4 | 5.00 秒
26... material：Rxe5 | 深度 4 | 5.00 秒
27. v4：Nxe5 | 深度 4 | 5.00 秒
27... material：Bd5 | 深度 4 | 5.00 秒
28. v4：Nd7 | 深度 4 | 5.00 秒
28... material：Bxe4 | 深度 4 | 5.00 秒
29. v4：Bg5 | 深度 4 | 5.00 秒
29... material：Bxc2 | 深度 4 | 5.00 秒
30. v4：a5 | 深度 4 | 5.00 秒
30... material：Nd6 | 深度 4 | 5.00 秒
31. v4：Re1 | 深度 4 | 5.00 秒
31... material：Kg7 | 深度 4 | 5.00 秒
32. v4：Bf6+ | 深度 4 | 5.00 秒
32... material：Kh6 | 深度 4 | 5.00 秒
33. v4：Re3 | 深度 4 | 5.00 秒
33... material：g5 | 深度 4 | 5.00 秒
34. v4：Ne5 | 深度 4 | 5.00 秒
34... material：Nf5 | 深度 3 | 5.00 秒
35. v4：f4 | 深度 5 | 4.25 秒
35... material：Rg8 | 深度 4 | 5.00 秒
36. v4：Rh3+ | 深度 5 | 4.09 秒
36... material：Nh4 | 深度 5 | 2.27 秒
37. v4：fxg5+ | 深度 4 | 5.00 秒
37... material：Rxg5 | 深度 5 | 0.81 秒
38. v4：Rxh4+ | 深度 5 | 3.34 秒
38... material：Rh5 | 深度 5 | 0.46 秒
39. v4：g5# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE

===== 第 8/40 盘：西班牙式，白方 material，黑方 v4 =====
4. material：Bxc6 | 深度 4 | 5.00 秒
4... v4：dxc6 | 深度 4 | 5.00 秒
5. material：Nxe5 | 深度 4 | 5.00 秒
5... v4：Qg5 | 深度 4 | 5.00 秒
6. material：Nf3 | 深度 4 | 5.00 秒
6... v4：Qxg2 | 深度 4 | 5.00 秒
7. material：Rg1 | 深度 5 | 2.21 秒
7... v4：Qh3 | 深度 4 | 5.00 秒
8. material：Qe2 | 深度 4 | 5.00 秒
8... v4：Bg4 | 深度 3 | 5.00 秒
9. material：Ng5 | 深度 4 | 5.00 秒
9... v4：Bxe2 | 深度 4 | 5.00 秒
10. material：Nxh3 | 深度 4 | 5.00 秒
10... v4：Bh5 | 深度 4 | 5.00 秒
11. material：f4 | 深度 4 | 5.00 秒
11... v4：f6 | 深度 4 | 5.00 秒
12. material：d3 | 深度 4 | 5.00 秒
12... v4：Nh6 | 深度 4 | 5.00 秒
13. material：Kf1 | 深度 4 | 5.00 秒
13... v4：Ng4 | 深度 4 | 5.00 秒
14. material：Rh1 | 深度 5 | 4.40 秒
14... v4：Bd6 | 深度 4 | 5.00 秒
15. material：Nc3 | 深度 4 | 5.00 秒
15... v4：Rf8 | 深度 4 | 5.00 秒
16. material：Nf2 | 深度 4 | 5.00 秒
16... v4：g5 | 深度 4 | 5.00 秒
17. material：Nxg4 | 深度 4 | 5.00 秒
17... v4：Bxg4 | 深度 5 | 4.69 秒
18. material：fxg5 | 深度 4 | 5.00 秒
18... v4：fxg5+ | 深度 4 | 5.00 秒
