本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 9/40 盘：西西里式，白方 v4，黑方 material =====
4. v4：Qxd4 | 深度 4 | 5.00 秒
4... material：Nc6 | 深度 4 | 5.00 秒
5. v4：Qd2 | 深度 4 | 5.00 秒
5... material：Nf6 | 深度 3 | 5.00 秒
6. v4：Nc3 | 深度 4 | 5.00 秒
6... material：g6 | 深度 3 | 5.00 秒
7. v4：Bc4 | 深度 4 | 5.00 秒
7... material：Bg7 | 深度 3 | 5.00 秒
8. v4：Bd5 | 深度 3 | 5.00 秒
8... material：Nxd5 | 深度 4 | 5.00 秒
9. v4：exd5 | 深度 4 | 5.00 秒
9... material：Ne5 | 深度 4 | 5.00 秒
10. v4：Nxe5 | 深度 4 | 5.00 秒
10... material：dxe5 | 深度 4 | 5.00 秒
11. v4：Qg5 | 深度 4 | 5.00 秒
11... material：O-O | 深度 3 | 5.00 秒
12. v4：h4 | 深度 4 | 5.00 秒
12... material：f5 | 深度 4 | 5.00 秒
13. v4：Kd2 | 深度 3 | 5.00 秒
13... material：Be6 | 深度 3 | 5.00 秒
14. v4：Rh3 | 深度 4 | 5.00 秒
14... material：Bxd5 | 深度 3 | 5.00 秒
15. v4：Ke1 | 深度 4 | 5.00 秒
15... material：Be6 | 深度 4 | 5.00 秒
16. v4：Rd3 | 深度 4 | 5.00 秒
16... material：Qc7 | 深度 4 | 5.00 秒
17. v4：Rd1 | 深度 3 | 5.00 秒
17... material：Kh8 | 深度 3 | 5.00 秒
18. v4：Qg3 | 深度 3 | 5.00 秒
18... material：Rad8 | 深度 3 | 5.00 秒
19. v4：Rxd8 | 深度 4 | 5.00 秒
19... material：Rxd8 | 深度 4 | 5.00 秒
20. v4：Bg5 | 深度 3 | 5.00 秒
20... material：h6 | 深度 3 | 5.00 秒
21. v4：Be3 | 深度 4 | 5.00 秒
21... material：f4 | 深度 3 | 5.00 秒
22. v4：Qxg6 | 深度 4 | 5.00 秒
22... material：fxe3 | 深度 4 | 5.00 秒
23. v4：Qxe6 | 深度 4 | 5.00 秒
23... material：exf2+ | 深度 4 | 5.00 秒
24. v4：Kxf2 | 深度 5 | 4.02 秒
24... material：Rd2+ | 深度 4 | 5.00 秒
25. v4：Kf1 | 深度 4 | 5.00 秒
25... material：Rxc2 | 深度 4 | 5.00 秒
26. v4：Qb3 | 深度 4 | 5.00 秒
26... material：Rd2 | 深度 4 | 5.00 秒
27. v4：Qe6 | 深度 4 | 5.00 秒
27... material：Rxb2 | 深度 4 | 5.00 秒
28. v4：Rc1 | 深度 4 | 5.00 秒
28... material：b6 | 深度 4 | 5.00 秒
29. v4：Ne2 | 深度 4 | 5.00 秒
29... material：Qd6 | 深度 5 | 4.12 秒
30. v4：Rc8+ | 深度 4 | 5.00 秒
30... material：Kh7 | 深度 5 | 1.48 秒
31. v4：Qf5+ | 深度 5 | 4.42 秒
31... material：Qg6 | 深度 5 | 0.93 秒
32. v4：Qxg6+ | 深度 5 | 3.94 秒
32... material：Kxg6 | 深度 5 | 1.44 秒
33. v4：Nc3 | 深度 5 | 4.60 秒
33... material：h5 | 深度 4 | 5.00 秒
34. v4：Kg1 | 深度 4 | 5.00 秒
34... material：Kf5 | 深度 4 | 5.00 秒
35. v4：Nd5 | 深度 5 | 4.34 秒
35... material：e6 | 深度 5 | 2.73 秒
36. v4：Ne3+ | 深度 5 | 2.77 秒
36... material：Ke4 | 深度 5 | 2.51 秒
37. v4：Rc2 | 深度 5 | 2.46 秒
37... material：Rb1+ | 深度 5 | 1.38 秒
38. v4：Nf1 | 深度 5 | 1.39 秒
38... material：Bf6 | 深度 5 | 3.97 秒
39. v4：g3 | 深度 5 | 3.57 秒
39... material：Kd5 | 深度 5 | 4.67 秒
40. v4：Rc7 | 深度 5 | 3.74 秒
40... material：a5 | 深度 5 | 2.80 秒
41. v4：Rf7 | 深度 5 | 1.73 秒
41... material：Bh8 | 深度 5 | 2.36 秒
42. v4：Rd7+ | 深度 5 | 1.51 秒
42... material：Ke4 | 深度 5 | 1.09 秒
43. v4：Rh7 | 深度 5 | 1.65 秒
43... material：Bf6 | 深度 5 | 1.38 秒
44. v4：Rh6 | 深度 5 | 1.80 秒
44... material：Be7 | 深度 5 | 2.21 秒
45. v4：Rxe6 | 深度 5 | 1.86 秒
45... material：Bc5+ | 深度 5 | 2.07 秒
46. v4：Kg2 | 深度 5 | 0.67 秒
46... material：Rb2+ | 深度 5 | 3.84 秒
47. v4：Kh3 | 深度 5 | 1.14 秒
47... material：Rxa2 | 深度 4 | 5.00 秒
48. v4：g4 | 深度 5 | 2.87 秒
48... material：hxg4+ | 深度 5 | 4.53 秒
49. v4：Kxg4 | 深度 5 | 0.64 秒
49... material：a4 | 深度 5 | 4.87 秒
50. v4：Ng3+ | 深度 5 | 2.10 秒
50... material：Kd5 | 深度 5 | 1.22 秒
51. v4：Re8 | 深度 5 | 3.36 秒
51... material：a3 | 深度 5 | 4.43 秒
52. v4：Nf5 | 深度 5 | 4.25 秒
52... material：Ra1 | 深度 5 | 3.59 秒
53. v4：Rd8+ | 深度 5 | 1.83 秒
53... material：Ke6 | 深度 5 | 1.24 秒
54. v4：Rb8 | 深度 5 | 3.24 秒
54... material：a2 | 深度 4 | 5.00 秒
55. v4：Ng7+ | 深度 5 | 0.94 秒
55... material：Kf7 | 深度 4 | 5.00 秒
56. v4：Rb7+ | 深度 5 | 1.04 秒
56... material：Kg8 | 深度 4 | 5.00 秒
57. v4：Ra7 | 深度 5 | 1.25 秒
57... material：Rg1+ | 深度 5 | 2.29 秒
58. v4：Kf3 | 深度 5 | 1.42 秒
58... material：a1=Q | 深度 5 | 3.86 秒
59. v4：Rxa1 | 深度 5 | 0.74 秒
59... material：Rxa1 | 深度 5 | 1.59 秒
60. v4：Ne6 | 深度 5 | 1.23 秒
60... material：Rf1+ | 深度 5 | 3.51 秒
61. v4：Ke4 | 深度 5 | 0.70 秒
61... material：Bf2 | 深度 5 | 2.42 秒
62. v4：Kxe5 | 深度 5 | 1.11 秒
62... material：Bg3+ | 深度 5 | 3.93 秒
63. v4：Kd5 | 深度 5 | 1.13 秒
63... material：Bxh4 | 深度 4 | 5.00 秒
64. v4：Kc6 | 深度 5 | 2.13 秒
64... material：Re1 | 深度 5 | 4.64 秒
65. v4：Nf4 | 深度 5 | 1.59 秒
65... material：Bg3 | 深度 5 | 4.20 秒
66. v4：Nd5 | 深度 5 | 0.93 秒
66... material：Re6+ | 深度 5 | 3.51 秒
67. v4：Kb5 | 深度 5 | 0.92 秒
67... material：Re5 | 深度 5 | 2.50 秒
68. v4：Kc6 | 深度 5 | 0.89 秒
68... material：b5 | 深度 5 | 3.57 秒
69. v4：Nf6+ | 深度 5 | 0.79 秒
69... material：Kf7 | 深度 5 | 0.88 秒
70. v4：Nd7 | 深度 5 | 1.01 秒
70... material：Rh5 | 深度 5 | 2.71 秒
71. v4：Nc5 | 深度 5 | 1.94 秒
71... material：b4 | 深度 4 | 5.00 秒
72. v4：Ne4 | 深度 5 | 1.38 秒
72... material：Rh6+ | 深度 5 | 2.41 秒
73. v4：Kc5 | 深度 5 | 1.73 秒
73... material：Be1 | 深度 5 | 3.34 秒
74. v4：Ng5+ | 深度 5 | 1.44 秒
74... material：Kg6 | 深度 5 | 1.33 秒
75. v4：Nf3 | 深度 5 | 1.39 秒
75... material：Bc3 | 深度 5 | 1.59 秒
76. v4：Kd5 | 深度 5 | 2.53 秒
76... material：Rh7 | 深度 5 | 3.16 秒
77. v4：Ne5+ | 深度 5 | 1.48 秒
77... material：Kh5 | 深度 5 | 1.84 秒
78. v4：Nd3 | 深度 5 | 1.71 秒
78... material：Kg5 | 深度 5 | 4.80 秒
79. v4：Nc5 | 深度 5 | 3.07 秒
79... material：Kh5 | 深度 4 | 5.00 秒
80. v4：Kc6 | 深度 5 | 3.11 秒
80... material：Kg6 | 深度 5 | 3.66 秒
81. v4：Kb5 | 深度 5 | 2.82 秒
81... material：Rg7 | 深度 4 | 5.00 秒
82. v4：Ne4 | 深度 5 | 2.35 秒
82... material：Be1 | 深度 5 | 1.96 秒
83. v4：Nc5 | 深度 5 | 1.70 秒
83... material：Rf7 | 深度 5 | 4.36 秒
84. v4：Nd3 | 深度 5 | 2.05 秒
84... material：Bc3 | 深度 5 | 2.88 秒
85. v4：Kc4 | 深度 5 | 1.38 秒
85... material：Rb7 | 深度 5 | 3.30 秒
86. v4：Nf4+ | 深度 5 | 0.95 秒
86... material：Kg7 | 深度 5 | 1.97 秒
87. v4：Nd5 | 深度 5 | 1.47 秒
87... material：Bd2 | 深度 5 | 1.89 秒
88. v4：Kd3 | 深度 5 | 1.32 秒
88... material：Bc1 | 深度 5 | 1.66 秒
89. v4：Kc2 | 深度 5 | 0.95 秒
89... material：Bh6 | 深度 5 | 1.42 秒
90. v4：Kb2 | 深度 5 | 0.99 秒
90... material：Kh7 | 深度 5 | 3.09 秒
91. v4：Kc2 | 深度 5 | 1.04 秒
91... material：Kg7 | 深度 5 | 2.41 秒
92. v4：Kb2 | 深度 5 | 1.54 秒
92... material：Kh7 | 深度 5 | 3.10 秒
93. v4：Kc2 | 深度 5 | 1.49 秒
93... material：Bg7 | 深度 5 | 2.36 秒
