本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 11/40 盘：法兰西式，白方 v4，黑方 material =====
4. v4：e5 | 深度 4 | 5.00 秒
4... material：Nfd7 | 深度 4 | 5.00 秒
5. v4：Nf3 | 深度 3 | 5.00 秒
5... material：c5 | 深度 4 | 5.00 秒
6. v4：Qe2 | 深度 4 | 5.00 秒
6... material：Nc6 | 深度 4 | 5.00 秒
7. v4：dxc5 | 深度 4 | 5.00 秒
7... material：Bxc5 | 深度 3 | 5.00 秒
8. v4：Na4 | 深度 3 | 5.00 秒
8... material：Qa5+ | 深度 4 | 5.00 秒
9. v4：Nc3 | 深度 4 | 5.00 秒
9... material：d4 | 深度 3 | 5.00 秒
10. v4：Qc4 | 深度 4 | 5.00 秒
10... material：dxc3 | 深度 3 | 5.00 秒
11. v4：bxc3 | 深度 4 | 5.00 秒
11... material：Ndxe5 | 深度 3 | 5.00 秒
12. v4：Nxe5 | 深度 4 | 5.00 秒
12... material：Nxe5 | 深度 4 | 5.00 秒
13. v4：Qb3 | 深度 4 | 5.00 秒
13... material：O-O | 深度 3 | 5.00 秒
14. v4：Be3 | 深度 3 | 5.00 秒
14... material：Bb6 | 深度 4 | 5.00 秒
15. v4：O-O-O | 深度 4 | 5.00 秒
15... material：Rd8 | 深度 4 | 5.00 秒
16. v4：Rxd8+ | 深度 4 | 5.00 秒
16... material：Bxd8 | 深度 4 | 5.00 秒
17. v4：Bb5 | 深度 4 | 5.00 秒
17... material：Qc7 | 深度 3 | 5.00 秒
18. v4：Rd1 | 深度 4 | 5.00 秒
18... material：Ng4 | 深度 3 | 5.00 秒
19. v4：Qc4 | 深度 4 | 5.00 秒
19... material：Nxe3 | 深度 4 | 5.00 秒
20. v4：fxe3 | 深度 4 | 5.00 秒
20... material：Qb6 | 深度 4 | 5.00 秒
21. v4：Rd3 | 深度 4 | 5.00 秒
21... material：Qa5 | 深度 4 | 5.00 秒
22. v4：Qb3 | 深度 3 | 5.00 秒
22... material：Bb6 | 深度 3 | 5.00 秒
23. v4：Kb2 | 深度 4 | 5.00 秒
23... material：h6 | 深度 3 | 5.00 秒
24. v4：Qc4 | 深度 4 | 5.00 秒
24... material：g5 | 深度 4 | 5.00 秒
25. v4：Kb3 | 深度 4 | 5.00 秒
25... material：e5 | 深度 4 | 5.00 秒
26. v4：Rd6 | 深度 4 | 5.00 秒
26... material：Be6 | 深度 4 | 5.00 秒
27. v4：Rxe6 | 深度 5 | 1.95 秒
27... material：fxe6 | 深度 4 | 5.00 秒
28. v4：Qxe6+ | 深度 5 | 4.39 秒
28... material：Kg7 | 深度 5 | 2.97 秒
29. v4：Bc4 | 深度 4 | 5.00 秒
29... material：Bxe3 | 深度 4 | 5.00 秒
30. v4：Qf7+ | 深度 5 | 2.15 秒
30... material：Kh8 | 深度 5 | 3.23 秒
31. v4：Qf6+ | 深度 5 | 1.11 秒
31... material：Kh7 | 深度 5 | 3.52 秒
32. v4：Qf7+ | 深度 5 | 1.93 秒
32... material：Kh8 | 深度 5 | 2.29 秒
33. v4：Qf6+ | 深度 5 | 2.00 秒
33... material：Kh7 | 深度 5 | 1.87 秒
34. v4：Qf7+ | 深度 4 | 5.00 秒
material 申请和棋：{'reason': 'threefold_repetition', 'intended_move': 'h7h8'}
本盘结果：1/2-1/2，原因：claimed_threefold_repetition

===== 第 12/40 盘：法兰西式，白方 material，黑方 v4 =====
4. material：e5 | 深度 4 | 5.00 秒
4... v4：Ne4 | 深度 4 | 5.00 秒
5. material：Nxe4 | 深度 4 | 5.00 秒
5... v4：dxe4 | 深度 4 | 5.00 秒
6. material：c3 | 深度 4 | 5.00 秒
6... v4：Qd5 | 深度 4 | 5.00 秒
7. material：f4 | 深度 4 | 5.00 秒
7... v4：Be7 | 深度 3 | 5.00 秒
8. material：Ne2 | 深度 4 | 5.00 秒
8... v4：Bd7 | 深度 4 | 5.00 秒
9. material：Be3 | 深度 4 | 5.00 秒
9... v4：Bb5 | 深度 4 | 5.00 秒
10. material：Qd2 | 深度 3 | 5.00 秒
10... v4：c6 | 深度 3 | 5.00 秒
11. material：a3 | 深度 4 | 5.00 秒
11... v4：Bh4+ | 深度 3 | 5.00 秒
12. material：g3 | 深度 5 | 3.42 秒
12... v4：Be7 | 深度 4 | 5.00 秒
13. material：Bg2 | 深度 3 | 5.00 秒
13... v4：Nd7 | 深度 4 | 5.00 秒
14. material：O-O | 深度 3 | 5.00 秒
14... v4：Nb6 | 深度 3 | 5.00 秒
15. material：Qc2 | 深度 3 | 5.00 秒
15... v4：Bd3 | 深度 3 | 5.00 秒
16. material：Qd2 | 深度 4 | 5.00 秒
16... v4：Nc4 | 深度 3 | 5.00 秒
17. material：Qxd3 | 深度 4 | 5.00 秒
17... v4：exd3 | 深度 4 | 5.00 秒
18. material：Bxd5 | 深度 4 | 5.00 秒
18... v4：cxd5 | 深度 4 | 5.00 秒
19. material：Bc1 | 深度 4 | 5.00 秒
19... v4：dxe2 | 深度 4 | 5.00 秒
20. material：Re1 | 深度 5 | 3.42 秒
20... v4：Rc8 | 深度 4 | 5.00 秒
21. material：Rxe2 | 深度 4 | 5.00 秒
21... v4：O-O | 深度 4 | 5.00 秒
22. material：b4 | 深度 4 | 5.00 秒
22... v4：b5 | 深度 4 | 5.00 秒
23. material：Kf2 | 深度 4 | 5.00 秒
23... v4：h6 | 深度 4 | 5.00 秒
24. material：h4 | 深度 4 | 5.00 秒
24... v4：Nb6 | 深度 4 | 5.00 秒
25. material：Bd2 | 深度 4 | 5.00 秒
25... v4：Rce8 | 深度 4 | 5.00 秒
26. material：Be3 | 深度 4 | 5.00 秒
26... v4：a6 | 深度 4 | 5.00 秒
27. material：Rd1 | 深度 4 | 5.00 秒
27... v4：h5 | 深度 4 | 5.00 秒
28. material：Rd3 | 深度 4 | 5.00 秒
