本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 13/40 盘：卡罗康式，白方 v4，黑方 material =====
4. v4：Qe2 | 深度 4 | 5.00 秒
4... material：Nf6 | 深度 4 | 5.00 秒
5. v4：f3 | 深度 4 | 5.00 秒
5... material：exf3 | 深度 3 | 5.00 秒
6. v4：Nxf3 | 深度 4 | 5.00 秒
6... material：Bg4 | 深度 3 | 5.00 秒
7. v4：Bd2 | 深度 3 | 5.00 秒
7... material：Bxf3 | 深度 3 | 5.00 秒
8. v4：Qxf3 | 深度 4 | 5.00 秒
8... material：Qxd4 | 深度 4 | 5.00 秒
9. v4：Qf4 | 深度 3 | 5.00 秒
9... material：Qxf4 | 深度 4 | 5.00 秒
10. v4：Bxf4 | 深度 5 | 3.79 秒
10... material：e6 | 深度 4 | 5.00 秒
11. v4：O-O-O | 深度 4 | 5.00 秒
11... material：Nbd7 | 深度 4 | 5.00 秒
12. v4：h4 | 深度 4 | 5.00 秒
12... material：Be7 | 深度 4 | 5.00 秒
13. v4：Na4 | 深度 3 | 5.00 秒
13... material：O-O | 深度 3 | 5.00 秒
14. v4：Nc3 | 深度 4 | 5.00 秒
14... material：Rfe8 | 深度 4 | 5.00 秒
15. v4：Bd6 | 深度 4 | 5.00 秒
15... material：Bxd6 | 深度 4 | 5.00 秒
16. v4：Rxd6 | 深度 4 | 5.00 秒
16... material：Ne5 | 深度 4 | 5.00 秒
17. v4：Be2 | 深度 4 | 5.00 秒
17... material：Rac8 | 深度 4 | 5.00 秒
18. v4：h5 | 深度 4 | 5.00 秒
18... material：h6 | 深度 4 | 5.00 秒
19. v4：Rh4 | 深度 4 | 5.00 秒
19... material：Kf8 | 深度 4 | 5.00 秒
20. v4：Rhd4 | 深度 3 | 5.00 秒
20... material：Ke7 | 深度 4 | 5.00 秒
21. v4：a4 | 深度 4 | 5.00 秒
21... material：Kf8 | 深度 3 | 5.00 秒
22. v4：Rf4 | 深度 4 | 5.00 秒
22... material：Ke7 | 深度 4 | 5.00 秒
23. v4：Rfd4 | 深度 4 | 5.00 秒
23... material：a5 | 深度 3 | 5.00 秒
24. v4：Rd1 | 深度 4 | 5.00 秒
24... material：Nd5 | 深度 4 | 5.00 秒
25. v4：Ne4 | 深度 4 | 5.00 秒
25... material：f5 | 深度 4 | 5.00 秒
26. v4：R6xd5 | 深度 4 | 5.00 秒
26... material：cxd5 | 深度 5 | 3.61 秒
27. v4：Nf2 | 深度 4 | 5.00 秒
27... material：Kd6 | 深度 4 | 5.00 秒
28. v4：g3 | 深度 4 | 5.00 秒
28... material：b6 | 深度 4 | 5.00 秒
29. v4：Ba6 | 深度 4 | 5.00 秒
29... material：Rb8 | 深度 4 | 5.00 秒
30. v4：c4 | 深度 4 | 5.00 秒
30... material：Nc6 | 深度 5 | 4.62 秒
31. v4：Bb5 | 深度 4 | 5.00 秒
31... material：Re7 | 深度 5 | 4.75 秒
32. v4：cxd5 | 深度 4 | 5.00 秒
32... material：exd5 | 深度 5 | 2.45 秒
33. v4：Bxc6 | 深度 4 | 5.00 秒
33... material：Kxc6 | 深度 5 | 3.06 秒
34. v4：Nd3 | 深度 4 | 5.00 秒
34... material：b5 | 深度 4 | 5.00 秒
35. v4：Nf4 | 深度 4 | 5.00 秒
35... material：bxa4 | 深度 5 | 3.88 秒
36. v4：Rxd5 | 深度 5 | 4.85 秒
36... material：Rb5 | 深度 4 | 5.00 秒
