本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 15/40 盘：斯拉夫式，白方 v4，黑方 material =====
4. v4：cxd5 | 深度 4 | 5.00 秒
4... material：cxd5 | 深度 4 | 5.00 秒
5. v4：Nc3 | 深度 4 | 5.00 秒
5... material：Nc6 | 深度 3 | 5.00 秒
6. v4：Be3 | 深度 3 | 5.00 秒
6... material：Bg4 | 深度 3 | 5.00 秒
7. v4：Qd3 | 深度 3 | 5.00 秒
7... material：e6 | 深度 3 | 5.00 秒
8. v4：O-O-O | 深度 3 | 5.00 秒
8... material：Be7 | 深度 3 | 5.00 秒
9. v4：h3 | 深度 3 | 5.00 秒
9... material：Bh5 | 深度 3 | 5.00 秒
10. v4：Rg1 | 深度 3 | 5.00 秒
10... material：O-O | 深度 3 | 5.00 秒
11. v4：Ne5 | 深度 3 | 5.00 秒
11... material：Rc8 | 深度 4 | 5.00 秒
12. v4：Nxc6 | 深度 3 | 5.00 秒
12... material：bxc6 | 深度 4 | 5.00 秒
13. v4：g4 | 深度 4 | 5.00 秒
13... material：Bg6 | 深度 4 | 5.00 秒
14. v4：Qa6 | 深度 4 | 5.00 秒
14... material：Qb6 | 深度 3 | 5.00 秒
15. v4：Qxb6 | 深度 4 | 5.00 秒
15... material：axb6 | 深度 4 | 5.00 秒
16. v4：h4 | 深度 4 | 5.00 秒
16... material：h6 | 深度 4 | 5.00 秒
17. v4：f3 | 深度 4 | 5.00 秒
17... material：b5 | 深度 4 | 5.00 秒
18. v4：g5 | 深度 4 | 5.00 秒
18... material：hxg5 | 深度 4 | 5.00 秒
19. v4：hxg5 | 深度 4 | 5.00 秒
19... material：Nd7 | 深度 4 | 5.00 秒
20. v4：a3 | 深度 4 | 5.00 秒
20... material：Nb6 | 深度 4 | 5.00 秒
21. v4：Bf2 | 深度 4 | 5.00 秒
21... material：Nc4 | 深度 4 | 5.00 秒
22. v4：e4 | 深度 4 | 5.00 秒
22... material：Ra8 | 深度 3 | 5.00 秒
