本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 21/40 盘：彼得罗夫，白方 v4，黑方 material =====
4. v4：Nf3 | 深度 4 | 5.00 秒
4... material：Nxe4 | 深度 4 | 5.00 秒
5. v4：Qe2 | 深度 4 | 5.00 秒
5... material：d5 | 深度 4 | 5.00 秒
6. v4：d3 | 深度 4 | 5.00 秒
6... material：f5 | 深度 4 | 5.00 秒
7. v4：Nc3 | 深度 4 | 5.00 秒
7... material：d4 | 深度 4 | 5.00 秒
8. v4：Nxd4 | 深度 4 | 5.00 秒
8... material：Qxd4 | 深度 4 | 5.00 秒
9. v4：dxe4 | 深度 4 | 5.00 秒
9... material：fxe4 | 深度 4 | 5.00 秒
10. v4：Qh5+ | 深度 3 | 5.00 秒
10... material：g6 | 深度 4 | 5.00 秒
11. v4：Qh4 | 深度 4 | 5.00 秒
11... material：Bf5 | 深度 3 | 5.00 秒
12. v4：Be3 | 深度 3 | 5.00 秒
12... material：Qd8 | 深度 4 | 5.00 秒
13. v4：Bg5 | 深度 4 | 5.00 秒
13... material：Be7 | 深度 4 | 5.00 秒
14. v4：Rd1 | 深度 4 | 5.00 秒
14... material：Nd7 | 深度 4 | 5.00 秒
15. v4：Nxe4 | 深度 4 | 5.00 秒
15... material：Bxg5 | 深度 4 | 5.00 秒
16. v4：Nxg5 | 深度 4 | 5.00 秒
