本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 23/40 盘：维也纳，白方 v4，黑方 material =====
4. v4：Nf3 | 深度 4 | 5.00 秒
4... material：Bc5 | 深度 3 | 5.00 秒
5. v4：a3 | 深度 3 | 5.00 秒
5... material：d6 | 深度 3 | 5.00 秒
6. v4：b4 | 深度 3 | 5.00 秒
6... material：Bb6 | 深度 4 | 5.00 秒
7. v4：Bb5 | 深度 3 | 5.00 秒
7... material：O-O | 深度 3 | 5.00 秒
8. v4：O-O | 深度 3 | 5.00 秒
8... material：a5 | 深度 3 | 5.00 秒
9. v4：bxa5 | 深度 4 | 5.00 秒
9... material：Bxa5 | 深度 4 | 5.00 秒
10. v4：Qe2 | 深度 4 | 5.00 秒
10... material：Bb6 | 深度 3 | 5.00 秒
11. v4：Nd5 | 深度 3 | 5.00 秒
11... material：Nxd5 | 深度 4 | 5.00 秒
12. v4：exd5 | 深度 4 | 5.00 秒
12... material：Ne7 | 深度 4 | 5.00 秒
13. v4：Qd3 | 深度 4 | 5.00 秒
13... material：Ng6 | 深度 3 | 5.00 秒
14. v4：Bc4 | 深度 4 | 5.00 秒
14... material：f5 | 深度 3 | 5.00 秒
15. v4：Qb3 | 深度 4 | 5.00 秒
15... material：e4 | 深度 3 | 5.00 秒
16. v4：Ne1 | 深度 4 | 5.00 秒
16... material：Qe8 | 深度 3 | 5.00 秒
17. v4：Ra2 | 深度 4 | 5.00 秒
17... material：Qe5 | 深度 3 | 5.00 秒
18. v4：Bb2 | 深度 4 | 5.00 秒
18... material：Qf4 | 深度 4 | 5.00 秒
19. v4：Bc3 | 深度 4 | 5.00 秒
19... material：Qg4 | 深度 3 | 5.00 秒
20. v4：Ba1 | 深度 3 | 5.00 秒
20... material：Nh4 | 深度 3 | 5.00 秒
21. v4：Qg3 | 深度 3 | 5.00 秒
21... material：Qxg3 | 深度 4 | 5.00 秒
22. v4：hxg3 | 深度 5 | 3.12 秒
22... material：Ng6 | 深度 4 | 5.00 秒
23. v4：a4 | 深度 4 | 5.00 秒
23... material：Bd7 | 深度 4 | 5.00 秒
24. v4：Bb3 | 深度 4 | 5.00 秒
24... material：Rae8 | 深度 3 | 5.00 秒
25. v4：a5 | 深度 5 | 4.95 秒
25... material：Bc5 | 深度 4 | 5.00 秒
26. v4：d4 | 深度 4 | 5.00 秒
26... material：exd3 | 深度 4 | 5.00 秒
27. v4：Nxd3 | 深度 5 | 4.57 秒
27... material：Ba7 | 深度 4 | 5.00 秒
28. v4：c4 | 深度 4 | 5.00 秒
28... material：Re7 | 深度 4 | 5.00 秒
29. v4：Rd2 | 深度 4 | 5.00 秒
29... material：Rfe8 | 深度 4 | 5.00 秒
30. v4：Rb1 | 深度 4 | 5.00 秒
30... material：Bb8 | 深度 3 | 5.00 秒
31. v4：c5 | 深度 4 | 5.00 秒
31... material：Rf7 | 深度 4 | 5.00 秒
32. v4：Bc2 | 深度 4 | 5.00 秒
32... material：c6 | 深度 4 | 5.00 秒
33. v4：cxd6 | 深度 4 | 5.00 秒
33... material：cxd5 | 深度 4 | 5.00 秒
34. v4：Rb6 | 深度 4 | 5.00 秒
34... material：Re6 | 深度 4 | 5.00 秒
35. v4：a6 | 深度 4 | 5.00 秒
35... material：Rfe7 | 深度 4 | 5.00 秒
36. v4：Nc5 | 深度 4 | 5.00 秒
36... material：Rxd6 | 深度 4 | 5.00 秒
37. v4：a7 | 深度 4 | 5.00 秒
37... material：Re1+ | 深度 4 | 5.00 秒
38. v4：Kh2 | 深度 5 | 1.54 秒
38... material：Bxa7 | 深度 4 | 5.00 秒
39. v4：Rxd6 | 深度 4 | 5.00 秒
39... material：Bxc5 | 深度 4 | 5.00 秒
40. v4：Rxd7 | 深度 5 | 4.09 秒
40... material：Rxa1 | 深度 4 | 5.00 秒
41. v4：Bxf5 | 深度 4 | 5.00 秒
41... material：b6 | 深度 4 | 5.00 秒
42. v4：Be6+ | 深度 4 | 5.00 秒
42... material：Kh8 | 深度 5 | 2.74 秒
43. v4：Rd8+ | 深度 4 | 5.00 秒
43... material：Nf8 | 深度 5 | 2.32 秒
44. v4：R2xd5 | 深度 4 | 5.00 秒
44... material：Bb4 | 深度 5 | 2.62 秒
45. v4：Rb5 | 深度 4 | 5.00 秒
45... material：Be7 | 深度 5 | 4.57 秒
46. v4：Re8 | 深度 5 | 4.42 秒
46... material：Bd6 | 深度 4 | 5.00 秒
47. v4：Rxb6 | 深度 4 | 5.00 秒
47... material：Bc5 | 深度 5 | 4.03 秒
48. v4：Rbb8 | 深度 4 | 5.00 秒
48... material：h6 | 深度 5 | 1.52 秒
49. v4：Rxf8+ | 深度 5 | 4.59 秒
