本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 25/40 盘：四马，白方 v4，黑方 material =====
4. v4：h4 | 深度 4 | 5.00 秒
4... material：Bc5 | 深度 4 | 5.00 秒
5. v4：Rb1 | 深度 4 | 5.00 秒
5... material：Ng4 | 深度 3 | 5.00 秒
6. v4：d4 | 深度 4 | 5.00 秒
6... material：exd4 | 深度 4 | 5.00 秒
7. v4：Na4 | 深度 4 | 5.00 秒
7... material：Be7 | 深度 4 | 5.00 秒
8. v4：Nxd4 | 深度 4 | 5.00 秒
8... material：Nxd4 | 深度 4 | 5.00 秒
9. v4：Qxd4 | 深度 4 | 5.00 秒
9... material：Bxh4 | 深度 4 | 5.00 秒
10. v4：Qxg7 | 深度 4 | 5.00 秒
10... material：Qf6 | 深度 5 | 3.38 秒
11. v4：Qxf6 | 深度 4 | 5.00 秒
11... material：Bxf6 | 深度 4 | 5.00 秒
12. v4：f3 | 深度 4 | 5.00 秒
12... material：Ne5 | 深度 4 | 5.00 秒
13. v4：Nc3 | 深度 4 | 5.00 秒
13... material：Ng6 | 深度 4 | 5.00 秒
14. v4：Nd5 | 深度 4 | 5.00 秒
14... material：Be5 | 深度 4 | 5.00 秒
15. v4：f4 | 深度 4 | 5.00 秒
15... material：c6 | 深度 4 | 5.00 秒
16. v4：fxe5 | 深度 4 | 5.00 秒
16... material：cxd5 | 深度 5 | 3.62 秒
17. v4：exd5 | 深度 4 | 5.00 秒
17... material：Nxe5 | 深度 4 | 5.00 秒
18. v4：Rh6 | 深度 4 | 5.00 秒
18... material：Ng4 | 深度 4 | 5.00 秒
19. v4：Rh5 | 深度 4 | 5.00 秒
19... material：Nf6 | 深度 4 | 5.00 秒
20. v4：Re5+ | 深度 4 | 5.00 秒
20... material：Kd8 | 深度 5 | 3.03 秒
21. v4：Bg5 | 深度 4 | 5.00 秒
21... material：Rg8 | 深度 5 | 1.13 秒
22. v4：Bxf6+ | 深度 5 | 4.91 秒
22... material：Kc7 | 深度 5 | 1.98 秒
23. v4：d6+ | 深度 4 | 5.00 秒
23... material：Kxd6 | 深度 5 | 2.98 秒
24. v4：Rd1+ | 深度 4 | 5.00 秒
24... material：Kc7 | 深度 4 | 5.00 秒
25. v4：Rc5+ | 深度 4 | 5.00 秒
25... material：Kb6 | 深度 5 | 3.55 秒
26. v4：Bd4 | 深度 4 | 5.00 秒
26... material：d5 | 深度 5 | 4.84 秒
27. v4：Rxc8+ | 深度 4 | 5.00 秒
27... material：Ka5 | 深度 5 | 1.73 秒
28. v4：Bc3+ | 深度 4 | 5.00 秒
28... material：Kb6 | 深度 5 | 0.97 秒
29. v4：Bd4+ | 深度 4 | 5.00 秒
29... material：Ka5 | 深度 5 | 1.76 秒
30. v4：Rc5+ | 深度 4 | 5.00 秒
30... material：Ka4 | 深度 5 | 4.56 秒
31. v4：Rxd5 | 深度 4 | 5.00 秒
31... material：a6 | 深度 4 | 5.00 秒
32. v4：Rd7 | 深度 4 | 5.00 秒
32... material：Rge8+ | 深度 4 | 5.00 秒
33. v4：Kd2 | 深度 4 | 5.00 秒
33... material：Red8 | 深度 4 | 5.00 秒
34. v4：Rxd8 | 深度 5 | 4.88 秒
34... material：Rxd8 | 深度 5 | 1.08 秒
35. v4：Ke3 | 深度 4 | 5.00 秒
35... material：Rd5 | 深度 4 | 5.00 秒
36. v4：Bc4 | 深度 4 | 5.00 秒
36... material：Rf5 | 深度 4 | 5.00 秒
37. v4：g4 | 深度 4 | 5.00 秒
37... material：Rg5 | 深度 5 | 1.72 秒
38. v4：Bxf7 | 深度 4 | 5.00 秒
38... material：Rxg4 | 深度 5 | 3.84 秒
