本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 27/40 盘：菲利多尔，白方 v4，黑方 material =====
4. v4：Nc3 | 深度 4 | 5.00 秒
4... material：Nbd7 | 深度 4 | 5.00 秒
5. v4：d5 | 深度 4 | 5.00 秒
5... material：g6 | 深度 4 | 5.00 秒
6. v4：Bg5 | 深度 3 | 5.00 秒
6... material：Bg7 | 深度 4 | 5.00 秒
7. v4：Qe2 | 深度 3 | 5.00 秒
7... material：O-O | 深度 4 | 5.00 秒
8. v4：Nh4 | 深度 4 | 5.00 秒
8... material：h6 | 深度 4 | 5.00 秒
9. v4：Be3 | 深度 4 | 5.00 秒
9... material：Nxe4 | 深度 4 | 5.00 秒
10. v4：Nxe4 | 深度 4 | 5.00 秒
10... material：Qxh4 | 深度 4 | 5.00 秒
11. v4：Qf3 | 深度 4 | 5.00 秒
11... material：Qe7 | 深度 3 | 5.00 秒
12. v4：O-O-O | 深度 4 | 5.00 秒
12... material：Kh7 | 深度 3 | 5.00 秒
13. v4：Qh3 | 深度 3 | 5.00 秒
13... material：f5 | 深度 3 | 5.00 秒
14. v4：Ng5+ | 深度 4 | 5.00 秒
14... material：Kg8 | 深度 4 | 5.00 秒
15. v4：Ne6 | 深度 4 | 5.00 秒
15... material：f4 | 深度 4 | 5.00 秒
16. v4：Bd3 | 深度 4 | 5.00 秒
16... material：Nf6 | 深度 3 | 5.00 秒
17. v4：Bxg6 | 深度 4 | 5.00 秒
17... material：fxe3 | 深度 3 | 5.00 秒
18. v4：fxe3 | 深度 4 | 5.00 秒
18... material：Nxd5 | 深度 3 | 5.00 秒
19. v4：Bf5 | 深度 4 | 5.00 秒
19... material：Rxf5 | 深度 4 | 5.00 秒
20. v4：g4 | 深度 4 | 5.00 秒
20... material：Bxe6 | 深度 4 | 5.00 秒
21. v4：gxf5 | 深度 4 | 5.00 秒
21... material：Bf7 | 深度 4 | 5.00 秒
22. v4：c3 | 深度 4 | 5.00 秒
22... material：Re8 | 深度 3 | 5.00 秒
23. v4：Rhf1 | 深度 4 | 5.00 秒
23... material：Kh7 | 深度 3 | 5.00 秒
24. v4：Rf3 | 深度 4 | 5.00 秒
24... material：Kg8 | 深度 3 | 5.00 秒
25. v4：a4 | 深度 4 | 5.00 秒
25... material：e4 | 深度 3 | 5.00 秒
26. v4：Rg3 | 深度 4 | 5.00 秒
26... material：Kh7 | 深度 4 | 5.00 秒
27. v4：Qg4 | 深度 4 | 5.00 秒
27... material：Bf6 | 深度 3 | 5.00 秒
28. v4：Rxd5 | 深度 4 | 5.00 秒
28... material：Rg8 | 深度 4 | 5.00 秒
29. v4：Qd1 | 深度 5 | 4.78 秒
29... material：Bxd5 | 深度 4 | 5.00 秒
30. v4：Qxd5 | 深度 5 | 3.28 秒
30... material：Rxg3 | 深度 4 | 5.00 秒
31. v4：hxg3 | 深度 5 | 3.31 秒
31... material：c5 | 深度 5 | 3.70 秒
32. v4：Kd2 | 深度 4 | 5.00 秒
32... material：h5 | 深度 4 | 5.00 秒
33. v4：a5 | 深度 4 | 5.00 秒
33... material：Kg7 | 深度 4 | 5.00 秒
34. v4：Kc2 | 深度 5 | 4.15 秒
34... material：Kh7 | 深度 5 | 4.47 秒
35. v4：Qc4 | 深度 4 | 5.00 秒
35... material：Kg7 | 深度 4 | 5.00 秒
36. v4：Qd5 | 深度 4 | 5.00 秒
36... material：Kh7 | 深度 5 | 4.46 秒
37. v4：Qc4 | 深度 4 | 5.00 秒
37... material：Kh6 | 深度 4 | 5.00 秒
38. v4：Qg8 | 深度 4 | 5.00 秒
38... material：Bg7 | 深度 5 | 4.34 秒
39. v4：Kb1 | 深度 4 | 5.00 秒
39... material：Kg5 | 深度 5 | 4.00 秒
40. v4：Qb8 | 深度 4 | 5.00 秒
