本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 29/40 盘：西西里封闭，白方 v4，黑方 material =====
4. v4：Nf3 | 深度 4 | 5.00 秒
4... material：Bg7 | 深度 4 | 5.00 秒
5. v4：Rb1 | 深度 4 | 5.00 秒
5... material：Nf6 | 深度 3 | 5.00 秒
6. v4：Rg1 | 深度 4 | 5.00 秒
6... material：O-O | 深度 3 | 5.00 秒
7. v4：Bg2 | 深度 4 | 5.00 秒
7... material：d6 | 深度 4 | 5.00 秒
8. v4：h3 | 深度 4 | 5.00 秒
8... material：e5 | 深度 3 | 5.00 秒
9. v4：Qe2 | 深度 4 | 5.00 秒
9... material：Re8 | 深度 3 | 5.00 秒
10. v4：Nd5 | 深度 4 | 5.00 秒
10... material：Nxd5 | 深度 4 | 5.00 秒
11. v4：exd5 | 深度 4 | 5.00 秒
11... material：Nd4 | 深度 3 | 5.00 秒
12. v4：Qd1 | 深度 4 | 5.00 秒
12... material：b5 | 深度 4 | 5.00 秒
13. v4：b3 | 深度 4 | 5.00 秒
13... material：Rb8 | 深度 4 | 5.00 秒
14. v4：Kf1 | 深度 4 | 5.00 秒
14... material：b4 | 深度 4 | 5.00 秒
15. v4：d3 | 深度 4 | 5.00 秒
15... material：Nxf3 | 深度 4 | 5.00 秒
16. v4：Qxf3 | 深度 4 | 5.00 秒
16... material：f5 | 深度 3 | 5.00 秒
17. v4：Be3 | 深度 4 | 5.00 秒
17... material：e4 | 深度 3 | 5.00 秒
18. v4：Qd1 | 深度 4 | 5.00 秒
18... material：a5 | 深度 4 | 5.00 秒
19. v4：dxe4 | 深度 3 | 5.00 秒
19... material：fxe4 | 深度 4 | 5.00 秒
20. v4：Qe2 | 深度 4 | 5.00 秒
20... material：Bf6 | 深度 3 | 5.00 秒
21. v4：Rd1 | 深度 4 | 5.00 秒
21... material：Bg7 | 深度 3 | 5.00 秒
22. v4：Qc4 | 深度 4 | 5.00 秒
22... material：Be5 | 深度 3 | 5.00 秒
23. v4：g4 | 深度 4 | 5.00 秒
23... material：Bh2 | 深度 3 | 5.00 秒
24. v4：Rh1 | 深度 4 | 5.00 秒
24... material：Ra8 | 深度 4 | 5.00 秒
25. v4：Qe2 | 深度 4 | 5.00 秒
25... material：Ba6 | 深度 4 | 5.00 秒
26. v4：Rxh2 | 深度 5 | 1.89 秒
26... material：Bxe2+ | 深度 4 | 5.00 秒
27. v4：Kxe2 | 深度 5 | 3.74 秒
27... material：Qe7 | 深度 4 | 5.00 秒
28. v4：Bf4 | 深度 4 | 5.00 秒
28... material：Rad8 | 深度 4 | 5.00 秒
29. v4：g5 | 深度 4 | 5.00 秒
29... material：Qf7 | 深度 4 | 5.00 秒
30. v4：Ke3 | 深度 4 | 5.00 秒
30... material：Rf8 | 深度 4 | 5.00 秒
31. v4：Bg3 | 深度 5 | 2.52 秒
31... material：Qf5 | 深度 4 | 5.00 秒
32. v4：h4 | 深度 4 | 5.00 秒
32... material：Rfe8 | 深度 4 | 5.00 秒
33. v4：Rh3 | 深度 4 | 5.00 秒
33... material：Kg7 | 深度 4 | 5.00 秒
34. v4：Rd2 | 深度 4 | 5.00 秒
34... material：Rh8 | 深度 4 | 5.00 秒
35. v4：Bf4 | 深度 4 | 5.00 秒
35... material：Rd7 | 深度 4 | 5.00 秒
36. v4：h5 | 深度 4 | 5.00 秒
36... material：gxh5 | 深度 3 | 5.00 秒
37. v4：Rh4 | 深度 4 | 5.00 秒
37... material：Rf7 | 深度 3 | 5.00 秒
38. v4：Bxe4 | 深度 4 | 5.00 秒
38... material：Re7 | 深度 4 | 5.00 秒
39. v4：f3 | 深度 4 | 5.00 秒
39... material：Rhe8 | 深度 4 | 5.00 秒
40. v4：Rd3 | 深度 5 | 4.23 秒
40... material：Rf7 | 深度 3 | 5.00 秒
41. v4：Rd1 | 深度 4 | 5.00 秒
41... material：Ree7 | 深度 3 | 5.00 秒
42. v4：Rd2 | 深度 4 | 5.00 秒
42... material：Kg8 | 深度 3 | 5.00 秒
43. v4：Rd1 | 深度 4 | 5.00 秒
43... material：Kg7 | 深度 4 | 5.00 秒
44. v4：Rd2 | 深度 4 | 5.00 秒
44... material：Kg8 | 深度 4 | 5.00 秒
45. v4：Rd1 | 深度 4 | 5.00 秒
45... material：Kh8 | 深度 4 | 5.00 秒
46. v4：Kd2 | 深度 4 | 5.00 秒
46... material：Rxe4 | 深度 5 | 4.27 秒
47. v4：fxe4 | 深度 5 | 4.74 秒
47... material：Qxe4 | 深度 4 | 5.00 秒
48. v4：Re1 | 深度 4 | 5.00 秒
48... material：Qd4+ | 深度 4 | 5.00 秒
49. v4：Kc1 | 深度 5 | 2.03 秒
49... material：Rxf4 | 深度 4 | 5.00 秒
50. v4：Rxf4 | 深度 5 | 2.54 秒
50... material：Qxf4+ | 深度 5 | 0.76 秒
51. v4：Kb1 | 深度 5 | 0.62 秒
51... material：Qxg5 | 深度 5 | 1.01 秒
52. v4：Re8+ | 深度 5 | 1.46 秒
52... material：Kg7 | 深度 5 | 0.74 秒
53. v4：Ra8 | 深度 5 | 2.67 秒
53... material：h4 | 深度 5 | 4.63 秒
54. v4：Rxa5 | 深度 5 | 2.11 秒
54... material：Qxd5 | 深度 4 | 5.00 秒
55. v4：Ra7+ | 深度 5 | 1.55 秒
55... material：Kg6 | 深度 5 | 1.22 秒
56. v4：Kc1 | 深度 4 | 5.00 秒
56... material：h3 | 深度 4 | 5.00 秒
57. v4：c4 | 深度 5 | 3.34 秒
57... material：Qe6 | 深度 4 | 5.00 秒
58. v4：a3 | 深度 5 | 2.70 秒
58... material：h2 | 深度 5 | 4.27 秒
59. v4：axb4 | 深度 4 | 5.00 秒
59... material：Qe2 | 深度 4 | 5.00 秒
60. v4：Rxh7 | 深度 5 | 1.82 秒
60... material：Kxh7 | 深度 4 | 5.00 秒
61. v4：bxc5 | 深度 5 | 1.52 秒
61... material：h1=Q# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE

===== 第 30/40 盘：西西里封闭，白方 material，黑方 v4 =====
4. material：Bg2 | 深度 4 | 5.00 秒
4... v4：Nf6 | 深度 4 | 5.00 秒
5. material：Nge2 | 深度 4 | 5.00 秒
5... v4：Bh6 | 深度 4 | 5.00 秒
6. material：d3 | 深度 4 | 5.00 秒
6... v4：Bxc1 | 深度 4 | 5.00 秒
7. material：Qxc1 | 深度 4 | 5.00 秒
7... v4：Qb6 | 深度 4 | 5.00 秒
8. material：O-O | 深度 3 | 5.00 秒
8... v4：Rg8 | 深度 4 | 5.00 秒
9. material：f4 | 深度 3 | 5.00 秒
9... v4：c4+ | 深度 4 | 5.00 秒
10. material：Kh1 | 深度 5 | 3.75 秒
10... v4：cxd3 | 深度 4 | 5.00 秒
11. material：cxd3 | 深度 4 | 5.00 秒
11... v4：Nb4 | 深度 4 | 5.00 秒
12. material：Qd2 | 深度 3 | 5.00 秒
12... v4：d6 | 深度 3 | 5.00 秒
13. material：d4 | 深度 3 | 5.00 秒
13... v4：Be6 | 深度 3 | 5.00 秒
14. material：a3 | 深度 3 | 5.00 秒
14... v4：Na6 | 深度 4 | 5.00 秒
15. material：d5 | 深度 3 | 5.00 秒
15... v4：Bd7 | 深度 4 | 5.00 秒
