本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 31/40 盘：法兰西推进，白方 v4，黑方 material =====
4. v4：c3 | 深度 4 | 5.00 秒
4... material：Nc6 | 深度 4 | 5.00 秒
5. v4：Bb5 | 深度 4 | 5.00 秒
5... material：Bd7 | 深度 4 | 5.00 秒
6. v4：Nf3 | 深度 4 | 5.00 秒
6... material：Nxe5 | 深度 4 | 5.00 秒
7. v4：Nxe5 | 深度 4 | 5.00 秒
7... material：Bxb5 | 深度 4 | 5.00 秒
8. v4：Rg1 | 深度 4 | 5.00 秒
8... material：Nf6 | 深度 3 | 5.00 秒
9. v4：Na3 | 深度 4 | 5.00 秒
9... material：Ba6 | 深度 4 | 5.00 秒
10. v4：Qa4+ | 深度 4 | 5.00 秒
10... material：Nd7 | 深度 4 | 5.00 秒
11. v4：b4 | 深度 4 | 5.00 秒
11... material：cxb4 | 深度 4 | 5.00 秒
12. v4：cxb4 | 深度 4 | 5.00 秒
12... material：Qc7 | 深度 4 | 5.00 秒
13. v4：Bd2 | 深度 4 | 5.00 秒
13... material：Bd6 | 深度 4 | 5.00 秒
14. v4：Rc1 | 深度 4 | 5.00 秒
14... material：Qd8 | 深度 4 | 5.00 秒
15. v4：Qxd7+ | 深度 3 | 5.00 秒
15... material：Qxd7 | 深度 5 | 1.30 秒
16. v4：Nxd7 | 深度 4 | 5.00 秒
16... material：Kxd7 | 深度 4 | 5.00 秒
17. v4：h3 | 深度 4 | 5.00 秒
17... material：Rac8 | 深度 4 | 5.00 秒
18. v4：Rb1 | 深度 4 | 5.00 秒
18... material：b5 | 深度 3 | 5.00 秒
19. v4：Kd1 | 深度 4 | 5.00 秒
19... material：Kc6 | 深度 4 | 5.00 秒
20. v4：h4 | 深度 4 | 5.00 秒
20... material：Kb7 | 深度 4 | 5.00 秒
21. v4：Rb2 | 深度 4 | 5.00 秒
21... material：Rc7 | 深度 4 | 5.00 秒
22. v4：Rh1 | 深度 4 | 5.00 秒
22... material：g6 | 深度 4 | 5.00 秒
23. v4：h5 | 深度 4 | 5.00 秒
23... material：Rhc8 | 深度 4 | 5.00 秒
24. v4：hxg6 | 深度 4 | 5.00 秒
24... material：hxg6 | 深度 4 | 5.00 秒
25. v4：Rh6 | 深度 4 | 5.00 秒
25... material：Rc6 | 深度 4 | 5.00 秒
26. v4：Rh7 | 深度 4 | 5.00 秒
26... material：R8c7 | 深度 4 | 5.00 秒
27. v4：Bg5 | 深度 4 | 5.00 秒
27... material：Rc3 | 深度 4 | 5.00 秒
28. v4：Nc2 | 深度 4 | 5.00 秒
28... material：R3c4 | 深度 4 | 5.00 秒
29. v4：Bd8 | 深度 4 | 5.00 秒
29... material：Rd7 | 深度 4 | 5.00 秒
30. v4：Bf6 | 深度 4 | 5.00 秒
30... material：Bc7 | 深度 4 | 5.00 秒
31. v4：Ne3 | 深度 4 | 5.00 秒
31... material：Rc3 | 深度 4 | 5.00 秒
32. v4：Kd2 | 深度 4 | 5.00 秒
32... material：Ra3 | 深度 4 | 5.00 秒
33. v4：Kc2 | 深度 4 | 5.00 秒
33... material：Bd6 | 深度 4 | 5.00 秒
34. v4：Kb1 | 深度 4 | 5.00 秒
34... material：Bc7 | 深度 4 | 5.00 秒
35. v4：Ng4 | 深度 4 | 5.00 秒
35... material：Rd3 | 深度 4 | 5.00 秒
36. v4：Kc2 | 深度 4 | 5.00 秒
36... material：Ra3 | 深度 4 | 5.00 秒
37. v4：Kb1 | 深度 4 | 5.00 秒
37... material：Ra4 | 深度 4 | 5.00 秒
38. v4：Ka1 | 深度 4 | 5.00 秒
38... material：Bd6 | 深度 4 | 5.00 秒
39. v4：Ne5 | 深度 4 | 5.00 秒
39... material：Rc7 | 深度 5 | 4.45 秒
40. v4：Nd3 | 深度 4 | 5.00 秒
40... material：Kc8 | 深度 4 | 5.00 秒
41. v4：Rh8+ | 深度 4 | 5.00 秒
41... material：Kd7 | 深度 4 | 5.00 秒
42. v4：Rd8+ | 深度 4 | 5.00 秒
42... material：Kc6 | 深度 4 | 5.00 秒
43. v4：Rb3 | 深度 4 | 5.00 秒
43... material：Bc8 | 深度 4 | 5.00 秒
44. v4：Kb2 | 深度 4 | 5.00 秒
44... material：Ra6 | 深度 3 | 5.00 秒
45. v4：Rc3+ | 深度 4 | 5.00 秒
45... material：Kb7 | 深度 5 | 1.78 秒
46. v4：Rxc7+ | 深度 4 | 5.00 秒
46... material：Kxc7 | 深度 5 | 4.28 秒
47. v4：a3 | 深度 4 | 5.00 秒
47... material：Kb8 | 深度 4 | 5.00 秒
48. v4：f4 | 深度 4 | 5.00 秒
48... material：Kc7 | 深度 4 | 5.00 秒
49. v4：g4 | 深度 4 | 5.00 秒
49... material：Rb6 | 深度 5 | 3.93 秒
50. v4：Rh8 | 深度 4 | 5.00 秒
50... material：Rb7 | 深度 4 | 5.00 秒
51. v4：Rd8 | 深度 4 | 5.00 秒
51... material：a6 | 深度 5 | 3.41 秒
52. v4：g5 | 深度 4 | 5.00 秒
52... material：Rb6 | 深度 5 | 2.38 秒
53. v4：Rh8 | 深度 4 | 5.00 秒
53... material：Rb7 | 深度 5 | 3.98 秒
54. v4：Rd8 | 深度 4 | 5.00 秒
54... material：Rb6 | 深度 5 | 2.40 秒
55. v4：Rh8 | 深度 4 | 5.00 秒
55... material：Kb8 | 深度 5 | 4.21 秒
56. v4：Rg8 | 深度 4 | 5.00 秒
56... material：Rc6 | 深度 5 | 2.70 秒
57. v4：Rd8 | 深度 4 | 5.00 秒
57... material：Kc7 | 深度 5 | 4.71 秒
58. v4：Ne5 | 深度 4 | 5.00 秒
58... material：Bxe5 | 深度 5 | 1.03 秒
59. v4：dxe5 | 深度 5 | 2.32 秒
59... material：Kb7 | 深度 5 | 1.39 秒
60. v4：Re8 | 深度 5 | 2.26 秒
60... material：Rc4 | 深度 5 | 1.53 秒
61. v4：f5 | 深度 5 | 2.84 秒
61... material：gxf5 | 深度 5 | 2.93 秒
62. v4：Rf8 | 深度 5 | 3.79 秒
62... material：Rc7 | 深度 5 | 1.78 秒
63. v4：Rh8 | 深度 5 | 3.25 秒
63... material：Rc6 | 深度 5 | 1.72 秒
64. v4：Rf8 | 深度 4 | 5.00 秒
64... material：Rc7 | 深度 5 | 1.06 秒
65. v4：Rh8 | 深度 5 | 4.21 秒
65... material：Kc6 | 深度 5 | 1.67 秒
66. v4：Rh7 | 深度 4 | 5.00 秒
66... material：Rb7 | 深度 5 | 1.19 秒
67. v4：Rh8 | 深度 5 | 4.52 秒
67... material：Rc7 | 深度 5 | 0.78 秒
68. v4：Bg7 | 深度 4 | 5.00 秒
68... material：Bb7 | 深度 5 | 1.03 秒
69. v4：Rf8 | 深度 4 | 5.00 秒
69... material：Rd7 | 深度 5 | 1.04 秒
70. v4：Rh8 | 深度 5 | 3.23 秒
70... material：Rc7 | 深度 5 | 0.92 秒
71. v4：Rf8 | 深度 4 | 5.00 秒
71... material：Rd7 | 深度 5 | 1.07 秒
72. v4：Rh8 | 深度 5 | 3.17 秒
72... material：Kb6 | 深度 5 | 1.00 秒
73. v4：Rh7 | 深度 4 | 5.00 秒
73... material：Rc7 | 深度 5 | 1.22 秒
74. v4：Bf6 | 深度 5 | 3.77 秒
74... material：Kc6 | 深度 5 | 1.82 秒
75. v4：Bg7 | 深度 4 | 5.00 秒
75... material：Kd7 | 深度 5 | 0.74 秒
76. v4：Bf6 | 深度 5 | 3.31 秒
76... material：Kc6 | 深度 5 | 1.01 秒
77. v4：Rh2 | 深度 5 | 4.91 秒
77... material：Rd7 | 深度 5 | 1.43 秒
78. v4：Rh7 | 深度 4 | 5.00 秒
78... material：Ba8 | 深度 5 | 1.11 秒
79. v4：Rh8 | 深度 4 | 5.00 秒
79... material：Kb7 | 深度 5 | 1.32 秒
80. v4：Re8 | 深度 5 | 4.38 秒
80... material：Rc7 | 深度 5 | 0.79 秒
81. v4：Rf8 | 深度 4 | 5.00 秒
81... material：Rd7 | 深度 5 | 1.31 秒
82. v4：Re8 | 深度 5 | 3.08 秒
82... material：Rc7 | 深度 5 | 0.84 秒
83. v4：Bd8 | 深度 5 | 4.78 秒
83... material：Rc8 | 深度 5 | 1.11 秒
84. v4：Re7+ | 深度 5 | 2.77 秒
84... material：Kb8 | 深度 5 | 0.59 秒
85. v4：Bb6 | 深度 5 | 2.57 秒
85... material：Rg8 | 深度 5 | 1.54 秒
86. v4：Bc7+ | 深度 5 | 3.28 秒
86... material：Kc8 | 深度 5 | 0.43 秒
87. v4：Bd6 | 深度 5 | 2.23 秒
87... material：Rxg5 | 深度 5 | 1.42 秒
88. v4：Re8+ | 深度 5 | 2.74 秒
88... material：Kb7 | 深度 5 | 0.64 秒
89. v4：Re7+ | 深度 5 | 2.10 秒
89... material：Kc6 | 深度 5 | 0.45 秒
90. v4：Rxf7 | 深度 5 | 1.67 秒
90... material：Rg8 | 深度 5 | 2.05 秒
91. v4：Rc7+ | 深度 5 | 1.94 秒
91... material：Kb6 | 深度 5 | 0.55 秒
92. v4：Rc2 | 深度 5 | 2.84 秒
92... material：Bb7 | 深度 5 | 2.34 秒
93. v4：Bc5+ | 深度 5 | 3.76 秒
93... material：Kc6 | 深度 5 | 0.52 秒
94. v4：Bd6+ | 深度 5 | 4.08 秒
94... material：Kb6 | 深度 5 | 0.76 秒
95. v4：Bc5+ | 深度 5 | 4.14 秒
95... material：Kc7 | 深度 5 | 0.67 秒
96. v4：Ka1 | 深度 4 | 5.00 秒
96... material：Bc6 | 深度 5 | 1.86 秒
97. v4：Be3 | 深度 4 | 5.00 秒
97... material：Kd7 | 深度 5 | 3.00 秒
98. v4：Rh2 | 深度 5 | 4.46 秒
98... material：Ra8 | 深度 5 | 3.94 秒
99. v4：Rh7+ | 深度 5 | 4.48 秒
99... material：Ke8 | 深度 5 | 0.72 秒
100. v4：Bg5 | 深度 4 | 5.00 秒
100... material：Kf8 | 深度 5 | 0.65 秒
101. v4：Bf6 | 深度 5 | 4.31 秒
101... material：Kg8 | 深度 5 | 0.46 秒
102. v4：Rh6 | 深度 5 | 3.02 秒
102... material：Re8 | 深度 5 | 0.43 秒
103. v4：Kb2 | 深度 5 | 2.46 秒
103... material：Kf7 | 深度 5 | 1.07 秒
104. v4：Rh7+ | 深度 5 | 4.12 秒
104... material：Kg8 | 深度 5 | 0.73 秒
105. v4：Rh6 | 深度 5 | 3.53 秒
105... material：Kf7 | 深度 5 | 1.16 秒
106. v4：Rh7+ | 深度 5 | 3.99 秒
106... material：Kg6 | 深度 5 | 0.72 秒
107. v4：Rc7 | 深度 5 | 2.99 秒
107... material：Ba8 | 深度 5 | 1.57 秒
108. v4：Rg7+ | 深度 5 | 4.49 秒
108... material：Kh6 | 深度 5 | 1.09 秒
109. v4：Rg3 | 深度 5 | 4.87 秒
109... material：Rb8 | 深度 5 | 2.31 秒
110. v4：Rg7 | 深度 4 | 5.00 秒
110... material：Kh5 | 深度 5 | 2.95 秒
111. v4：Re7 | 深度 5 | 4.85 秒
111... material：Rb6 | 深度 5 | 1.57 秒
112. v4：Ra7 | 深度 5 | 2.76 秒
112... material：Bc6 | 深度 5 | 1.23 秒
113. v4：Rh7+ | 深度 5 | 4.29 秒
113... material：Kg6 | 深度 5 | 0.52 秒
114. v4：Rh8 | 深度 5 | 3.56 秒
114... material：Bd7 | 深度 5 | 1.08 秒
115. v4：Rg8+ | 深度 5 | 3.78 秒
115... material：Kh5 | 深度 5 | 1.34 秒
116. v4：Rg7 | 深度 4 | 5.00 秒
