本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 33/40 盘：卡罗康推进，白方 v4，黑方 material =====
4. v4：Nc3 | 深度 4 | 5.00 秒
4... material：e6 | 深度 4 | 5.00 秒
5. v4：Nf3 | 深度 4 | 5.00 秒
5... material：a6 | 深度 3 | 5.00 秒
6. v4：h4 | 深度 4 | 5.00 秒
6... material：h6 | 深度 3 | 5.00 秒
7. v4：Bd2 | 深度 3 | 5.00 秒
7... material：Nd7 | 深度 3 | 5.00 秒
8. v4：Na4 | 深度 3 | 5.00 秒
8... material：Ne7 | 深度 3 | 5.00 秒
9. v4：Bd3 | 深度 3 | 5.00 秒
9... material：Bxd3 | 深度 4 | 5.00 秒
10. v4：cxd3 | 深度 4 | 5.00 秒
10... material：Nf5 | 深度 3 | 5.00 秒
11. v4：g4 | 深度 3 | 5.00 秒
11... material：Ne7 | 深度 4 | 5.00 秒
12. v4：Qb3 | 深度 4 | 5.00 秒
12... material：b5 | 深度 4 | 5.00 秒
13. v4：Nc3 | 深度 4 | 5.00 秒
13... material：c5 | 深度 3 | 5.00 秒
14. v4：Rh3 | 深度 4 | 5.00 秒
14... material：cxd4 | 深度 3 | 5.00 秒
15. v4：Nxd4 | 深度 4 | 5.00 秒
15... material：Nxe5 | 深度 3 | 5.00 秒
16. v4：Rg3 | 深度 3 | 5.00 秒
16... material：N7g6 | 深度 3 | 5.00 秒
17. v4：h5 | 深度 3 | 5.00 秒
17... material：Nh4 | 深度 3 | 5.00 秒
18. v4：f4 | 深度 3 | 5.00 秒
18... material：Nd7 | 深度 4 | 5.00 秒
19. v4：O-O-O | 深度 3 | 5.00 秒
19... material：b4 | 深度 3 | 5.00 秒
20. v4：Na4 | 深度 4 | 5.00 秒
20... material：Qf6 | 深度 4 | 5.00 秒
21. v4：Be3 | 深度 4 | 5.00 秒
21... material：Qe7 | 深度 4 | 5.00 秒
22. v4：Rh3 | 深度 4 | 5.00 秒
22... material：Qf6 | 深度 4 | 5.00 秒
23. v4：Rdh1 | 深度 3 | 5.00 秒
23... material：g5 | 深度 4 | 5.00 秒
24. v4：hxg6 | 深度 4 | 5.00 秒
24... material：Nxg6 | 深度 4 | 5.00 秒
25. v4：Kd2 | 深度 4 | 5.00 秒
25... material：Nxf4 | 深度 3 | 5.00 秒
26. v4：Rf3 | 深度 4 | 5.00 秒
26... material：Bd6 | 深度 3 | 5.00 秒
27. v4：Ne2 | 深度 3 | 5.00 秒
27... material：e5 | 深度 3 | 5.00 秒
28. v4：Bxf4 | 深度 3 | 5.00 秒
28... material：exf4 | 深度 3 | 5.00 秒
29. v4：Qxd5 | 深度 4 | 5.00 秒
29... material：O-O | 深度 3 | 5.00 秒
30. v4：Rhf1 | 深度 3 | 5.00 秒
30... material：Qe6 | 深度 3 | 5.00 秒
31. v4：Qxe6 | 深度 4 | 5.00 秒
31... material：fxe6 | 深度 4 | 5.00 秒
32. v4：Nxf4 | 深度 4 | 5.00 秒
32... material：Ne5 | 深度 4 | 5.00 秒
33. v4：R3f2 | 深度 5 | 3.56 秒
33... material：Nxg4 | 深度 4 | 5.00 秒
34. v4：Rf3 | 深度 5 | 4.58 秒
34... material：Nh2 | 深度 4 | 5.00 秒
35. v4：Nb6 | 深度 5 | 2.78 秒
35... material：Rae8 | 深度 4 | 5.00 秒
36. v4：Rg1+ | 深度 5 | 1.46 秒
36... material：Kh7 | 深度 5 | 2.69 秒
37. v4：Rh3 | 深度 5 | 3.59 秒
37... material：Bxf4+ | 深度 4 | 5.00 秒
38. v4：Kd1 | 深度 4 | 5.00 秒
38... material：Be5 | 深度 4 | 5.00 秒
39. v4：Nd7 | 深度 4 | 5.00 秒
39... material：Rf3 | 深度 5 | 2.19 秒
40. v4：Rxf3 | 深度 5 | 3.22 秒
40... material：Nxf3 | 深度 5 | 1.92 秒
41. v4：Rf1 | 深度 5 | 1.95 秒
41... material：Rd8 | 深度 5 | 3.40 秒
42. v4：Rxf3 | 深度 5 | 2.26 秒
42... material：Rxd7 | 深度 5 | 1.68 秒
43. v4：Re3 | 深度 5 | 2.57 秒
43... material：Bxb2 | 深度 5 | 3.46 秒
44. v4：Kc2 | 深度 5 | 1.48 秒
44... material：Bd4 | 深度 5 | 2.09 秒
45. v4：Rxe6 | 深度 5 | 1.43 秒
45... material：a5 | 深度 5 | 3.94 秒
46. v4：Ra6 | 深度 5 | 3.49 秒
46... material：Rd5 | 深度 5 | 4.00 秒
47. v4：Rc6 | 深度 5 | 1.49 秒
47... material：Be3 | 深度 5 | 4.75 秒
48. v4：Re6 | 深度 5 | 1.34 秒
48... material：Rc5+ | 深度 5 | 2.67 秒
49. v4：Kb2 | 深度 5 | 0.61 秒
49... material：Bd2 | 深度 5 | 2.61 秒
50. v4：Rd6 | 深度 5 | 2.12 秒
50... material：Rc3 | 深度 5 | 3.42 秒
51. v4：Rd7+ | 深度 5 | 0.88 秒
51... material：Kg6 | 深度 5 | 0.51 秒
52. v4：Ra7 | 深度 5 | 1.70 秒
52... material：Kf6 | 深度 5 | 2.55 秒
53. v4：Rxa5 | 深度 5 | 1.53 秒
53... material：Rxd3 | 深度 5 | 2.83 秒
54. v4：Kc2 | 深度 5 | 1.43 秒
54... material：Rd4 | 深度 5 | 1.64 秒
55. v4：Rb5 | 深度 5 | 2.79 秒
55... material：Ke6 | 深度 5 | 4.05 秒
56. v4：Rb6+ | 深度 5 | 1.91 秒
56... material：Kd7 | 深度 5 | 1.42 秒
57. v4：Rg6 | 深度 5 | 2.07 秒
57... material：h5 | 深度 5 | 2.75 秒
58. v4：Rg7+ | 深度 5 | 3.01 秒
58... material：Ke6 | 深度 5 | 0.75 秒
59. v4：Rb7 | 深度 5 | 4.06 秒
59... material：h4 | 深度 5 | 4.42 秒
60. v4：Rb6+ | 深度 5 | 2.53 秒
60... material：Kd7 | 深度 5 | 1.26 秒
61. v4：Rg6 | 深度 5 | 1.88 秒
61... material：Be3 | 深度 5 | 1.81 秒
62. v4：Kb3 | 深度 5 | 1.59 秒
62... material：Re4 | 深度 5 | 3.16 秒
63. v4：Ka4 | 深度 5 | 2.57 秒
63... material：Rd4 | 深度 5 | 3.00 秒
64. v4：Rg7+ | 深度 5 | 1.91 秒
64... material：Ke6 | 深度 5 | 0.79 秒
65. v4：Kb5 | 深度 5 | 3.00 秒
65... material：Ke5 | 深度 5 | 3.90 秒
66. v4：Re7+ | 深度 5 | 1.66 秒
66... material：Kf4 | 深度 5 | 1.05 秒
67. v4：Rf7+ | 深度 5 | 2.06 秒
67... material：Kg3 | 深度 5 | 1.75 秒
68. v4：Rf8 | 深度 5 | 3.76 秒
68... material：Bf2 | 深度 5 | 4.47 秒
69. v4：Rg8+ | 深度 5 | 1.83 秒
69... material：Kh3 | 深度 5 | 1.61 秒
70. v4：Rc8 | 深度 5 | 3.01 秒
70... material：Bg3 | 深度 5 | 3.57 秒
71. v4：Rc1 | 深度 5 | 2.93 秒
71... material：Kg4 | 深度 5 | 3.83 秒
72. v4：Rb1 | 深度 5 | 4.29 秒
72... material：Bd6 | 深度 5 | 2.96 秒
73. v4：Rb2 | 深度 4 | 5.00 秒
73... material：Re4 | 深度 5 | 4.08 秒
74. v4：Rd2 | 深度 5 | 4.27 秒
74... material：Bc7 | 深度 5 | 3.56 秒
75. v4：Rb2 | 深度 5 | 4.76 秒
75... material：Bd6 | 深度 5 | 3.04 秒
76. v4：Rd2 | 深度 4 | 5.00 秒
76... material：Bg3 | 深度 5 | 3.67 秒
77. v4：Rd7 | 深度 4 | 5.00 秒
77... material：Rf4 | 深度 5 | 4.10 秒
78. v4：Rg7+ | 深度 4 | 5.00 秒
78... material：Kh3 | 深度 5 | 1.68 秒
79. v4：Rd7 | 深度 5 | 4.99 秒
79... material：Rg4 | 深度 5 | 3.17 秒
80. v4：Rd3 | 深度 4 | 5.00 秒
80... material：Rf4 | 深度 5 | 2.24 秒
81. v4：a3 | 深度 5 | 4.73 秒
81... material：bxa3 | 深度 5 | 1.25 秒
82. v4：Rxa3 | 深度 5 | 2.14 秒
82... material：Rf1 | 深度 5 | 1.19 秒
83. v4：Ra7 | 深度 5 | 3.92 秒
83... material：Rh1 | 深度 5 | 3.36 秒
84. v4：Rd7 | 深度 5 | 2.05 秒
84... material：Rh2 | 深度 5 | 2.04 秒
85. v4：Kb4 | 深度 5 | 2.23 秒
85... material：Rh1 | 深度 5 | 1.90 秒
86. v4：Kc3 | 深度 5 | 4.45 秒
86... material：Rh2 | 深度 5 | 3.07 秒
87. v4：Kb3 | 深度 5 | 4.00 秒
87... material：Rg2 | 深度 5 | 1.37 秒
88. v4：Rd3 | 深度 5 | 3.48 秒
88... material：Rh2 | 深度 5 | 0.91 秒
89. v4：Rd5 | 深度 5 | 3.36 秒
89... material：Rh1 | 深度 5 | 1.63 秒
90. v4：Ra5 | 深度 4 | 5.00 秒
90... material：Rh2 | 深度 5 | 2.45 秒
91. v4：Rd5 | 深度 5 | 4.72 秒
91... material：Rh1 | 深度 5 | 1.63 秒
92. v4：Ra5 | 深度 4 | 5.00 秒
92... material：Kg2 | 深度 5 | 2.61 秒
93. v4：Rc5 | 深度 4 | 5.00 秒
93... material：h3 | 深度 5 | 3.77 秒
94. v4：Rd5 | 深度 5 | 3.17 秒
94... material：Bh2 | 深度 4 | 5.00 秒
95. v4：Rd2+ | 深度 5 | 2.75 秒
95... material：Kf3 | 深度 5 | 0.54 秒
96. v4：Rd3+ | 深度 5 | 2.75 秒
96... material：Kg4 | 深度 5 | 1.14 秒
97. v4：Rd4+ | 深度 5 | 2.93 秒
97... material：Kf3 | 深度 5 | 0.83 秒
98. v4：Rd3+ | 深度 5 | 3.87 秒
98... material：Kg4 | 深度 5 | 1.17 秒
