本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 37/40 盘：后印度，白方 v4，黑方 material =====
4. v4：Qb3 | 深度 4 | 5.00 秒
4... material：Bb7 | 深度 4 | 5.00 秒
5. v4：Nc3 | 深度 4 | 5.00 秒
5... material：Be7 | 深度 3 | 5.00 秒
6. v4：Bf4 | 深度 3 | 5.00 秒
6... material：O-O | 深度 3 | 5.00 秒
7. v4：O-O-O | 深度 3 | 5.00 秒
7... material：d6 | 深度 3 | 5.00 秒
8. v4：d5 | 深度 3 | 5.00 秒
8... material：exd5 | 深度 4 | 5.00 秒
9. v4：cxd5 | 深度 4 | 5.00 秒
9... material：Nbd7 | 深度 3 | 5.00 秒
10. v4：Rg1 | 深度 3 | 5.00 秒
10... material：Re8 | 深度 3 | 5.00 秒
11. v4：Rd2 | 深度 3 | 5.00 秒
11... material：Bf8 | 深度 3 | 5.00 秒
12. v4：Kb1 | 深度 3 | 5.00 秒
12... material：g6 | 深度 3 | 5.00 秒
13. v4：Ng5 | 深度 3 | 5.00 秒
13... material：Nh5 | 深度 3 | 5.00 秒
14. v4：g3 | 深度 4 | 5.00 秒
14... material：Nxf4 | 深度 3 | 5.00 秒
15. v4：gxf4 | 深度 4 | 5.00 秒
15... material：Bg7 | 深度 3 | 5.00 秒
16. v4：Nce4 | 深度 3 | 5.00 秒
16... material：h6 | 深度 4 | 5.00 秒
17. v4：Qe3 | 深度 4 | 5.00 秒
17... material：hxg5 | 深度 4 | 5.00 秒
18. v4：fxg5 | 深度 4 | 5.00 秒
18... material：Re5 | 深度 3 | 5.00 秒
19. v4：f4 | 深度 4 | 5.00 秒
19... material：Rxd5 | 深度 4 | 5.00 秒
20. v4：Rxd5 | 深度 4 | 5.00 秒
20... material：Bxd5 | 深度 4 | 5.00 秒
21. v4：Ng3 | 深度 4 | 5.00 秒
21... material：a5 | 深度 3 | 5.00 秒
22. v4：Bh3 | 深度 4 | 5.00 秒
22... material：Bc4 | 深度 3 | 5.00 秒
23. v4：Rc1 | 深度 3 | 5.00 秒
23... material：d5 | 深度 3 | 5.00 秒
24. v4：Qf3 | 深度 3 | 5.00 秒
24... material：Nc5 | 深度 3 | 5.00 秒
25. v4：b3 | 深度 3 | 5.00 秒
25... material：Ba6 | 深度 4 | 5.00 秒
26. v4：Qg4 | 深度 3 | 5.00 秒
