本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 39/40 盘：荷兰，白方 v4，黑方 material =====
4. v4：Nc3 | 深度 4 | 5.00 秒
4... material：Bg7 | 深度 4 | 5.00 秒
5. v4：Nf3 | 深度 4 | 5.00 秒
5... material：O-O | 深度 4 | 5.00 秒
6. v4：Rb1 | 深度 4 | 5.00 秒
6... material：d6 | 深度 4 | 5.00 秒
7. v4：Rg1 | 深度 4 | 5.00 秒
7... material：Nc6 | 深度 4 | 5.00 秒
8. v4：d5 | 深度 4 | 5.00 秒
8... material：Nb8 | 深度 4 | 5.00 秒
9. v4：Qd3 | 深度 3 | 5.00 秒
9... material：Nbd7 | 深度 3 | 5.00 秒
10. v4：Kf1 | 深度 3 | 5.00 秒
10... material：Nc5 | 深度 3 | 5.00 秒
11. v4：Qd1 | 深度 4 | 5.00 秒
11... material：a5 | 深度 4 | 5.00 秒
12. v4：Be3 | 深度 4 | 5.00 秒
12... material：a4 | 深度 3 | 5.00 秒
13. v4：Bxc5 | 深度 4 | 5.00 秒
13... material：dxc5 | 深度 4 | 5.00 秒
14. v4：Qd3 | 深度 4 | 5.00 秒
14... material：b6 | 深度 3 | 5.00 秒
15. v4：Qc4 | 深度 3 | 5.00 秒
15... material：Ba6 | 深度 3 | 5.00 秒
16. v4：Qh4 | 深度 4 | 5.00 秒
16... material：Bb7 | 深度 3 | 5.00 秒
17. v4：b3 | 深度 3 | 5.00 秒
17... material：axb3 | 深度 3 | 5.00 秒
18. v4：Rxb3 | 深度 4 | 5.00 秒
18... material：Nxd5 | 深度 3 | 5.00 秒
19. v4：Ng5 | 深度 4 | 5.00 秒
19... material：h6 | 深度 3 | 5.00 秒
20. v4：Ne6 | 深度 4 | 5.00 秒
20... material：g5 | 深度 3 | 5.00 秒
21. v4：Qc4 | 深度 4 | 5.00 秒
21... material：Qd6 | 深度 3 | 5.00 秒
22. v4：Nxf8 | 深度 3 | 5.00 秒
22... material：Bxc3 | 深度 4 | 5.00 秒
23. v4：Ng6 | 深度 4 | 5.00 秒
23... material：Bf6 | 深度 3 | 5.00 秒
24. v4：g4 | 深度 3 | 5.00 秒
24... material：fxg4 | 深度 3 | 5.00 秒
25. v4：e4 | 深度 3 | 5.00 秒
25... material：Ba6 | 深度 4 | 5.00 秒
26. v4：Rb5 | 深度 5 | 2.90 秒
26... material：c6 | 深度 4 | 5.00 秒
27. v4：e5 | 深度 4 | 5.00 秒
27... material：Bxe5 | 深度 4 | 5.00 秒
28. v4：Nxe5 | 深度 4 | 5.00 秒
28... material：Bxb5 | 深度 5 | 3.30 秒
29. v4：Qxb5 | 深度 5 | 1.75 秒
29... material：cxb5 | 深度 4 | 5.00 秒
30. v4：Nxg4 | 深度 5 | 2.77 秒
30... material：Kg7 | 深度 5 | 4.45 秒
31. v4：Bxd5 | 深度 5 | 3.16 秒
31... material：Qxd5 | 深度 4 | 5.00 秒
32. v4：Ne3 | 深度 5 | 3.31 秒
32... material：Qxa2 | 深度 4 | 5.00 秒
33. v4：Kg2 | 深度 4 | 5.00 秒
33... material：b4 | 深度 4 | 5.00 秒
34. v4：Rd1 | 深度 4 | 5.00 秒
34... material：Qb2 | 深度 4 | 5.00 秒
35. v4：Nf5+ | 深度 4 | 5.00 秒
35... material：Kf6 | 深度 5 | 2.76 秒
36. v4：Ne3 | 深度 4 | 5.00 秒
36... material：e6 | 深度 4 | 5.00 秒
37. v4：Ng4+ | 深度 4 | 5.00 秒
37... material：Kg7 | 深度 5 | 3.12 秒
38. v4：Rd7+ | 深度 4 | 5.00 秒
38... material：Kf8 | 深度 5 | 2.47 秒
39. v4：Nxh6 | 深度 4 | 5.00 秒
39... material：Qxc2 | 深度 5 | 3.76 秒
40. v4：Rf7+ | 深度 5 | 1.21 秒
40... material：Ke8 | 深度 5 | 1.02 秒
41. v4：Rf3 | 深度 5 | 2.74 秒
41... material：Rc8 | 深度 4 | 5.00 秒
42. v4：Nf7 | 深度 4 | 5.00 秒
42... material：Qd2 | 深度 4 | 5.00 秒
43. v4：Kh3 | 深度 4 | 5.00 秒
43... material：Ke7 | 深度 4 | 5.00 秒
44. v4：Ne5 | 深度 5 | 3.49 秒
44... material：Qe1 | 深度 4 | 5.00 秒
45. v4：Ng6+ | 深度 5 | 1.17 秒
45... material：Kd6 | 深度 5 | 1.96 秒
46. v4：Rd3+ | 深度 5 | 1.03 秒
46... material：Kc7 | 深度 5 | 2.85 秒
47. v4：Rf3 | 深度 5 | 2.16 秒
47... material：Qg1 | 深度 4 | 5.00 秒
