本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 3/20 盘：后翼弃兵发展，白方 candidate，黑方 material =====
4. candidate：cxd5 | 深度 3 | 5.00 秒
4... material：exd5 | 深度 4 | 5.00 秒
5. candidate：Nf3 | 深度 2 | 5.00 秒
5... material：c6 | 深度 3 | 5.00 秒
6. candidate：Qb3 | 深度 3 | 5.00 秒
6... material：Bd6 | 深度 3 | 5.00 秒
7. candidate：Ng5 | 深度 2 | 5.00 秒
7... material：O-O | 深度 3 | 5.00 秒
8. candidate：f4 | 深度 2 | 5.00 秒
8... material：Re8 | 深度 3 | 5.00 秒
9. candidate：a3 | 深度 2 | 5.00 秒
9... material：h6 | 深度 3 | 5.00 秒
10. candidate：Nf3 | 深度 3 | 5.00 秒
10... material：a5 | 深度 3 | 5.00 秒
11. candidate：Rg1 | 深度 2 | 5.00 秒
11... material：Na6 | 深度 3 | 5.00 秒
12. candidate：Ne5 | 深度 2 | 5.00 秒
12... material：Nc7 | 深度 3 | 5.00 秒
13. candidate：Na4 | 深度 2 | 5.00 秒
13... material：Ne6 | 深度 3 | 5.00 秒
14. candidate：Be3 | 深度 2 | 5.00 秒
14... material：Nd7 | 深度 3 | 5.00 秒
15. candidate：Nxd7 | 深度 3 | 5.00 秒
15... material：Bxd7 | 深度 3 | 5.00 秒
16. candidate：Rc1 | 深度 3 | 5.00 秒
16... material：Nxf4 | 深度 3 | 5.00 秒
17. candidate：g3 | 深度 3 | 5.00 秒
17... material：Nh3 | 深度 3 | 5.00 秒
18. candidate：Rh1 | 深度 3 | 5.00 秒
18... material：Bf5 | 深度 3 | 5.00 秒
19. candidate：Kd2 | 深度 3 | 5.00 秒
19... material：b5 | 深度 3 | 5.00 秒
20. candidate：Nc5 | 深度 3 | 5.00 秒
20... material：Be7 | 深度 3 | 5.00 秒
21. candidate：Bxh3 | 深度 3 | 5.00 秒
21... material：Bxh3 | 深度 4 | 5.00 秒
22. candidate：Qa2 | 深度 3 | 5.00 秒
22... material：Qd6 | 深度 3 | 5.00 秒
23. candidate：Qb3 | 深度 2 | 5.00 秒
23... material：a4 | 深度 3 | 5.00 秒
24. candidate：Qd3 | 深度 2 | 5.00 秒
24... material：Qc7 | 深度 3 | 5.00 秒
25. candidate：Qc3 | 深度 2 | 5.00 秒
25... material：Bd6 | 深度 3 | 5.00 秒
26. candidate：Rcg1 | 深度 2 | 5.00 秒
26... material：Qe7 | 深度 3 | 5.00 秒
27. candidate：g4 | 深度 2 | 5.00 秒
27... material：g5 | 深度 3 | 5.00 秒
28. candidate：b3 | 深度 2 | 5.00 秒
28... material：axb3 | 深度 3 | 5.00 秒
29. candidate：Qxb3 | 深度 3 | 5.00 秒
29... material：Bc7 | 深度 2 | 5.00 秒
30. candidate：Qc3 | 深度 2 | 5.00 秒
30... material：Ba5 | 深度 3 | 5.00 秒
31. candidate：Rg3 | 深度 4 | 5.00 秒
31... material：Bxc3+ | 深度 4 | 5.00 秒
32. candidate：Kxc3 | 深度 4 | 5.00 秒
32... material：Rxa3+ | 深度 4 | 5.00 秒
33. candidate：Nb3 | 深度 4 | 5.00 秒
33... material：Qxe3+ | 深度 4 | 5.00 秒
34. candidate：Rxe3 | 深度 5 | 2.41 秒
34... material：Rxe3+ | 深度 5 | 1.69 秒
35. candidate：Kc2 | 深度 5 | 4.59 秒
35... material：Rexb3 | 深度 4 | 5.00 秒
36. candidate：Rb1 | 深度 4 | 5.00 秒
36... material：Rxb1 | 深度 5 | 2.87 秒
37. candidate：Kxb1 | 深度 5 | 1.62 秒
37... material：Bxg4 | 深度 5 | 2.18 秒
38. candidate：h4 | 深度 4 | 5.00 秒
38... material：gxh4 | 深度 5 | 3.34 秒
39. candidate：Kc1 | 深度 4 | 5.00 秒
39... material：h3 | 深度 5 | 4.64 秒
40. candidate：Kb2 | 深度 4 | 5.00 秒
40... material：Re3 | 深度 5 | 2.83 秒
41. candidate：Kc2 | 深度 5 | 3.78 秒
41... material：h2 | 深度 5 | 2.52 秒
42. candidate：Kd2 | 深度 5 | 3.32 秒
42... material：Rxe2+ | 深度 5 | 3.33 秒
43. candidate：Kc3 | 深度 5 | 3.02 秒
43... material：h1=Q | 深度 5 | 4.87 秒
44. candidate：Kb4 | 深度 5 | 4.06 秒
44... material：Rd2 | 深度 4 | 5.00 秒
45. candidate：Kc5 | 深度 4 | 5.00 秒
45... material：Qc1+ | 深度 4 | 5.00 秒
46. candidate：Kd6 | 深度 5 | 4.63 秒
46... material：Rxd4 | 深度 4 | 5.00 秒
47. candidate：Kc7 | 深度 4 | 5.00 秒
47... material：Rd3 | 深度 4 | 5.00 秒
48. candidate：Kb7 | 深度 4 | 5.00 秒
48... material：d4 | 深度 4 | 5.00 秒
49. candidate：Kc7 | 深度 4 | 5.00 秒
49... material：Bh3 | 深度 4 | 5.00 秒
50. candidate：Kd6 | 深度 4 | 5.00 秒
50... material：Qh1 | 深度 4 | 5.00 秒
51. candidate：Kc5 | 深度 5 | 4.82 秒
51... material：Qg2 | 深度 4 | 5.00 秒
52. candidate：Kb6 | 深度 4 | 5.00 秒
52... material：Qf3 | 深度 4 | 5.00 秒
53. candidate：Ka5 | 深度 5 | 4.89 秒
53... material：Qg2 | 深度 4 | 5.00 秒
54. candidate：Kb6 | 深度 4 | 5.00 秒
54... material：Qf3 | 深度 4 | 5.00 秒
55. candidate：Ka5 | 深度 4 | 5.00 秒
55... material：Bg4 | 深度 4 | 5.00 秒
56. candidate：Kb6 | 深度 5 | 4.82 秒
56... material：Qe4 | 深度 4 | 5.00 秒
57. candidate：Ka5 | 深度 4 | 5.00 秒
57... material：Qe3 | 深度 4 | 5.00 秒
58. candidate：Kb6 | 深度 4 | 5.00 秒
58... material：Qf3 | 深度 4 | 5.00 秒
59. candidate：Ka6 | 深度 4 | 5.00 秒
59... material：Qd1 | 深度 4 | 5.00 秒
60. candidate：Kb6 | 深度 4 | 5.00 秒
60... material：Qh1 | 深度 4 | 5.00 秒
61. candidate：Kc5 | 深度 4 | 5.00 秒
61... material：Qc1+ | 深度 4 | 5.00 秒
62. candidate：Kb6 | 深度 5 | 4.75 秒
62... material：Bh3 | 深度 4 | 5.00 秒
63. candidate：Ka5 | 深度 4 | 5.00 秒
63... material：Qf1 | 深度 4 | 5.00 秒
64. candidate：Kb6 | 深度 5 | 3.29 秒
64... material：Qh1 | 深度 4 | 5.00 秒
65. candidate：Kc5 | 深度 4 | 5.00 秒
65... material：Qc1+ | 深度 4 | 5.00 秒
66. candidate：Kb6 | 深度 5 | 3.80 秒
66... material：Qc2 | 深度 4 | 5.00 秒
67. candidate：Ka5 | 深度 4 | 5.00 秒
67... material：Qa2+ | 深度 4 | 5.00 秒
68. candidate：Kb6 | 深度 5 | 3.01 秒
68... material：Qg2 | 深度 4 | 5.00 秒
69. candidate：Ka5 | 深度 4 | 5.00 秒
69... material：Qg1 | 深度 4 | 5.00 秒
70. candidate：Kb6 | 深度 5 | 3.49 秒
70... material：Qg2 | 深度 4 | 5.00 秒
71. candidate：Ka5 | 深度 4 | 5.00 秒
71... material：Qg1 | 深度 4 | 5.00 秒
72. candidate：Kb6 | 深度 5 | 3.63 秒
72... material：Qc1 | 深度 4 | 5.00 秒
73. candidate：Kc7 | 深度 4 | 5.00 秒
73... material：Qh1 | 深度 4 | 5.00 秒
74. candidate：Kb6 | 深度 4 | 5.00 秒
74... material：Re3 | 深度 4 | 5.00 秒
75. candidate：Kc5 | 深度 4 | 5.00 秒
75... material：d3 | 深度 4 | 5.00 秒
76. candidate：Kd4 | 深度 4 | 5.00 秒
76... material：Qe1 | 深度 4 | 5.00 秒
77. candidate：Kc5 | 深度 5 | 2.13 秒
77... material：Bg2 | 深度 4 | 5.00 秒
78. candidate：Kd4 | 深度 5 | 3.98 秒
78... material：d2 | 深度 4 | 5.00 秒
79. candidate：Kc5 | 深度 4 | 5.00 秒
79... material：d1=Q | 深度 4 | 5.00 秒
80. candidate：Kb6 | 深度 5 | 3.70 秒
80... material：Qb4 | 深度 4 | 5.00 秒
81. candidate：Kc7 | 深度 4 | 5.00 秒
81... material：Qde1 | 深度 4 | 5.00 秒
82. candidate：Kd7 | 深度 4 | 5.00 秒
82... material：Re2 | 深度 4 | 5.00 秒
83. candidate：Kc7 | 深度 5 | 4.39 秒
83... material：c5 | 深度 4 | 5.00 秒
84. candidate：Kd8 | 深度 5 | 3.50 秒
84... material：Be4 | 深度 4 | 5.00 秒
85. candidate：Kc7 | 深度 5 | 4.34 秒
85... material：Kh7 | 深度 4 | 5.00 秒
86. candidate：Kd6 | 深度 5 | 3.64 秒
86... material：Bf5 | 深度 4 | 5.00 秒
87. candidate：Kc7 | 深度 4 | 5.00 秒
87... material：Be4 | 深度 4 | 5.00 秒
88. candidate：Kd6 | 深度 5 | 3.61 秒
88... material：Bf5 | 深度 4 | 5.00 秒
89. candidate：Kc7 | 深度 4 | 5.00 秒
89... material：Bc2 | 深度 4 | 5.00 秒
90. candidate：Kd7 | 深度 4 | 5.00 秒
90... material：Kg6 | 深度 4 | 5.00 秒
