本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 5/20 盘：对称英国式，白方 candidate，黑方 material =====
4. candidate：e3 | 深度 3 | 5.00 秒
4... material：g6 | 深度 4 | 5.00 秒
5. candidate：d4 | 深度 4 | 5.00 秒
5... material：cxd4 | 深度 4 | 5.00 秒
6. candidate：exd4 | 深度 3 | 5.00 秒
6... material：d5 | 深度 4 | 5.00 秒
7. candidate：cxd5 | 深度 3 | 5.00 秒
7... material：Nxd5 | 深度 4 | 5.00 秒
8. candidate：Bb5 | 深度 3 | 5.00 秒
8... material：Bg7 | 深度 4 | 5.00 秒
9. candidate：Ng5 | 深度 3 | 5.00 秒
9... material：O-O | 深度 3 | 5.00 秒
10. candidate：O-O | 深度 3 | 5.00 秒
10... material：Nxd4 | 深度 4 | 5.00 秒
11. candidate：Bc4 | 深度 3 | 5.00 秒
11... material：Nxc3 | 深度 3 | 5.00 秒
12. candidate：bxc3 | 深度 3 | 5.00 秒
12... material：Ne6 | 深度 4 | 5.00 秒
13. candidate：Bxe6 | 深度 3 | 5.00 秒
13... material：fxe6 | 深度 4 | 5.00 秒
14. candidate：Qxd8 | 深度 3 | 5.00 秒
14... material：Rxd8 | 深度 5 | 1.47 秒
15. candidate：Ne4 | 深度 3 | 5.00 秒
15... material：Bd7 | 深度 4 | 5.00 秒
16. candidate：Bf4 | 深度 3 | 5.00 秒
16... material：Bc6 | 深度 4 | 5.00 秒
17. candidate：Rfe1 | 深度 3 | 5.00 秒
17... material：Bxe4 | 深度 3 | 5.00 秒
18. candidate：Rxe4 | 深度 4 | 5.00 秒
18... material：Bxc3 | 深度 4 | 5.00 秒
19. candidate：Rb1 | 深度 3 | 5.00 秒
19... material：Rd5 | 深度 4 | 5.00 秒
20. candidate：Be3 | 深度 3 | 5.00 秒
20... material：Rad8 | 深度 3 | 5.00 秒
21. candidate：Rf1 | 深度 2 | 5.00 秒
21... material：Ra5 | 深度 4 | 5.00 秒
22. candidate：Rc1 | 深度 3 | 5.00 秒
22... material：Bb2 | 深度 4 | 5.00 秒
