本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 7/20 盘：西班牙式，白方 candidate，黑方 material =====
4. candidate：Bd3 | 深度 3 | 5.00 秒
4... material：Nf6 | 深度 4 | 5.00 秒
5. candidate：Nc3 | 深度 3 | 5.00 秒
5... material：Bc5 | 深度 3 | 5.00 秒
6. candidate：Bf1 | 深度 2 | 5.00 秒
6... material：Ng4 | 深度 3 | 5.00 秒
7. candidate：Qe2 | 深度 3 | 5.00 秒
7... material：Bxf2+ | 深度 3 | 5.00 秒
8. candidate：Kd1 | 深度 3 | 5.00 秒
8... material：Qf6 | 深度 3 | 5.00 秒
9. candidate：Nd5 | 深度 3 | 5.00 秒
9... material：Qd6 | 深度 4 | 5.00 秒
10. candidate：h3 | 深度 3 | 5.00 秒
10... material：f5 | 深度 4 | 5.00 秒
11. candidate：hxg4 | 深度 3 | 5.00 秒
11... material：fxe4 | 深度 4 | 5.00 秒
12. candidate：Qxe4 | 深度 3 | 5.00 秒
12... material：g6 | 深度 3 | 5.00 秒
13. candidate：Rh6 | 深度 2 | 5.00 秒
13... material：a5 | 深度 3 | 5.00 秒
14. candidate：c4 | 深度 2 | 5.00 秒
14... material：O-O | 深度 3 | 5.00 秒
15. candidate：Qd3 | 深度 2 | 5.00 秒
15... material：Ne7 | 深度 3 | 5.00 秒
16. candidate：Nxe7+ | 深度 3 | 5.00 秒
16... material：Qxe7 | 深度 4 | 5.00 秒
17. candidate：Qd5+ | 深度 3 | 5.00 秒
17... material：Kg7 | 深度 4 | 5.00 秒
18. candidate：d4 | 深度 2 | 5.00 秒
18... material：Bxd4 | 深度 3 | 5.00 秒
19. candidate：Bg5 | 深度 2 | 5.00 秒
19... material：Rxf3 | 深度 3 | 5.00 秒
20. candidate：Bxe7 | 深度 3 | 5.00 秒
20... material：Rxf1+ | 深度 5 | 4.10 秒
21. candidate：Ke2 | 深度 4 | 5.00 秒
21... material：Rxa1 | 深度 4 | 5.00 秒
22. candidate：g5 | 深度 3 | 5.00 秒
22... material：Rxa2 | 深度 4 | 5.00 秒
23. candidate：Kd3 | 深度 3 | 5.00 秒
23... material：Rxb2 | 深度 4 | 5.00 秒
24. candidate：c5 | 深度 3 | 5.00 秒
24... material：Ra6 | 深度 4 | 5.00 秒
25. candidate：Bf6+ | 深度 2 | 5.00 秒
25... material：Rxf6 | 深度 5 | 4.54 秒
26. candidate：gxf6+ | 深度 3 | 5.00 秒
26... material：Kxh6 | 深度 5 | 1.99 秒
27. candidate：Qg8 | 深度 4 | 5.00 秒
27... material：Bxc5 | 深度 5 | 3.80 秒
28. candidate：Qxc8 | 深度 4 | 5.00 秒
28... material：Rxg2 | 深度 4 | 5.00 秒
29. candidate：Qxc7 | 深度 4 | 5.00 秒
29... material：Rg3+ | 深度 5 | 3.72 秒
30. candidate：Kc4 | 深度 4 | 5.00 秒
30... material：Bb4 | 深度 5 | 4.95 秒
31. candidate：Qxe5 | 深度 3 | 5.00 秒
31... material：Rg4+ | 深度 5 | 2.86 秒
32. candidate：Kd3 | 深度 4 | 5.00 秒
32... material：Rh4 | 深度 4 | 5.00 秒
33. candidate：f7 | 深度 4 | 5.00 秒
33... material：Rh3+ | 深度 5 | 2.54 秒
34. candidate：Kc2 | 深度 3 | 5.00 秒
34... material：Rf3 | 深度 5 | 2.61 秒
35. candidate：Qd5 | 深度 4 | 5.00 秒
35... material：Rc3+ | 深度 5 | 1.94 秒
36. candidate：Kb1 | 深度 4 | 5.00 秒
36... material：Rc7 | 深度 5 | 4.21 秒
37. candidate：Qd4 | 深度 4 | 5.00 秒
37... material：Rc8 | 深度 5 | 4.48 秒
38. candidate：Qxd7 | 深度 3 | 5.00 秒
38... material：Rf8 | 深度 5 | 2.90 秒
39. candidate：Qxb7 | 深度 3 | 5.00 秒
39... material：Kg7 | 深度 5 | 2.27 秒
40. candidate：Kb2 | 深度 4 | 5.00 秒
40... material：Rxf7 | 深度 5 | 2.61 秒
41. candidate：Qb6 | 深度 3 | 5.00 秒
41... material：Re7 | 深度 5 | 4.71 秒
42. candidate：Qd4+ | 深度 3 | 5.00 秒
42... material：Kf7 | 深度 5 | 0.93 秒
43. candidate：Qc4+ | 深度 4 | 5.00 秒
43... material：Kf6 | 深度 5 | 1.39 秒
44. candidate：Qd3 | 深度 4 | 5.00 秒
44... material：Re5 | 深度 5 | 3.59 秒
45. candidate：Qf1+ | 深度 4 | 5.00 秒
45... material：Rf5 | 深度 5 | 1.12 秒
46. candidate：Qa6+ | 深度 4 | 5.00 秒
46... material：Kg7 | 深度 5 | 1.80 秒
47. candidate：Qb7+ | 深度 4 | 5.00 秒
47... material：Kh6 | 深度 5 | 1.88 秒
48. candidate：Qh1+ | 深度 3 | 5.00 秒
48... material：Rh5 | 深度 5 | 0.83 秒
49. candidate：Qc1+ | 深度 4 | 5.00 秒
49... material：Rg5 | 深度 5 | 1.26 秒
50. candidate：Qf4 | 深度 4 | 5.00 秒
50... material：Be1 | 深度 5 | 2.38 秒
51. candidate：Qh2+ | 深度 3 | 5.00 秒
51... material：Rh5 | 深度 5 | 0.94 秒
52. candidate：Qf4+ | 深度 4 | 5.00 秒
52... material：Kg7 | 深度 5 | 1.83 秒
53. candidate：Qd4+ | 深度 4 | 5.00 秒
53... material：Kg8 | 深度 5 | 2.08 秒
54. candidate：Qd8+ | 深度 4 | 5.00 秒
54... material：Kf7 | 深度 5 | 1.84 秒
55. candidate：Qc7+ | 深度 3 | 5.00 秒
55... material：Kf6 | 深度 5 | 1.87 秒
56. candidate：Qc6+ | 深度 3 | 5.00 秒
56... material：Kg7 | 深度 5 | 3.62 秒
57. candidate：Qc7+ | 深度 3 | 5.00 秒
57... material：Kg8 | 深度 5 | 1.76 秒
58. candidate：Qd8+ | 深度 4 | 5.00 秒
58... material：Kf7 | 深度 5 | 2.09 秒
59. candidate：Qc7+ | 深度 3 | 5.00 秒
59... material：Kf6 | 深度 5 | 1.85 秒
60. candidate：Qc6+ | 深度 3 | 5.00 秒
60... material：Kg7 | 深度 4 | 5.00 秒
61. candidate：Qc7+ | 深度 4 | 5.00 秒
material 申请和棋：{'reason': 'threefold_repetition', 'intended_move': 'g7f6'}
本盘结果：1/2-1/2，原因：claimed_threefold_repetition

===== 第 8/20 盘：西班牙式，白方 material，黑方 candidate =====
4. material：Bxc6 | 深度 4 | 5.00 秒
4... candidate：dxc6 | 深度 3 | 5.00 秒
5. material：Nxe5 | 深度 4 | 5.00 秒
5... candidate：Qd4 | 深度 3 | 5.00 秒
6. material：Nf3 | 深度 4 | 5.00 秒
6... candidate：Qxe4+ | 深度 3 | 5.00 秒
7. material：Qe2 | 深度 5 | 0.68 秒
7... candidate：Qxe2+ | 深度 4 | 5.00 秒
8. material：Kxe2 | 深度 5 | 1.80 秒
8... candidate：Bg4 | 深度 3 | 5.00 秒
9. material：d3 | 深度 4 | 5.00 秒
9... candidate：Rd8 | 深度 3 | 5.00 秒
10. material：h3 | 深度 4 | 5.00 秒
10... candidate：Bh5 | 深度 3 | 5.00 秒
11. material：g4 | 深度 5 | 3.88 秒
11... candidate：Bg6 | 深度 4 | 5.00 秒
12. material：Ne5 | 深度 4 | 5.00 秒
12... candidate：Bd6 | 深度 3 | 5.00 秒
13. material：Nxg6 | 深度 4 | 5.00 秒
13... candidate：hxg6 | 深度 4 | 5.00 秒
14. material：a4 | 深度 4 | 5.00 秒
14... candidate：Rd7 | 深度 3 | 5.00 秒
15. material：f4 | 深度 4 | 5.00 秒
15... candidate：Re7+ | 深度 4 | 5.00 秒
16. material：Kf3 | 深度 5 | 2.85 秒
16... candidate：Kd8 | 深度 3 | 5.00 秒
17. material：h4 | 深度 4 | 5.00 秒
17... candidate：Nf6 | 深度 3 | 5.00 秒
18. material：g5 | 深度 4 | 5.00 秒
18... candidate：Nd5 | 深度 3 | 5.00 秒
19. material：Bd2 | 深度 4 | 5.00 秒
19... candidate：Rh5 | 深度 3 | 5.00 秒
20. material：Nc3 | 深度 4 | 5.00 秒
20... candidate：Nb4 | 深度 3 | 5.00 秒
21. material：Rac1 | 深度 4 | 5.00 秒
21... candidate：Nd5 | 深度 3 | 5.00 秒
22. material：Ne4 | 深度 4 | 5.00 秒
22... candidate：Bb4 | 深度 3 | 5.00 秒
23. material：c3 | 深度 4 | 5.00 秒
23... candidate：Ba5 | 深度 3 | 5.00 秒
24. material：b4 | 深度 3 | 5.00 秒
24... candidate：Bb6 | 深度 3 | 5.00 秒
25. material：c4 | 深度 3 | 5.00 秒
25... candidate：f5 | 深度 4 | 5.00 秒
26. material：Nc5 | 深度 5 | 4.00 秒
26... candidate：Bxc5 | 深度 4 | 5.00 秒
27. material：bxc5 | 深度 5 | 3.36 秒
27... candidate：Nxf4 | 深度 4 | 5.00 秒
28. material：Kxf4 | 深度 5 | 3.99 秒
28... candidate：Re2 | 深度 4 | 5.00 秒
29. material：Bc3 | 深度 4 | 5.00 秒
29... candidate：b6 | 深度 3 | 5.00 秒
30. material：cxb6 | 深度 5 | 4.85 秒
30... candidate：cxb6 | 深度 4 | 5.00 秒
31. material：Bxg7 | 深度 4 | 5.00 秒
31... candidate：c5 | 深度 3 | 5.00 秒
32. material：Bf6+ | 深度 4 | 5.00 秒
32... candidate：Kc8 | 深度 3 | 5.00 秒
33. material：Rb1 | 深度 4 | 5.00 秒
33... candidate：Kc7 | 深度 3 | 5.00 秒
34. material：Be5+ | 深度 4 | 5.00 秒
34... candidate：Kb7 | 深度 4 | 5.00 秒
35. material：a5 | 深度 4 | 5.00 秒
35... candidate：b5 | 深度 4 | 5.00 秒
36. material：cxb5 | 深度 4 | 5.00 秒
36... candidate：Ra2 | 深度 4 | 5.00 秒
37. material：bxa6+ | 深度 4 | 5.00 秒
37... candidate：Kxa6 | 深度 4 | 5.00 秒
38. material：Rb6+ | 深度 4 | 5.00 秒
38... candidate：Kxa5 | 深度 4 | 5.00 秒
39. material：Rxg6 | 深度 4 | 5.00 秒
39... candidate：Rf2+ | 深度 4 | 5.00 秒
40. material：Ke3 | 深度 5 | 1.96 秒
40... candidate：Rc2 | 深度 4 | 5.00 秒
41. material：Rf6 | 深度 4 | 5.00 秒
41... candidate：c4 | 深度 4 | 5.00 秒
42. material：Rxf5 | 深度 4 | 5.00 秒
42... candidate：Ka4 | 深度 4 | 5.00 秒
43. material：Rf7 | 深度 4 | 5.00 秒
43... candidate：Kb3 | 深度 3 | 5.00 秒
44. material：Kf3 | 深度 4 | 5.00 秒
44... candidate：Rd2 | 深度 3 | 5.00 秒
45. material：d4 | 深度 4 | 5.00 秒
45... candidate：c3 | 深度 3 | 5.00 秒
46. material：Kg4 | 深度 4 | 5.00 秒
46... candidate：Rxg5+ | 深度 4 | 5.00 秒
47. material：Kxg5 | 深度 5 | 1.91 秒
47... candidate：Kc4 | 深度 3 | 5.00 秒
48. material：h5 | 深度 4 | 5.00 秒
48... candidate：Kd5 | 深度 3 | 5.00 秒
49. material：Rf4 | 深度 4 | 5.00 秒
49... candidate：Rg2+ | 深度 4 | 5.00 秒
50. material：Kf5 | 深度 5 | 1.09 秒
50... candidate：Rb2 | 深度 3 | 5.00 秒
51. material：h6 | 深度 4 | 5.00 秒
51... candidate：Rb7 | 深度 3 | 5.00 秒
52. material：h7 | 深度 4 | 5.00 秒
52... candidate：Rxh7 | 深度 5 | 2.37 秒
53. material：Rxh7 | 深度 5 | 2.39 秒
53... candidate：c2 | 深度 5 | 2.00 秒
54. material：Rd7+ | 深度 5 | 3.97 秒
54... candidate：Kc4 | 深度 5 | 3.46 秒
55. material：Rc7+ | 深度 5 | 3.89 秒
55... candidate：Kb3 | 深度 4 | 5.00 秒
56. material：d5 | 深度 5 | 3.90 秒
56... candidate：Ka2 | 深度 5 | 3.98 秒
57. material：Rxc2+ | 深度 4 | 5.00 秒
57... candidate：Kb3 | 深度 5 | 2.51 秒
58. material：d6 | 深度 4 | 5.00 秒
58... candidate：Kxc2 | 深度 5 | 2.52 秒
59. material：d7 | 深度 5 | 2.50 秒
59... candidate：Kd3 | 深度 5 | 3.79 秒
60. material：d8=Q+ | 深度 4 | 5.00 秒
60... candidate：Kc2 | 深度 4 | 5.00 秒
61. material：Qd6 | 深度 4 | 5.00 秒
61... candidate：Kb1 | 深度 5 | 4.70 秒
62. material：Qd1+ | 深度 4 | 5.00 秒
62... candidate：Ka2 | 深度 5 | 2.09 秒
63. material：Ra4# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_04.zip

===== 比赛结束 =====
价值版获胜： 0
子力版获胜： 1
和棋： 1
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_04
