本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 9/20 盘：西西里式，白方 candidate，黑方 material =====
4. candidate：Bb5+ | 深度 3 | 5.00 秒
4... material：Nc6 | 深度 4 | 5.00 秒
5. candidate：Nxd4 | 深度 3 | 5.00 秒
5... material：Bd7 | 深度 4 | 5.00 秒
6. candidate：Bxc6 | 深度 3 | 5.00 秒
6... material：bxc6 | 深度 4 | 5.00 秒
7. candidate：Nc3 | 深度 3 | 5.00 秒
7... material：Nf6 | 深度 4 | 5.00 秒
8. candidate：Rb1 | 深度 2 | 5.00 秒
8... material：e6 | 深度 3 | 5.00 秒
9. candidate：h4 | 深度 2 | 5.00 秒
9... material：c5 | 深度 4 | 5.00 秒
10. candidate：Nde2 | 深度 3 | 5.00 秒
10... material：Be7 | 深度 3 | 5.00 秒
11. candidate：Rh3 | 深度 2 | 5.00 秒
11... material：O-O | 深度 4 | 5.00 秒
12. candidate：Be3 | 深度 2 | 5.00 秒
12... material：Bc6 | 深度 3 | 5.00 秒
13. candidate：Ng3 | 深度 3 | 5.00 秒
13... material：Qc7 | 深度 3 | 5.00 秒
14. candidate：Bg5 | 深度 2 | 5.00 秒
14... material：h6 | 深度 3 | 5.00 秒
15. candidate：Be3 | 深度 3 | 5.00 秒
15... material：Rfb8 | 深度 3 | 5.00 秒
16. candidate：Bf4 | 深度 2 | 5.00 秒
16... material：Nd7 | 深度 3 | 5.00 秒
17. candidate：Qh5 | 深度 2 | 5.00 秒
17... material：Ne5 | 深度 3 | 5.00 秒
18. candidate：Rd1 | 深度 2 | 5.00 秒
18... material：Rxb2 | 深度 3 | 5.00 秒
19. candidate：Rc1 | 深度 3 | 5.00 秒
19... material：Bf6 | 深度 3 | 5.00 秒
20. candidate：f3 | 深度 2 | 5.00 秒
20... material：g6 | 深度 3 | 5.00 秒
21. candidate：Qxh6 | 深度 3 | 5.00 秒
21... material：Nxf3+ | 深度 3 | 5.00 秒
22. candidate：gxf3 | 深度 3 | 5.00 秒
22... material：Bxc3+ | 深度 3 | 5.00 秒
23. candidate：Bd2 | 深度 3 | 5.00 秒
23... material：Bxd2+ | 深度 4 | 5.00 秒
