本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 11/20 盘：法兰西式，白方 candidate，黑方 material =====
4. candidate：e5 | 深度 3 | 5.00 秒
4... material：Nfd7 | 深度 4 | 5.00 秒
5. candidate：Qh5 | 深度 2 | 5.00 秒
5... material：c5 | 深度 4 | 5.00 秒
6. candidate：dxc5 | 深度 3 | 5.00 秒
6... material：Bxc5 | 深度 3 | 5.00 秒
7. candidate：Ke2 | 深度 2 | 5.00 秒
7... material：g6 | 深度 3 | 5.00 秒
8. candidate：Qg5 | 深度 3 | 5.00 秒
8... material：Qxg5 | 深度 4 | 5.00 秒
9. candidate：Bxg5 | 深度 4 | 5.00 秒
9... material：Nc6 | 深度 3 | 5.00 秒
10. candidate：Nb5 | 深度 3 | 5.00 秒
10... material：O-O | 深度 3 | 5.00 秒
11. candidate：f4 | 深度 3 | 5.00 秒
11... material：a6 | 深度 4 | 5.00 秒
12. candidate：Nd6 | 深度 3 | 5.00 秒
12... material：Nd4+ | 深度 4 | 5.00 秒
13. candidate：Kd3 | 深度 4 | 5.00 秒
13... material：Bxd6 | 深度 4 | 5.00 秒
14. candidate：Kxd4 | 深度 4 | 5.00 秒
14... material：Bc5+ | 深度 5 | 4.22 秒
15. candidate：Kd3 | 深度 3 | 5.00 秒
15... material：Nb6 | 深度 4 | 5.00 秒
16. candidate：Bh6 | 深度 3 | 5.00 秒
16... material：Rd8 | 深度 5 | 4.33 秒
17. candidate：Bg5 | 深度 3 | 5.00 秒
17... material：Rd7 | 深度 4 | 5.00 秒
18. candidate：b3 | 深度 3 | 5.00 秒
18... material：Rc7 | 深度 4 | 5.00 秒
19. candidate：Bd8 | 深度 3 | 5.00 秒
19... material：Rd7 | 深度 5 | 4.66 秒
20. candidate：Bf6 | 深度 4 | 5.00 秒
20... material：Rc7 | 深度 4 | 5.00 秒
21. candidate：Bd8 | 深度 3 | 5.00 秒
21... material：Rd7 | 深度 5 | 4.96 秒
22. candidate：Bf6 | 深度 4 | 5.00 秒
22... material：Rc7 | 深度 4 | 5.00 秒
23. candidate：c3 | 深度 3 | 5.00 秒
