本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 13/20 盘：卡罗康式，白方 candidate，黑方 material =====
4. candidate：Nxe4 | 深度 3 | 5.00 秒
4... material：Nf6 | 深度 4 | 5.00 秒
5. candidate：Nxf6+ | 深度 3 | 5.00 秒
5... material：exf6 | 深度 5 | 3.67 秒
6. candidate：Qe2+ | 深度 3 | 5.00 秒
6... material：Be7 | 深度 4 | 5.00 秒
7. candidate：Be3 | 深度 3 | 5.00 秒
7... material：O-O | 深度 3 | 5.00 秒
8. candidate：O-O-O | 深度 3 | 5.00 秒
8... material：Nd7 | 深度 3 | 5.00 秒
9. candidate：Kb1 | 深度 3 | 5.00 秒
9... material：Re8 | 深度 4 | 5.00 秒
10. candidate：Qf3 | 深度 3 | 5.00 秒
10... material：Nf8 | 深度 4 | 5.00 秒
11. candidate：Be2 | 深度 3 | 5.00 秒
11... material：Bd6 | 深度 3 | 5.00 秒
12. candidate：Bc4 | 深度 3 | 5.00 秒
12... material：Be6 | 深度 3 | 5.00 秒
13. candidate：Bd3 | 深度 3 | 5.00 秒
13... material：Qd7 | 深度 3 | 5.00 秒
14. candidate：Ne2 | 深度 2 | 5.00 秒
14... material：Bg4 | 深度 4 | 5.00 秒
15. candidate：Bf5 | 深度 3 | 5.00 秒
15... material：Qxf5 | 深度 3 | 5.00 秒
16. candidate：Qxf5 | 深度 4 | 5.00 秒
16... material：Bxf5 | 深度 4 | 5.00 秒
17. candidate：Ng3 | 深度 3 | 5.00 秒
17... material：Be6 | 深度 4 | 5.00 秒
18. candidate：a4 | 深度 3 | 5.00 秒
18... material：Rac8 | 深度 3 | 5.00 秒
19. candidate：Ne4 | 深度 3 | 5.00 秒
19... material：Bb4 | 深度 4 | 5.00 秒
20. candidate：c3 | 深度 2 | 5.00 秒
20... material：Bf5 | 深度 4 | 5.00 秒
21. candidate：f3 | 深度 4 | 5.00 秒
21... material：Bxe4+ | 深度 4 | 5.00 秒
22. candidate：fxe4 | 深度 4 | 5.00 秒
22... material：Rxe4 | 深度 4 | 5.00 秒
23. candidate：Rd3 | 深度 3 | 5.00 秒
23... material：Bd6 | 深度 4 | 5.00 秒
24. candidate：g3 | 深度 3 | 5.00 秒
24... material：b5 | 深度 4 | 5.00 秒
25. candidate：axb5 | 深度 3 | 5.00 秒
25... material：cxb5 | 深度 4 | 5.00 秒
26. candidate：d5 | 深度 3 | 5.00 秒
26... material：Rc7 | 深度 4 | 5.00 秒
27. candidate：Rc1 | 深度 3 | 5.00 秒
27... material：a6 | 深度 4 | 5.00 秒
28. candidate：Bb6 | 深度 3 | 5.00 秒
28... material：Rb7 | 深度 4 | 5.00 秒
29. candidate：Bd4 | 深度 3 | 5.00 秒
29... material：Bc7 | 深度 4 | 5.00 秒
30. candidate：Re3 | 深度 3 | 5.00 秒
30... material：Rxe3 | 深度 5 | 4.67 秒
31. candidate：Bxe3 | 深度 4 | 5.00 秒
31... material：Bb6 | 深度 4 | 5.00 秒
32. candidate：Bd4 | 深度 4 | 5.00 秒
32... material：Bc7 | 深度 5 | 2.92 秒
33. candidate：Re1 | 深度 4 | 5.00 秒
33... material：Bb6 | 深度 4 | 5.00 秒
34. candidate：Re8 | 深度 4 | 5.00 秒
34... material：Bxd4 | 深度 5 | 1.45 秒
35. candidate：cxd4 | 深度 5 | 4.85 秒
35... material：Rd7 | 深度 5 | 0.79 秒
36. candidate：b4 | 深度 4 | 5.00 秒
36... material：Rxd5 | 深度 5 | 0.64 秒
37. candidate：Re4 | 深度 5 | 4.11 秒
37... material：Ne6 | 深度 5 | 1.80 秒
38. candidate：Kb2 | 深度 4 | 5.00 秒
38... material：Rxd4 | 深度 5 | 2.94 秒
39. candidate：Rxd4 | 深度 5 | 2.03 秒
39... material：Nxd4 | 深度 5 | 0.16 秒
40. candidate：Kc3 | 深度 5 | 2.88 秒
40... material：Nf3 | 深度 5 | 0.41 秒
41. candidate：h4 | 深度 5 | 1.17 秒
41... material：Ng1 | 深度 5 | 0.53 秒
42. candidate：Kd3 | 深度 5 | 2.10 秒
42... material：Nf3 | 深度 5 | 0.37 秒
43. candidate：Ke3 | 深度 5 | 1.43 秒
43... material：Ne1 | 深度 5 | 0.49 秒
44. candidate：Kd2 | 深度 5 | 2.12 秒
44... material：Nf3+ | 深度 5 | 0.34 秒
45. candidate：Ke3 | 深度 5 | 1.33 秒
45... material：Ne1 | 深度 5 | 0.46 秒
46. candidate：Kd2 | 深度 5 | 1.41 秒
46... material：Ng2 | 深度 5 | 0.28 秒
47. candidate：Ke2 | 深度 5 | 1.54 秒
47... material：g5 | 深度 5 | 0.56 秒
48. candidate：hxg5 | 深度 5 | 1.37 秒
48... material：fxg5 | 深度 5 | 0.47 秒
49. candidate：Kf2 | 深度 5 | 0.66 秒
49... material：Nh4 | 深度 5 | 0.23 秒
50. candidate：gxh4 | 深度 5 | 0.53 秒
50... material：gxh4 | 深度 5 | 0.17 秒
51. candidate：Kg2 | 深度 5 | 0.47 秒
51... material：Kg7 | 深度 5 | 0.11 秒
52. candidate：Kh3 | 深度 5 | 0.48 秒
52... material：f6 | 深度 5 | 0.14 秒
53. candidate：Kxh4 | 深度 5 | 0.42 秒
53... material：Kg6 | 深度 5 | 0.10 秒
54. candidate：Kg4 | 深度 5 | 0.47 秒
54... material：f5+ | 深度 5 | 0.08 秒
55. candidate：Kf4 | 深度 5 | 0.74 秒
55... material：h5 | 深度 5 | 0.08 秒
56. candidate：Ke5 | 深度 5 | 0.60 秒
56... material：Kg5 | 深度 5 | 0.09 秒
57. candidate：Kd5 | 深度 5 | 1.03 秒
57... material：f4 | 深度 5 | 0.18 秒
58. candidate：Ke4 | 深度 5 | 1.53 秒
58... material：Kg4 | 深度 5 | 0.08 秒
59. candidate：Kd4 | 深度 5 | 1.16 秒
59... material：Kg3 | 深度 5 | 0.19 秒
60. candidate：Kc3 | 深度 5 | 1.44 秒
60... material：f3 | 深度 5 | 0.17 秒
61. candidate：Kd2 | 深度 5 | 1.82 秒
61... material：f2 | 深度 5 | 0.15 秒
62. candidate：Ke2 | 深度 5 | 0.27 秒
62... material：Kg2 | 深度 5 | 0.16 秒
63. candidate：Ke3 | 深度 5 | 0.57 秒
63... material：f1=Q | 深度 5 | 0.56 秒
64. candidate：Ke4 | 深度 5 | 2.02 秒
64... material：Qe1+ | 深度 5 | 3.14 秒
65. candidate：Kf4 | 深度 5 | 1.47 秒
65... material：Qh4+ | 深度 5 | 3.12 秒
66. candidate：Kf5 | 深度 5 | 1.49 秒
66... material：Qg4+ | 深度 5 | 2.37 秒
67. candidate：Kf6 | 深度 5 | 2.04 秒
67... material：Qxb4 | 深度 5 | 3.77 秒
68. candidate：Kg6 | 深度 4 | 5.00 秒
68... material：h4 | 深度 5 | 3.73 秒
69. candidate：Kf6 | 深度 4 | 5.00 秒
69... material：h3 | 深度 5 | 4.24 秒
70. candidate：Kf5 | 深度 3 | 5.00 秒
70... material：h2 | 深度 5 | 3.61 秒
71. candidate：Ke6 | 深度 5 | 3.11 秒
71... material：h1=Q | 深度 4 | 5.00 秒
72. candidate：Kf7 | 深度 3 | 5.00 秒
72... material：Qa1 | 深度 4 | 5.00 秒
73. candidate：Kg6 | 深度 4 | 5.00 秒
73... material：Qf1 | 深度 4 | 5.00 秒
74. candidate：Kh7 | 深度 4 | 5.00 秒
74... material：Qbf8 | 深度 4 | 5.00 秒
75. candidate：Kg6 | 深度 5 | 2.33 秒
75... material：Q1f5# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE

===== 第 14/20 盘：卡罗康式，白方 material，黑方 candidate =====
4. material：Nxe4 | 深度 4 | 5.00 秒
4... candidate：Qb6 | 深度 3 | 5.00 秒
5. material：Nf3 | 深度 3 | 5.00 秒
5... candidate：Nf6 | 深度 3 | 5.00 秒
6. material：Nxf6+ | 深度 4 | 5.00 秒
6... candidate：exf6 | 深度 3 | 5.00 秒
7. material：Bc4 | 深度 4 | 5.00 秒
7... candidate：Qb4+ | 深度 3 | 5.00 秒
8. material：Nd2 | 深度 4 | 5.00 秒
8... candidate：Qe7+ | 深度 3 | 5.00 秒
9. material：Qe2 | 深度 5 | 1.11 秒
9... candidate：Qxe2+ | 深度 4 | 5.00 秒
10. material：Kxe2 | 深度 5 | 2.58 秒
10... candidate：b5 | 深度 3 | 5.00 秒
11. material：Bb3 | 深度 4 | 5.00 秒
11... candidate：Bg4+ | 深度 3 | 5.00 秒
12. material：Nf3 | 深度 5 | 4.38 秒
12... candidate：a5 | 深度 3 | 5.00 秒
13. material：a4 | 深度 4 | 5.00 秒
13... candidate：bxa4 | 深度 3 | 5.00 秒
14. material：Bxa4 | 深度 4 | 5.00 秒
14... candidate：Bd6 | 深度 3 | 5.00 秒
15. material：h3 | 深度 4 | 5.00 秒
15... candidate：Bxf3+ | 深度 3 | 5.00 秒
16. material：Kxf3 | 深度 5 | 2.75 秒
16... candidate：Ke7 | 深度 3 | 5.00 秒
17. material：Be3 | 深度 4 | 5.00 秒
17... candidate：Ra6 | 深度 3 | 5.00 秒
18. material：g4 | 深度 4 | 5.00 秒
18... candidate：h5 | 深度 3 | 5.00 秒
19. material：gxh5 | 深度 4 | 5.00 秒
19... candidate：Rxh5 | 深度 3 | 5.00 秒
20. material：Kg4 | 深度 4 | 5.00 秒
20... candidate：g6 | 深度 3 | 5.00 秒
21. material：Bf4 | 深度 4 | 5.00 秒
21... candidate：Bxf4 | 深度 4 | 5.00 秒
