本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 15/20 盘：斯拉夫式，白方 candidate，黑方 material =====
4. candidate：Na3 | 深度 3 | 5.00 秒
4... material：e6 | 深度 4 | 5.00 秒
5. candidate：Qb3 | 深度 3 | 5.00 秒
5... material：Nbd7 | 深度 4 | 5.00 秒
6. candidate：c5 | 深度 3 | 5.00 秒
6... material：a6 | 深度 3 | 5.00 秒
7. candidate：Bd2 | 深度 3 | 5.00 秒
7... material：b5 | 深度 3 | 5.00 秒
8. candidate：Qc2 | 深度 3 | 5.00 秒
8... material：Bb7 | 深度 3 | 5.00 秒
9. candidate：g3 | 深度 3 | 5.00 秒
9... material：Qc7 | 深度 3 | 5.00 秒
10. candidate：Rg1 | 深度 2 | 5.00 秒
10... material：Be7 | 深度 3 | 5.00 秒
11. candidate：Ng5 | 深度 2 | 5.00 秒
11... material：h6 | 深度 3 | 5.00 秒
12. candidate：Nh3 | 深度 3 | 5.00 秒
12... material：O-O | 深度 3 | 5.00 秒
13. candidate：Nf4 | 深度 2 | 5.00 秒
13... material：Rfe8 | 深度 3 | 5.00 秒
14. candidate：h4 | 深度 2 | 5.00 秒
14... material：e5 | 深度 3 | 5.00 秒
15. candidate：dxe5 | 深度 3 | 5.00 秒
15... material：Nxe5 | 深度 3 | 5.00 秒
16. candidate：h5 | 深度 2 | 5.00 秒
16... material：Bxc5 | 深度 3 | 5.00 秒
17. candidate：Kd1 | 深度 2 | 5.00 秒
17... material：Bxf2 | 深度 3 | 5.00 秒
18. candidate：Rg2 | 深度 3 | 5.00 秒
18... material：Bd4 | 深度 3 | 5.00 秒
19. candidate：Qf5 | 深度 2 | 5.00 秒
19... material：Bxb2 | 深度 3 | 5.00 秒
20. candidate：Ne6 | 深度 2 | 5.00 秒
20... material：fxe6 | 深度 3 | 5.00 秒
21. candidate：Qb1 | 深度 3 | 5.00 秒
21... material：Bxa3 | 深度 4 | 5.00 秒
22. candidate：Qb3 | 深度 3 | 5.00 秒
22... material：Nc4 | 深度 3 | 5.00 秒
23. candidate：g4 | 深度 2 | 5.00 秒
23... material：Nxd2 | 深度 3 | 5.00 秒
24. candidate：Kxd2 | 深度 3 | 5.00 秒
24... material：Be7 | 深度 3 | 5.00 秒
25. candidate：Ke1 | 深度 2 | 5.00 秒
25... material：c5 | 深度 3 | 5.00 秒
26. candidate：Rd1 | 深度 2 | 5.00 秒
26... material：Rad8 | 深度 3 | 5.00 秒
27. candidate：Rd2 | 深度 2 | 5.00 秒
27... material：Rc8 | 深度 3 | 5.00 秒
28. candidate：Qe3 | 深度 2 | 5.00 秒
28... material：Bd6 | 深度 3 | 5.00 秒
29. candidate：g5 | 深度 2 | 5.00 秒
29... material：d4 | 深度 4 | 5.00 秒
30. candidate：Qd3 | 深度 4 | 5.00 秒
30... material：Bxg2 | 深度 4 | 5.00 秒
31. candidate：Bxg2 | 深度 3 | 5.00 秒
31... material：hxg5 | 深度 4 | 5.00 秒
32. candidate：Kf1 | 深度 2 | 5.00 秒
32... material：Nxh5 | 深度 3 | 5.00 秒
33. candidate：Rd1 | 深度 2 | 5.00 秒
33... material：Nf4 | 深度 4 | 5.00 秒
34. candidate：Qf3 | 深度 3 | 5.00 秒
34... material：Nxg2 | 深度 3 | 5.00 秒
35. candidate：Kxg2 | 深度 3 | 5.00 秒
35... material：Qe7 | 深度 4 | 5.00 秒
36. candidate：Qd3 | 深度 3 | 5.00 秒
36... material：Qf6 | 深度 3 | 5.00 秒
37. candidate：Rh1 | 深度 3 | 5.00 秒
37... material：Bf4 | 深度 4 | 5.00 秒
38. candidate：Qh7+ | 深度 4 | 5.00 秒
38... material：Kf7 | 深度 5 | 1.88 秒
39. candidate：Qh5+ | 深度 3 | 5.00 秒
39... material：g6 | 深度 5 | 1.60 秒
40. candidate：Qg4 | 深度 3 | 5.00 秒
40... material：c4 | 深度 4 | 5.00 秒
41. candidate：Rh3 | 深度 3 | 5.00 秒
41... material：c3 | 深度 3 | 5.00 秒
42. candidate：Qf3 | 深度 3 | 5.00 秒
42... material：c2 | 深度 4 | 5.00 秒
43. candidate：Qb7+ | 深度 4 | 5.00 秒
43... material：Kf8 | 深度 5 | 4.79 秒
44. candidate：Rh1 | 深度 3 | 5.00 秒
44... material：c1=Q | 深度 3 | 5.00 秒
45. candidate：Rxc1 | 深度 4 | 5.00 秒
45... material：Rxc1 | 深度 5 | 4.25 秒
46. candidate：Qxa6 | 深度 4 | 5.00 秒
46... material：Qe5 | 深度 3 | 5.00 秒
47. candidate：Qa3+ | 深度 4 | 5.00 秒
47... material：Kg7 | 深度 4 | 5.00 秒
48. candidate：Kf2 | 深度 3 | 5.00 秒
48... material：Rc2 | 深度 4 | 5.00 秒
49. candidate：Qf3 | 深度 4 | 5.00 秒
49... material：Rxa2 | 深度 3 | 5.00 秒
50. candidate：Qb7+ | 深度 3 | 5.00 秒
50... material：Kf6 | 深度 4 | 5.00 秒
51. candidate：Qf3 | 深度 4 | 5.00 秒
51... material：b4 | 深度 3 | 5.00 秒
52. candidate：Kf1 | 深度 3 | 5.00 秒
52... material：b3 | 深度 3 | 5.00 秒
53. candidate：Qxb3 | 深度 3 | 5.00 秒
53... material：Qxe2+ | 深度 5 | 4.79 秒
54. candidate：Kg1 | 深度 4 | 5.00 秒
54... material：Qe1# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE

===== 第 16/20 盘：斯拉夫式，白方 material，黑方 candidate =====
4. material：e3 | 深度 4 | 5.00 秒
4... candidate：Nbd7 | 深度 3 | 5.00 秒
5. material：Nc3 | 深度 4 | 5.00 秒
5... candidate：h6 | 深度 3 | 5.00 秒
6. material：cxd5 | 深度 4 | 5.00 秒
6... candidate：cxd5 | 深度 3 | 5.00 秒
7. material：Bd3 | 深度 4 | 5.00 秒
7... candidate：g5 | 深度 3 | 5.00 秒
8. material：O-O | 深度 4 | 5.00 秒
