本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 17/20 盘：王印式，白方 candidate，黑方 material =====
4. candidate：Nh3 | 深度 3 | 5.00 秒
4... material：O-O | 深度 4 | 5.00 秒
5. candidate：Bf4 | 深度 3 | 5.00 秒
5... material：d6 | 深度 4 | 5.00 秒
6. candidate：Kd2 | 深度 3 | 5.00 秒
6... material：Nc6 | 深度 3 | 5.00 秒
7. candidate：Ng5 | 深度 2 | 5.00 秒
7... material：Nxd4 | 深度 3 | 5.00 秒
8. candidate：e3 | 深度 2 | 5.00 秒
8... material：Nh5 | 深度 4 | 5.00 秒
9. candidate：Nd5 | 深度 3 | 5.00 秒
9... material：Nxf4 | 深度 3 | 5.00 秒
10. candidate：Nxf4 | 深度 3 | 5.00 秒
10... material：Nf5 | 深度 4 | 5.00 秒
11. candidate：a4 | 深度 2 | 5.00 秒
11... material：Bxb2 | 深度 3 | 5.00 秒
12. candidate：Rb1 | 深度 3 | 5.00 秒
12... material：Ba3 | 深度 4 | 5.00 秒
13. candidate：Rb3 | 深度 2 | 5.00 秒
13... material：Bc5 | 深度 4 | 5.00 秒
14. candidate：e4 | 深度 2 | 5.00 秒
14... material：Nd4 | 深度 3 | 5.00 秒
15. candidate：Rg3 | 深度 3 | 5.00 秒
15... material：c6 | 深度 3 | 5.00 秒
16. candidate：Kc1 | 深度 2 | 5.00 秒
16... material：Bb6 | 深度 3 | 5.00 秒
17. candidate：a5 | 深度 2 | 5.00 秒
17... material：Bc5 | 深度 4 | 5.00 秒
18. candidate：Ne2 | 深度 3 | 5.00 秒
18... material：Nxe2+ | 深度 4 | 5.00 秒
19. candidate：Qxe2 | 深度 4 | 5.00 秒
19... material：Qxa5 | 深度 4 | 5.00 秒
20. candidate：Kb1 | 深度 2 | 5.00 秒
20... material：Qb6+ | 深度 4 | 5.00 秒
21. candidate：Ka1 | 深度 3 | 5.00 秒
21... material：Bxf2 | 深度 4 | 5.00 秒
22. candidate：Ra3 | 深度 3 | 5.00 秒
22... material：f6 | 深度 3 | 5.00 秒
23. candidate：Nf3 | 深度 3 | 5.00 秒
23... material：Qc5 | 深度 3 | 5.00 秒
24. candidate：Rb3 | 深度 3 | 5.00 秒
24... material：Kg7 | 深度 3 | 5.00 秒
25. candidate：Qd2 | 深度 2 | 5.00 秒
25... material：Re8 | 深度 3 | 5.00 秒
26. candidate：h3 | 深度 2 | 5.00 秒
26... material：Rf8 | 深度 3 | 5.00 秒
27. candidate：g4 | 深度 2 | 5.00 秒
27... material：Bg3 | 深度 3 | 5.00 秒
28. candidate：Nd4 | 深度 2 | 5.00 秒
28... material：Be5 | 深度 4 | 5.00 秒
