本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 19/20 盘：苏格兰式，白方 candidate，黑方 material =====
4. candidate：Nxd4 | 深度 3 | 5.00 秒
4... material：Nf6 | 深度 4 | 5.00 秒
5. candidate：Nxc6 | 深度 3 | 5.00 秒
5... material：bxc6 | 深度 4 | 5.00 秒
6. candidate：Qe2 | 深度 3 | 5.00 秒
6... material：d6 | 深度 4 | 5.00 秒
7. candidate：Bg5 | 深度 3 | 5.00 秒
7... material：Be7 | 深度 4 | 5.00 秒
8. candidate：Bxf6 | 深度 3 | 5.00 秒
8... material：Bxf6 | 深度 4 | 5.00 秒
9. candidate：c3 | 深度 3 | 5.00 秒
9... material：O-O | 深度 4 | 5.00 秒
10. candidate：Nd2 | 深度 3 | 5.00 秒
10... material：Re8 | 深度 4 | 5.00 秒
11. candidate：O-O-O | 深度 3 | 5.00 秒
11... material：Bg5 | 深度 4 | 5.00 秒
12. candidate：Qf3 | 深度 3 | 5.00 秒
12... material：Qf6 | 深度 3 | 5.00 秒
13. candidate：Bd3 | 深度 3 | 5.00 秒
13... material：Bb7 | 深度 3 | 5.00 秒
14. candidate：Kb1 | 深度 3 | 5.00 秒
14... material：Bf4 | 深度 4 | 5.00 秒
15. candidate：Qh3 | 深度 2 | 5.00 秒
15... material：a5 | 深度 3 | 5.00 秒
16. candidate：e5 | 深度 3 | 5.00 秒
16... material：Qxe5 | 深度 4 | 5.00 秒
17. candidate：Nc4 | 深度 3 | 5.00 秒
17... material：Qc5 | 深度 4 | 5.00 秒
18. candidate：Qxh7+ | 深度 3 | 5.00 秒
18... material：Kf8 | 深度 4 | 5.00 秒
19. candidate：Qh8+ | 深度 3 | 5.00 秒
19... material：Ke7 | 深度 4 | 5.00 秒
20. candidate：Qxg7 | 深度 3 | 5.00 秒
20... material：Qxf2 | 深度 3 | 5.00 秒
21. candidate：Bg6 | 深度 2 | 5.00 秒
21... material：Rf8 | 深度 3 | 5.00 秒
22. candidate：Rde1+ | 深度 2 | 5.00 秒
22... material：Be5 | 深度 4 | 5.00 秒
23. candidate：Nxe5 | 深度 3 | 5.00 秒
23... material：dxe5 | 深度 3 | 5.00 秒
24. candidate：Rxe5+ | 深度 4 | 5.00 秒
24... material：Kd7 | 深度 4 | 5.00 秒
25. candidate：Rd1+ | 深度 3 | 5.00 秒
25... material：Qd4 | 深度 5 | 1.26 秒
26. candidate：Rxd4+ | 深度 4 | 5.00 秒
26... material：Kc8 | 深度 5 | 3.59 秒
27. candidate：Qxf8# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE

===== 第 20/20 盘：苏格兰式，白方 material，黑方 candidate =====
4. material：Nxd4 | 深度 4 | 5.00 秒
4... candidate：Nxd4 | 深度 3 | 5.00 秒
5. material：Qxd4 | 深度 4 | 5.00 秒
5... candidate：Qf6 | 深度 3 | 5.00 秒
6. material：Qe3 | 深度 4 | 5.00 秒
6... candidate：Bd6 | 深度 2 | 5.00 秒
7. material：Nc3 | 深度 3 | 5.00 秒
7... candidate：Qh4 | 深度 2 | 5.00 秒
8. material：g3 | 深度 3 | 5.00 秒
8... candidate：Qe7 | 深度 3 | 5.00 秒
9. material：Bg2 | 深度 3 | 5.00 秒
9... candidate：Qe5 | 深度 2 | 5.00 秒
10. material：O-O | 深度 3 | 5.00 秒
10... candidate：Qh5 | 深度 2 | 5.00 秒
11. material：Nd5 | 深度 3 | 5.00 秒
11... candidate：Qh6 | 深度 3 | 5.00 秒
12. material：Qc3 | 深度 4 | 5.00 秒
12... candidate：Qg6 | 深度 3 | 5.00 秒
13. material：Nxc7+ | 深度 3 | 5.00 秒
13... candidate：Bxc7 | 深度 4 | 5.00 秒
14. material：Qxc7 | 深度 4 | 5.00 秒
14... candidate：Qc6 | 深度 3 | 5.00 秒
15. material：Qe5+ | 深度 4 | 5.00 秒
15... candidate：Kf8 | 深度 3 | 5.00 秒
16. material：Qc3 | 深度 3 | 5.00 秒
16... candidate：Nf6 | 深度 3 | 5.00 秒
17. material：Rd1 | 深度 4 | 5.00 秒
17... candidate：Ng4 | 深度 3 | 5.00 秒
18. material：h3 | 深度 3 | 5.00 秒
18... candidate：Nf6 | 深度 3 | 5.00 秒
19. material：e5 | 深度 3 | 5.00 秒
19... candidate：Qxc3 | 深度 4 | 5.00 秒
20. material：bxc3 | 深度 4 | 5.00 秒
20... candidate：Ng8 | 深度 4 | 5.00 秒
21. material：Bf4 | 深度 4 | 5.00 秒
21... candidate：f6 | 深度 3 | 5.00 秒
22. material：exf6 | 深度 4 | 5.00 秒
22... candidate：Nxf6 | 深度 4 | 5.00 秒
23. material：Rab1 | 深度 4 | 5.00 秒
23... candidate：d5 | 深度 3 | 5.00 秒
24. material：Bd6+ | 深度 3 | 5.00 秒
24... candidate：Kf7 | 深度 3 | 5.00 秒
25. material：Bxd5+ | 深度 3 | 5.00 秒
25... candidate：Nxd5 | 深度 4 | 5.00 秒
26. material：Rxd5 | 深度 4 | 5.00 秒
26... candidate：b6 | 深度 3 | 5.00 秒
27. material：Rh5 | 深度 4 | 5.00 秒
27... candidate：Be6 | 深度 3 | 5.00 秒
28. material：Ra1 | 深度 4 | 5.00 秒
28... candidate：Rac8 | 深度 3 | 5.00 秒
29. material：Be5 | 深度 4 | 5.00 秒
29... candidate：Kg6 | 深度 3 | 5.00 秒
30. material：g4 | 深度 4 | 5.00 秒
30... candidate：h6 | 深度 3 | 5.00 秒
31. material：f4 | 深度 4 | 5.00 秒
31... candidate：Bc4 | 深度 3 | 5.00 秒
32. material：f5+ | 深度 4 | 5.00 秒
32... candidate：Kf7 | 深度 3 | 5.00 秒
33. material：Bd4 | 深度 4 | 5.00 秒
